batch,year,path,date,bytes,num_rows,trade_time_min,trade_time_max
20260913-143215,2015,20260913-143215\2015\20150105.parquet,2015-01-05,10287718,564422,2015-01-05 09:30:00,2015-01-05 15:00:00
20260913-143215,2015,20260913-143215\2015\20150106.parquet,2015-01-06,10370488,623708,2015-01-06 09:30:00,2015-01-06 15:00:00
20260913-143215,2015,20260913-143215\2015\20150107.parquet,2015-01-07,10231574,564181,2015-01-07 09:30:00,2015-01-07 15:00:00
20260913-143215,2015,20260913-143215\2015\20150108.parquet,2015-01-08,10192455,563217,2015-01-08 09:30:00,2015-01-08 15:00:00
20260913-143215,2015,20260913-143215\2015\20150109.parquet,2015-01-09,10147103,563458,2015-01-09 09:30:00,2015-01-09 15:00:00
20260913-143215,2015,20260913-143215\2015\20150112.parquet,2015-01-12,10200021,563217,2015-01-12 09:30:00,2015-01-12 15:00:00
20260913-143215,2015,20260913-143215\2015\20150113.parquet,2015-01-13,9916349,562494,2015-01-13 09:30:00,2015-01-13 15:00:00
20260913-143215,2015,20260913-143215\2015\20150114.parquet,2015-01-14,9945074,561289,2015-01-14 09:30:00,2015-01-14 15:00:00
20260913-143215,2015,20260913-143215\2015\20150115.parquet,2015-01-15,9872073,559602,2015-01-15 09:30:00,2015-01-15 15:00:00
20260913-143215,2015,20260913-143215\2015\20150116.parquet,2015-01-16,9781780,561289,2015-01-16 09:30:00,2015-01-16 15:00:00
20260913-143215,2015,20260913-143215\2015\20150119.parquet,2015-01-19,10534933,560084,2015-01-19 09:30:00,2015-01-19 15:00:00
20260913-143215,2015,20260913-143215\2015\20150120.parquet,2015-01-20,10248804,559843,2015-01-20 09:30:00,2015-01-20 15:00:00
20260913-143215,2015,20260913-143215\2015\20150121.parquet,2015-01-21,10237294,560566,2015-01-21 09:30:00,2015-01-21 15:00:00
20260913-143215,2015,20260913-143215\2015\20150122.parquet,2015-01-22,10152700,562494,2015-01-22 09:30:00,2015-01-22 15:00:00
20260913-143215,2015,20260913-143215\2015\20150123.parquet,2015-01-23,10273748,561530,2015-01-23 09:30:00,2015-01-23 15:00:00
20260913-143215,2015,20260913-143215\2015\20150126.parquet,2015-01-26,10096701,562735,2015-01-26 09:30:00,2015-01-26 15:00:00
20260913-143215,2015,20260913-143215\2015\20150127.parquet,2015-01-27,10357703,563699,2015-01-27 09:30:00,2015-01-27 15:00:00
20260913-143215,2015,20260913-143215\2015\20150128.parquet,2015-01-28,10276841,566109,2015-01-28 09:30:00,2015-01-28 15:00:00
20260913-143215,2015,20260913-143215\2015\20150129.parquet,2015-01-29,10130029,566832,2015-01-29 09:30:00,2015-01-29 15:00:00
20260913-143215,2015,20260913-143215\2015\20150130.parquet,2015-01-30,10256049,567314,2015-01-30 09:30:00,2015-01-30 15:00:00
20260913-143215,2015,20260913-143215\2015\20150202.parquet,2015-02-02,10161785,565868,2015-02-02 09:30:00,2015-02-02 15:00:00
20260913-143215,2015,20260913-143215\2015\20150203.parquet,2015-02-03,10043432,566109,2015-02-03 09:30:00,2015-02-03 15:00:00
20260913-143215,2015,20260913-143215\2015\20150204.parquet,2015-02-04,10017717,566350,2015-02-04 09:30:00,2015-02-04 15:00:00
20260913-143215,2015,20260913-143215\2015\20150205.parquet,2015-02-05,10329222,565386,2015-02-05 09:30:00,2015-02-05 15:00:00
20260913-143215,2015,20260913-143215\2015\20150206.parquet,2015-02-06,10372124,564663,2015-02-06 09:30:00,2015-02-06 15:00:00
20260913-143215,2015,20260913-143215\2015\20150209.parquet,2015-02-09,10067628,564422,2015-02-09 09:30:00,2015-02-09 15:00:00
20260913-143215,2015,20260913-143215\2015\20150210.parquet,2015-02-10,9755197,564663,2015-02-10 09:30:00,2015-02-10 15:00:00
20260913-143215,2015,20260913-143215\2015\20150211.parquet,2015-02-11,9742518,566109,2015-02-11 09:30:00,2015-02-11 15:00:00
20260913-143215,2015,20260913-143215\2015\20150212.parquet,2015-02-12,9910947,566832,2015-02-12 09:30:00,2015-02-12 15:00:00
20260913-143215,2015,20260913-143215\2015\20150213.parquet,2015-02-13,10077261,567314,2015-02-13 09:30:00,2015-02-13 15:00:00
20260913-143215,2015,20260913-143215\2015\20150216.parquet,2015-02-16,10048929,569242,2015-02-16 09:30:00,2015-02-16 15:00:00
20260913-143215,2015,20260913-143215\2015\20150217.parquet,2015-02-17,9978104,575508,2015-02-17 09:30:00,2015-02-17 15:00:00
20260913-143215,2015,20260913-143215\2015\20150225.parquet,2015-02-25,10276730,573821,2015-02-25 09:30:00,2015-02-25 15:00:00
20260913-143215,2015,20260913-143215\2015\20150226.parquet,2015-02-26,10259837,573821,2015-02-26 09:30:00,2015-02-26 15:00:00
20260913-143215,2015,20260913-143215\2015\20150227.parquet,2015-02-27,10240244,574062,2015-02-27 09:30:00,2015-02-27 15:00:00
20260913-143215,2015,20260913-143215\2015\20150302.parquet,2015-03-02,10465337,572616,2015-03-02 09:30:00,2015-03-02 15:00:00
20260913-143215,2015,20260913-143215\2015\20150303.parquet,2015-03-03,10635635,571652,2015-03-03 09:30:00,2015-03-03 15:00:00
20260913-143215,2015,20260913-143215\2015\20150304.parquet,2015-03-04,10513014,571652,2015-03-04 09:30:00,2015-03-04 15:00:00
20260913-143215,2015,20260913-143215\2015\20150305.parquet,2015-03-05,10067273,569965,2015-03-05 09:30:00,2015-03-05 15:00:00
20260913-143215,2015,20260913-143215\2015\20150306.parquet,2015-03-06,10597400,569965,2015-03-06 09:30:00,2015-03-06 15:00:00
20260913-143215,2015,20260913-143215\2015\20150309.parquet,2015-03-09,10628004,569242,2015-03-09 09:30:00,2015-03-09 15:00:00
20260913-143215,2015,20260913-143215\2015\20150310.parquet,2015-03-10,10455945,569483,2015-03-10 09:30:00,2015-03-10 15:00:00
20260913-143215,2015,20260913-143215\2015\20150311.parquet,2015-03-11,10544618,570206,2015-03-11 09:30:00,2015-03-11 15:00:00
20260913-143215,2015,20260913-143215\2015\20150312.parquet,2015-03-12,10676700,569724,2015-03-12 09:30:00,2015-03-12 15:00:00
20260913-143215,2015,20260913-143215\2015\20150313.parquet,2015-03-13,10485883,567796,2015-03-13 09:30:00,2015-03-13 15:00:00
20260913-143215,2015,20260913-143215\2015\20150316.parquet,2015-03-16,10510126,566350,2015-03-16 09:30:00,2015-03-16 15:00:00
20260913-143215,2015,20260913-143215\2015\20150317.parquet,2015-03-17,10726662,566109,2015-03-17 09:30:00,2015-03-17 15:00:00
20260913-143215,2015,20260913-143215\2015\20150318.parquet,2015-03-18,10681477,566350,2015-03-18 09:30:00,2015-03-18 15:00:00
20260913-143215,2015,20260913-143215\2015\20150319.parquet,2015-03-19,10846222,566591,2015-03-19 09:30:00,2015-03-19 15:00:00
20260913-143215,2015,20260913-143215\2015\20150320.parquet,2015-03-20,10783117,567314,2015-03-20 09:30:00,2015-03-20 15:00:00
20260913-143215,2015,20260913-143215\2015\20150323.parquet,2015-03-23,10648610,566109,2015-03-23 09:30:00,2015-03-23 15:00:00
20260913-143215,2015,20260913-143215\2015\20150324.parquet,2015-03-24,11000590,566350,2015-03-24 09:30:00,2015-03-24 15:00:00
20260913-143215,2015,20260913-143215\2015\20150325.parquet,2015-03-25,10816802,565145,2015-03-25 09:30:00,2015-03-25 15:00:00
20260913-143215,2015,20260913-143215\2015\20150326.parquet,2015-03-26,10888208,564663,2015-03-26 09:30:00,2015-03-26 15:00:00
20260913-143215,2015,20260913-143215\2015\20150327.parquet,2015-03-27,10690065,564181,2015-03-27 09:30:00,2015-03-27 15:00:00
20260913-143215,2015,20260913-143215\2015\20150330.parquet,2015-03-30,10699935,562253,2015-03-30 09:30:00,2015-03-30 15:00:00
20260913-143215,2015,20260913-143215\2015\20150331.parquet,2015-03-31,10882317,563699,2015-03-31 09:30:00,2015-03-31 15:00:00
20260913-143215,2015,20260913-143215\2015\20150401.parquet,2015-04-01,10625265,563458,2015-04-01 09:30:00,2015-04-01 15:00:00
20260913-143215,2015,20260913-143215\2015\20150402.parquet,2015-04-02,10763256,562012,2015-04-02 09:30:00,2015-04-02 15:00:00
20260913-143215,2015,20260913-143215\2015\20150403.parquet,2015-04-03,10782085,564663,2015-04-03 09:30:00,2015-04-03 15:00:00
20260913-143215,2015,20260913-143215\2015\20150407.parquet,2015-04-07,10785567,561530,2015-04-07 09:30:00,2015-04-07 15:00:00
20260913-143215,2015,20260913-143215\2015\20150408.parquet,2015-04-08,10794771,561289,2015-04-08 09:30:00,2015-04-08 15:00:00
20260913-143215,2015,20260913-143215\2015\20150409.parquet,2015-04-09,10992895,561048,2015-04-09 09:30:00,2015-04-09 15:00:00
20260913-143215,2015,20260913-143215\2015\20150410.parquet,2015-04-10,10816276,560566,2015-04-10 09:30:00,2015-04-10 15:00:00
20260913-143215,2015,20260913-143215\2015\20150413.parquet,2015-04-13,10791339,560566,2015-04-13 09:30:00,2015-04-13 15:00:00
20260913-143215,2015,20260913-143215\2015\20150414.parquet,2015-04-14,10931056,561289,2015-04-14 09:30:00,2015-04-14 15:00:00
20260913-143215,2015,20260913-143215\2015\20150415.parquet,2015-04-15,10905852,557915,2015-04-15 09:30:00,2015-04-15 15:00:00
20260913-143215,2015,20260913-143215\2015\20150416.parquet,2015-04-16,10838430,557674,2015-04-16 09:30:00,2015-04-16 15:00:00
20260913-143215,2015,20260913-143215\2015\20150417.parquet,2015-04-17,10881337,558397,2015-04-17 09:30:00,2015-04-17 15:00:00
20260913-143215,2015,20260913-143215\2015\20150420.parquet,2015-04-20,11014601,557915,2015-04-20 09:30:00,2015-04-20 15:00:00
20260913-143215,2015,20260913-143215\2015\20150421.parquet,2015-04-21,10815941,560566,2015-04-21 09:30:00,2015-04-21 15:00:00
20260913-143215,2015,20260913-143215\2015\20150422.parquet,2015-04-22,10819177,564181,2015-04-22 09:30:00,2015-04-22 15:00:00
20260913-143215,2015,20260913-143215\2015\20150423.parquet,2015-04-23,10974285,566350,2015-04-23 09:30:00,2015-04-23 15:00:00
20260913-143215,2015,20260913-143215\2015\20150424.parquet,2015-04-24,11000452,568760,2015-04-24 09:30:00,2015-04-24 15:00:00
20260913-143215,2015,20260913-143215\2015\20150427.parquet,2015-04-27,10948146,570206,2015-04-27 09:30:00,2015-04-27 15:00:00
20260913-143215,2015,20260913-143215\2015\20150428.parquet,2015-04-28,11013587,572616,2015-04-28 09:30:00,2015-04-28 15:00:00
20260913-143215,2015,20260913-143215\2015\20150429.parquet,2015-04-29,10803700,571652,2015-04-29 09:30:00,2015-04-29 15:00:00
20260913-143215,2015,20260913-143215\2015\20150430.parquet,2015-04-30,10835242,572375,2015-04-30 09:30:00,2015-04-30 15:00:00
20260913-143215,2015,20260913-143215\2015\20150504.parquet,2015-05-04,10771930,570206,2015-05-04 09:30:00,2015-05-04 15:00:00
20260913-143215,2015,20260913-143215\2015\20150505.parquet,2015-05-05,10949318,568519,2015-05-05 09:30:00,2015-05-05 15:00:00
20260913-143215,2015,20260913-143215\2015\20150506.parquet,2015-05-06,10916901,566832,2015-05-06 09:30:00,2015-05-06 15:00:00
20260913-143215,2015,20260913-143215\2015\20150507.parquet,2015-05-07,10907428,566350,2015-05-07 09:30:00,2015-05-07 15:00:00
20260913-143215,2015,20260913-143215\2015\20150508.parquet,2015-05-08,10760248,566591,2015-05-08 09:30:00,2015-05-08 15:00:00
20260913-143215,2015,20260913-143215\2015\20150511.parquet,2015-05-11,10809525,568760,2015-05-11 09:30:00,2015-05-11 15:00:00
20260913-143215,2015,20260913-143215\2015\20150512.parquet,2015-05-12,10950841,569965,2015-05-12 09:30:00,2015-05-12 15:00:00
20260913-143215,2015,20260913-143215\2015\20150513.parquet,2015-05-13,10951701,568519,2015-05-13 09:30:00,2015-05-13 15:00:00
20260913-143215,2015,20260913-143215\2015\20150514.parquet,2015-05-14,10856965,568037,2015-05-14 09:30:00,2015-05-14 15:00:00
20260913-143215,2015,20260913-143215\2015\20150515.parquet,2015-05-15,11015155,571170,2015-05-15 09:30:00,2015-05-15 15:00:00
20260913-143215,2015,20260913-143215\2015\20150518.parquet,2015-05-18,10669121,569001,2015-05-18 09:30:00,2015-05-18 15:00:00
20260913-143215,2015,20260913-143215\2015\20150519.parquet,2015-05-19,10762119,569242,2015-05-19 09:30:00,2015-05-19 15:00:00
20260913-143215,2015,20260913-143215\2015\20150520.parquet,2015-05-20,10734694,569965,2015-05-20 09:30:00,2015-05-20 15:00:00
20260913-143215,2015,20260913-143215\2015\20150521.parquet,2015-05-21,10718945,569483,2015-05-21 09:30:00,2015-05-21 15:00:00
20260913-143215,2015,20260913-143215\2015\20150522.parquet,2015-05-22,10852662,567073,2015-05-22 09:30:00,2015-05-22 15:00:00
20260913-143215,2015,20260913-143215\2015\20150525.parquet,2015-05-25,10715156,562494,2015-05-25 09:30:00,2015-05-25 15:00:00
20260913-143215,2015,20260913-143215\2015\20150526.parquet,2015-05-26,10687146,563699,2015-05-26 09:30:00,2015-05-26 15:00:00
20260913-143215,2015,20260913-143215\2015\20150527.parquet,2015-05-27,10696766,564904,2015-05-27 09:30:00,2015-05-27 15:00:00
20260913-143215,2015,20260913-143215\2015\20150528.parquet,2015-05-28,10810944,564663,2015-05-28 09:30:00,2015-05-28 15:00:00
20260913-143215,2015,20260913-143215\2015\20150529.parquet,2015-05-29,11051300,563940,2015-05-29 09:30:00,2015-05-29 15:00:00
20260913-143215,2015,20260913-143215\2015\20150601.parquet,2015-06-01,10571110,559361,2015-06-01 09:30:00,2015-06-01 15:00:00
20260913-143215,2015,20260913-143215\2015\20150602.parquet,2015-06-02,10684976,559361,2015-06-02 09:30:00,2015-06-02 15:00:00
20260913-143215,2015,20260913-143215\2015\20150603.parquet,2015-06-03,10860639,559361,2015-06-03 09:30:00,2015-06-03 15:00:00
20260913-143215,2015,20260913-143215\2015\20150604.parquet,2015-06-04,10899242,559361,2015-06-04 09:30:00,2015-06-04 15:00:00
20260913-143215,2015,20260913-143215\2015\20150605.parquet,2015-06-05,11006138,559361,2015-06-05 09:30:00,2015-06-05 15:00:00
20260913-143215,2015,20260913-143215\2015\20150608.parquet,2015-06-08,10942386,556469,2015-06-08 09:30:00,2015-06-08 15:00:00
20260913-143215,2015,20260913-143215\2015\20150609.parquet,2015-06-09,10961431,657689,2015-06-09 09:30:00,2015-06-09 15:00:00
20260913-143215,2015,20260913-143215\2015\20150610.parquet,2015-06-10,10829966,659617,2015-06-10 09:30:00,2015-06-10 15:00:00
20260913-143215,2015,20260913-143215\2015\20150611.parquet,2015-06-11,10805824,661786,2015-06-11 09:30:00,2015-06-11 15:00:00
20260913-143215,2015,20260913-143215\2015\20150612.parquet,2015-06-12,10863974,663232,2015-06-12 09:30:00,2015-06-12 15:00:00
20260913-143215,2015,20260913-143215\2015\20150615.parquet,2015-06-15,10874811,663232,2015-06-15 09:30:00,2015-06-15 15:00:00
20260913-143215,2015,20260913-143215\2015\20150616.parquet,2015-06-16,10973775,663232,2015-06-16 09:30:00,2015-06-16 15:00:00
20260913-143215,2015,20260913-143215\2015\20150617.parquet,2015-06-17,10913569,560566,2015-06-17 09:30:00,2015-06-17 15:00:00
20260913-143215,2015,20260913-143215\2015\20150618.parquet,2015-06-18,10927462,560566,2015-06-18 09:30:00,2015-06-18 15:00:00
20260913-143215,2015,20260913-143215\2015\20150619.parquet,2015-06-19,10833872,561771,2015-06-19 09:30:00,2015-06-19 15:00:00
20260913-143215,2015,20260913-143215\2015\20150623.parquet,2015-06-23,10929592,561771,2015-06-23 09:30:00,2015-06-23 15:00:00
20260913-143215,2015,20260913-143215\2015\20150624.parquet,2015-06-24,11045535,565386,2015-06-24 09:30:00,2015-06-24 15:00:00
20260913-143215,2015,20260913-143215\2015\20150625.parquet,2015-06-25,11065182,565386,2015-06-25 09:30:00,2015-06-25 15:00:00
20260913-143215,2015,20260913-143215\2015\20150626.parquet,2015-06-26,9128671,569001,2015-06-26 09:30:00,2015-06-26 15:00:00
20260913-143215,2015,20260913-143215\2015\20150629.parquet,2015-06-29,9460845,567073,2015-06-29 09:30:00,2015-06-29 15:00:00
20260913-143215,2015,20260913-143215\2015\20150630.parquet,2015-06-30,9874806,564181,2015-06-30 09:30:00,2015-06-30 15:00:00
20260913-143215,2015,20260913-143215\2015\20150701.parquet,2015-07-01,10954747,565627,2015-07-01 09:30:00,2015-07-01 15:00:00
20260913-143215,2015,20260913-143215\2015\20150702.parquet,2015-07-02,10009820,560566,2015-07-02 09:30:00,2015-07-02 15:00:00
20260913-143215,2015,20260913-143215\2015\20150703.parquet,2015-07-03,9066294,549721,2015-07-03 09:30:00,2015-07-03 15:00:00
20260913-143215,2015,20260913-143215\2015\20150706.parquet,2015-07-06,9256914,539840,2015-07-06 09:30:00,2015-07-06 15:00:00
20260913-143215,2015,20260913-143215\2015\20150707.parquet,2015-07-07,5262805,496942,2015-07-07 09:30:00,2015-07-07 15:00:00
20260913-143215,2015,20260913-143215\2015\20150708.parquet,2015-07-08,4206182,403434,2015-07-08 09:30:00,2015-07-08 15:00:00
20260913-143215,2015,20260913-143215\2015\20150709.parquet,2015-07-09,4648420,347040,2015-07-09 09:30:00,2015-07-09 15:00:00
20260913-143215,2015,20260913-143215\2015\20150710.parquet,2015-07-10,2919069,336677,2015-07-10 09:30:00,2015-07-10 15:00:00
20260913-143215,2015,20260913-143215\2015\20150713.parquet,2015-07-13,4935272,421027,2015-07-13 09:30:00,2015-07-13 15:00:00
20260913-143215,2015,20260913-143215\2015\20150714.parquet,2015-07-14,7226668,481518,2015-07-14 09:30:00,2015-07-14 15:00:00
20260913-143215,2015,20260913-143215\2015\20150715.parquet,2015-07-15,8265616,504895,2015-07-15 09:30:00,2015-07-15 15:00:00
