# fcst-reason-struct-full wave(batch) 003 输入渲染（由 render_batch.py 从 row_index.parquet 生成，schema v1）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=01200 type=扭亏 ts_code=600458.SH end_date=20191231 ann_date=20191031 update_flag=1
REASON: 受全球汽车市场持续下行的影响德国BOGE公司经营业绩下滑、可能存在的商誉减值及应收账款坏账损失等风险、出售时代华鑫公司65%的股权等事项，均会对公司2019年全年业绩产生重大不确定影响。

### ordinal=01201 type=扭亏 ts_code=600469.SH end_date=20181231 ann_date=20190131 update_flag=0
REASON: （一）主营业务影响报告期内，公司以成为中国轮胎“质”的领导者和具有全球影响力的专业公司的战略定位，推出一系列高端产品和品牌，优化市场、客户和产品结构调整，深化各基地业务整合，扩大高端产品生产和销售，淘汰低端产品，产品毛利率明显提升。报告期内主要原材料价格趋势相对稳定，公司持续推进采购等业务的深度融合与协同，原材料采购成本进一步降低。与此同时，公司以“提质降本整合增效”为工作主题，强化预算管理，严格控制各项成本费用，不断提升管理效率和运营效益，有效改善了公司整体盈利水平。（二）非经营性损益影响本期非经常性损益约为4,000万元，主要包括政府补助、债务重组收益以及处置公司所持其他上市公司的股票收益等。

### ordinal=01202 type=扭亏 ts_code=600469.SH end_date=20190630 ann_date=20190430 update_flag=1
REASON: 2019年，公司围绕“转型升级、以质取胜”的工作主题，通过实施商务、研发和制造三个“去复杂化”，实现全面优化升级，持续稳健提升公司业绩。

### ordinal=01203 type=扭亏 ts_code=600499.SH end_date=20191231 ann_date=20191031 update_flag=1
REASON: 2018年，受大额资产减值的影响，公司业绩出现亏损。根据公司2019年经营情况，预计2019年全年公司将实现扭亏为盈。具体财务数据以公司正式披露的公告为准，敬请广大投资者注意投资风险。

### ordinal=01204 type=扭亏 ts_code=600501.SH end_date=20191231 ann_date=20191030 update_flag=1
REASON: 预测年初至下一报告期期末的累计净利润与上年同期相比将发生重大变动，原因如下:（1）本年度公告的两个股权处置项目预计年底前完成。（2）根据公司产品结构特点，部分大项目将在四季度集中交付并产生效益。（3）报告期内加大应收账款清收力度，预计按信用减值计提的资产减值损失优于上年同期。

### ordinal=01205 type=扭亏 ts_code=600532.SH end_date=20181231 ann_date=20190130 update_flag=0
REASON: （一）2018年12月，公司与杭州泰若科技有限公司（以下简称“泰若科技”）签订了《股份转让协议》，公司将所持有的临淄农商行28,456,306股股份（占临淄农商行总股本的2.82%）以6,850万元转让给泰若科技。本次股份转让为公司带来约2,500万元的投资收益，具体内容详见公司2018-073号公告。（二）2018年度，公司参股公司宏啸科技预计实现净利润约1.1亿元到1.3亿元，从而给公司带来投资收益约3,300万元到3,900万元。

### ordinal=01206 type=扭亏 ts_code=600539.SH end_date=20181231 ann_date=20190131 update_flag=0
