year,exch,pm_rows,join_miss,mm4_cnt,mm6_cnt,mm4_rate,mm6_rate,bps_p50,bps_p90,bps_max
2015,sh,226868,0,124725,124816,0.5497690286862845,0.5501701429906377,9.711880867595557,25.25252525252597,1040.8921933085492
2015,sz,341699,0,3463,3464,0.010134650672082739,0.010137577224399253,39.68253968253954,140.84507042253725,980.9264305177112
2016,sh,250146,0,141982,142071,0.5675965236302,0.567952315847545,9.930486593843213,24.154589371983004,608.3086053412457
2016,sz,387673,0,996,997,0.0025691755680689655,0.0025717550616112033,11.520737327188613,36.6492146596864,451.2534818941494
2017,sh,298134,0,169395,169584,0.568184105133933,0.5688180482601783,9.50570342205248,23.255813953487745,639.9482870071105
2017,sz,444023,0,116,116,0.00026124772815822603,0.00026124772815822603,11.312217194570096,31.77124702144485,104.38413361169019
2018,sh,332204,0,116573,116724,0.35090787588349326,0.35136241586495043,11.534025374855261,29.045643153526868,424.5283018867907
2018,sz,484122,0,291,291,0.0006010881554649448,0.0006010881554649448,16.694490818029983,46.36785162287494,100.5025125628134
2019,sh,361847,0,344,344,0.0009506780490096643,0.0009506780490096643,18.541409147095898,40.241448692153185,132.15859030837106
2019,sz,522542,0,232,232,0.0004439834501341519,0.0004439834501341519,19.0839694656475,45.372050816695484,122.69938650306678
2020,sh,402037,0,167,167,0.00041538465365128087,0.00041538465365128087,16.750418760468342,45.317220543807935,121.71684817424699
2020,sz,543662,0,62,62,0.00011404144486831891,0.00011404144486831891,25.90673575129543,45.45454545454408,97.56097560975618
2021,sh,465034,0,466,471,0.0010020772674686153,0.001012829169480081,11.376564277587597,34.4234079173833,132.11382113821224
2021,sz,593574,0,112,112,0.0001886875098976707,0.0001886875098976707,17.331022530331364,39.52569169960341,92.42144177449063
2022,sh,506993,0,866,880,0.0017081103683877293,0.0017357241618720573,12.334258402713072,41.472265422497486,249.99999999999912
2022,sz,639026,0,51,51,0.00007980895925987362,0.00007980895925987362,13.812154696131174,61.29597197898406,92.08103130755151
2023,sh,536039,0,234,237,0.0004365354013420665,0.0004421320090515802,12.048192771083599,34.31708991077586,91.44874057436026
2023,sz,673196,0,10,10,0.000014854514881253009,0.000014854514881253009,11.38408431566984,28.169014084507005,36.69724770642091
2024,sh,547431,0,317,318,0.0005790684122747889,0.0005808951265090943,12.338062924119875,36.54080389768666,312.5
2024,sz,685527,0,39,39,0.00005689053822825359,0.00005689053822825359,15.576323987538387,45.45454545454408,80.25682182985605
