trade_date,rows,mm6_cnt
2018-07-02,1357,800
2018-07-03,1360,695
2018-07-04,1360,777
2018-07-05,1363,860
2018-07-06,1360,778
2018-07-09,1364,688
2018-07-10,1365,710
2018-07-11,1365,778
2018-07-12,1363,687
2018-07-13,1367,725
2018-07-16,1371,725
2018-07-17,1371,712
2018-07-18,1371,755
2018-07-19,1372,766
2018-07-20,1372,744
2018-07-23,1373,715
2018-07-24,1373,703
2018-07-25,1373,703
2018-07-26,1373,753
2018-07-27,1375,773
2018-07-30,1376,838
2018-07-31,1376,782
2018-08-01,1379,842
2018-08-02,1379,855
2018-08-03,1379,828
2018-08-06,1380,793
2018-08-07,1382,715
2018-08-08,1381,773
2018-08-09,1383,737
2018-08-10,1382,723
2018-08-13,1381,750
2018-08-14,1383,745
2018-08-15,1386,793
2018-08-16,1387,854
2018-08-17,1391,839
2018-08-20,1393,1
2018-08-21,1393,0
2018-08-22,1393,2
2018-08-23,1393,2
2018-08-24,1395,4
2018-08-27,1396,1
2018-08-28,1398,1
2018-08-29,1398,7
2018-08-30,1397,5
2018-08-31,1398,2
2018-09-03,1398,5
2018-09-04,1398,6
2018-09-05,1399,7
2018-09-06,1398,2
2018-09-07,1396,5
2018-09-10,1398,3
2018-09-11,1398,4
2018-09-12,1400,5
2018-09-13,1403,3
2018-09-14,1405,7
2018-09-17,1406,3
2018-09-18,1408,5
2018-09-19,1408,2
2018-09-20,1409,3
2018-09-21,1412,1
2018-09-25,1413,5
2018-09-26,1414,1
2018-09-27,1412,0
2018-09-28,1414,2
