trade_date,symbol,close,off_close,diff_fen
2018-09-13,sh.600007,14.82,14.81,1.0
2018-09-04,sh.600035,3.13,3.14,1.0
2018-12-24,sh.600058,6.84,6.87,3.0
2018-10-08,sh.600091,3.47,3.46,1.0
2018-12-26,sh.600091,3.83,3.81,2.0
2018-12-17,sh.600121,3.07,3.08,1.0
2018-08-30,sh.600128,6.39,6.38,1.0
2018-09-06,sh.600128,6.27,6.28,1.0
2018-10-16,sh.600159,2.22,2.21,1.0
2018-11-01,sh.600168,5.78,5.79,1.0
2018-11-07,sh.600168,5.86,5.87,1.0
2018-10-17,sh.600178,4.01,4.0,1.0
2018-10-09,sh.600189,4.18,4.17,1.0
2018-10-18,sh.600189,3.42,3.41,1.0
2018-12-12,sh.600190,2.9,2.91,1.0
2018-12-14,sh.600190,2.9,2.89,1.0
2018-08-30,sh.600229,7.12,7.11,1.0
2018-11-28,sh.600234,7.29,7.25,4.0
2018-12-12,sh.600234,8.17,8.13,4.0
2018-10-10,sh.600235,4.49,4.48,1.0
2018-08-30,sh.600246,3.89,3.88,1.0
2018-10-11,sh.600246,3.6,3.61,1.0
2018-09-03,sh.600265,25.67,25.61,6.0
2018-09-14,sh.600265,25.3,25.28,2.0
2018-11-27,sh.600265,24.13,24.09,4.0
2018-12-17,sh.600268,3.96,3.97,1.0
2018-09-12,sh.600272,7.42,7.41,1.0
2018-10-10,sh.600279,4.22,4.2,2.0
2018-10-23,sh.600285,7.56,7.57,1.0
2018-10-24,sh.600302,3.96,3.97,1.0
2018-12-12,sh.600302,4.4,4.42,2.0
2018-12-24,sh.600321,1.85,1.84,1.0
2018-09-18,sh.600327,4.53,4.54,1.0
2018-12-18,sh.600356,5.74,5.71,3.0
2018-12-19,sh.600356,5.62,5.61,1.0
2018-09-05,sh.600377,8.97,8.96,1.0
2018-09-28,sh.600379,6.81,6.82,1.0
2018-11-07,sh.600386,3.19,3.18,1.0
2018-09-07,sh.600396,2.19,2.18,1.0
2018-10-24,sh.600396,1.95,1.94,1.0
2018-11-26,sh.600403,3.76,3.74,2.0
2018-12-11,sh.600403,3.82,3.83,1.0
2018-12-12,sh.600403,3.82,3.83,1.0
2018-08-29,sh.600421,5.24,5.25,1.0
2018-09-03,sh.600421,5.23,5.18,5.0
2018-09-04,sh.600421,5.24,5.23,1.0
2018-09-11,sh.600421,5.17,5.15,2.0
2018-09-18,sh.600421,5.15,5.14,1.0
2018-09-19,sh.600421,5.15,5.16,1.0
2018-09-18,sh.600444,10.38,10.37,1.0
2018-09-28,sh.600444,10.45,10.46,1.0
2018-09-20,sh.600452,16.22,16.16,6.0
2018-12-25,sh.600452,16.34,16.31,3.0
2018-09-14,sh.600488,3.83,3.82,1.0
2018-12-27,sh.600488,3.73,3.72,1.0
2018-10-24,sh.600510,5.5,5.49,1.0
2018-09-05,sh.600513,6.74,6.75,1.0
2018-09-25,sh.600513,6.73,6.74,1.0
2018-09-14,sh.600539,5.9,5.89,1.0
2018-10-12,sh.600539,5.75,5.72,3.0
2018-12-17,sh.600539,6.64,6.63,1.0
2018-09-17,sh.600551,8.07,8.06,1.0
2018-08-23,sh.600599,11.9,11.86,4.0
2018-10-15,sh.600605,8.14,8.11,3.0
2018-09-20,sh.600615,8.73,8.74,1.0
2018-08-22,sh.600617,5.63,5.62,1.0
2018-09-11,sh.600639,10.77,10.8,3.0
2018-12-20,sh.600644,4.56,4.57,1.0
2018-08-28,sh.600692,6.87,6.86,1.0
2018-08-27,sh.600697,20.31,20.3,1.0
2018-10-23,sh.600697,18.99,18.98,1.0
2018-11-30,sh.600697,19.42,19.43,1.0
2018-12-13,sh.600697,19.35,19.36,1.0
2018-08-30,sh.600713,4.7,4.71,1.0
2018-09-26,sh.600713,4.86,4.85,1.0
2018-09-12,sh.600714,6.69,6.67,2.0
2018-10-12,sh.600723,6.17,6.14,3.0
2018-12-19,sh.600731,4.39,4.38,1.0
2018-10-09,sh.600732,4.04,4.03,1.0
2018-08-29,sh.600742,10.43,10.44,1.0
2018-11-05,sh.600749,9.31,9.27,4.0
2018-12-24,sh.600769,4.02,4.04,2.0
2018-09-17,sh.600774,10.68,10.69,1.0
2018-09-13,sh.600778,4.72,4.73,1.0
2018-10-09,sh.600785,17.29,17.27,2.0
2018-10-10,sh.600785,17.27,17.28,1.0
2018-10-25,sh.600785,16.15,16.12,3.0
2018-10-29,sh.600785,16.18,16.19,1.0
2018-12-20,sh.600794,2.71,2.7,1.0
2018-08-29,sh.600814,5.94,5.92,2.0
2018-11-26,sh.600814,5.16,5.15,1.0
2018-09-04,sh.600817,6.87,6.86,1.0
2018-09-21,sh.600817,6.72,6.69,3.0
2018-12-17,sh.600829,6.14,6.15,1.0
2018-12-27,sh.600829,5.9,5.88,2.0
2018-08-29,sh.600830,5.21,5.18,3.0
2018-10-24,sh.600836,3.57,3.56,1.0
2018-09-14,sh.600843,7.8,7.76,4.0
2018-10-25,sh.600857,7.97,7.96,1.0
2018-11-26,sh.600865,5.95,5.94,1.0
2018-12-18,sh.600865,5.85,5.82,3.0
2018-11-27,sh.600866,3.49,3.47,2.0
2018-11-29,sh.600866,3.45,3.44,1.0
2018-10-10,sh.600936,4.29,4.28,1.0
2018-09-20,sh.600965,10.71,10.69,2.0
2018-12-24,sh.600965,10.0,9.99,1.0
2018-09-07,sh.600969,6.1,6.08,2.0
