symbol,days,first_date,last_date
sh.600265,50,2018-09-03,2022-07-13
sh.688178,37,2020-05-08,2024-07-22
sh.688113,33,2021-11-26,2024-10-29
sh.688198,32,2020-11-05,2024-07-24
sh.688069,29,2020-09-04,2024-09-20
sh.688335,28,2021-01-20,2024-10-11
sh.688157,27,2020-12-04,2024-06-05
sh.688309,27,2020-12-03,2024-10-30
sh.688528,23,2020-12-28,2023-05-05
sh.688090,23,2020-12-03,2022-05-18
sh.688611,22,2022-03-24,2024-09-06
sh.603991,22,2019-01-15,2023-08-02
sh.600539,22,2018-09-14,2021-10-26
sh.688229,21,2020-10-21,2022-11-24
sh.688067,21,2021-09-27,2024-07-24
sh.688215,20,2021-07-29,2024-08-14
sh.600234,20,2018-11-28,2021-04-23
sh.688013,20,2021-04-07,2024-09-02
sh.688500,20,2021-04-23,2024-07-29
sh.688625,20,2022-01-18,2024-09-18
sh.688367,20,2022-03-22,2024-09-19
sh.600785,19,2018-10-09,2022-02-11
sh.688369,19,2021-02-24,2023-03-08
sh.688096,19,2020-11-19,2024-08-21
sh.688577,18,2021-02-02,2024-05-30
sh.688059,17,2022-01-24,2023-02-08
sh.688272,17,2022-07-12,2024-01-11
sh.688466,16,2021-02-02,2024-09-03
sh.688193,16,2022-06-13,2024-12-25
sh.600671,16,2020-09-03,2024-12-30
sh.688656,16,2022-05-06,2024-05-27
sh.688109,15,2021-07-27,2022-12-21
sh.688683,15,2021-12-20,2024-09-20
sh.688566,15,2021-10-11,2022-09-09
sh.688679,15,2021-05-24,2023-07-05
sh.688314,15,2022-03-03,2024-09-10
sh.688269,14,2022-02-16,2024-09-06
sh.688623,14,2024-04-16,2024-12-04
sh.688677,14,2021-10-27,2024-12-30
sh.688789,13,2021-09-01,2023-03-14
sh.688585,13,2022-01-11,2024-12-26
sh.688370,13,2023-06-14,2024-12-27
sh.688600,13,2020-11-11,2024-06-21
sh.688211,13,2022-09-16,2024-11-28
sh.688618,13,2021-03-30,2022-12-07
sh.688004,13,2020-12-02,2024-08-20
