year,trade_date,symbol,close,off_close,diff_fen
2015,2015-03-05,sz.000001,13.31,13.38,7.0
2015,2015-04-28,sz.000001,16.8,16.7,10.0
2015,2015-07-01,sz.000001,13.94,13.92,2.0
2015,2015-03-05,sz.000002,11.85,11.9,5.0
2015,2015-04-28,sz.000002,14.23,14.19,4.0
2015,2015-03-05,sz.000004,19.19,19.23,4.0
2015,2015-04-28,sz.000004,24.3,24.29,1.0
2015,2015-07-01,sz.000004,34.9,35.7,80.0
2015,2015-03-05,sz.000006,6.64,6.66,2.0
2015,2015-04-28,sz.000006,10.86,10.84,2.0
2015,2015-07-01,sz.000006,13.1,12.89,21.0
2015,2015-03-05,sz.000007,13.25,13.32,7.0
2015,2015-04-28,sz.000007,23.96,23.9,6.0
2015,2015-03-05,sz.000008,32.99,32.88,11.0
2015,2015-03-05,sz.000009,15.56,15.61,5.0
2015,2015-04-28,sz.000009,20.0,19.93,7.0
2015,2015-07-01,sz.000010,10.22,9.9,32.0
2015,2015-03-05,sz.000011,9.48,9.52,4.0
2015,2015-04-28,sz.000011,14.12,14.13,1.0
2015,2015-03-05,sz.000012,9.9,10.04,14.0
2015,2015-04-28,sz.000012,14.71,14.65,6.0
2015,2015-07-01,sz.000012,13.38,13.42,4.0
2015,2015-03-05,sz.000014,15.06,15.0,6.0
2015,2015-04-28,sz.000014,21.1,21.5,40.0
2015,2015-03-05,sz.000016,9.21,9.2,1.0
2015,2015-03-05,sz.000017,8.93,8.95,2.0
2015,2015-04-28,sz.000017,13.6,13.56,4.0
2015,2015-03-05,sz.000018,25.35,25.61,26.0
2015,2015-04-28,sz.000018,29.9,29.95,5.0
2015,2015-07-01,sz.000018,32.5,32.97,47.0
2015,2015-03-05,sz.000019,9.04,9.01,3.0
2015,2015-04-28,sz.000019,13.92,13.8,12.0
2015,2015-07-01,sz.000019,14.28,14.41,13.0
2015,2015-04-28,sz.000020,14.76,14.68,8.0
2015,2015-03-05,sz.000021,9.57,9.6,3.0
2015,2015-04-28,sz.000021,12.99,12.96,3.0
2015,2015-03-05,sz.000023,25.15,24.99,16.0
2015,2015-04-28,sz.000023,25.64,25.68,4.0
2015,2015-07-01,sz.000023,22.5,22.96,46.0
2015,2015-03-05,sz.000024,22.92,23.11,19.0
2015,2015-03-05,sz.000025,15.42,15.5,8.0
2015,2015-03-05,sz.000026,12.79,12.82,3.0
2015,2015-04-28,sz.000026,16.39,16.43,4.0
2015,2015-03-05,sz.000027,10.35,10.37,2.0
2015,2015-03-05,sz.000028,51.33,51.28,5.0
2015,2015-04-28,sz.000028,70.91,70.89,2.0
2015,2015-07-01,sz.000028,69.48,68.9,58.0
2015,2015-03-05,sz.000029,6.67,6.62,5.0
2015,2015-04-28,sz.000029,11.12,11.11,1.0
2015,2015-03-05,sz.000030,9.26,9.32,6.0
2015,2015-07-01,sz.000030,10.57,10.44,13.0
2015,2015-03-05,sz.000031,8.55,8.6,5.0
2015,2015-04-28,sz.000031,12.83,12.73,10.0
2015,2015-03-05,sz.000032,13.85,13.95,10.0
2015,2015-04-28,sz.000032,20.1,20.33,23.0
2015,2015-03-05,sz.000034,8.28,8.4,12.0
2015,2015-03-05,sz.000035,14.21,14.27,6.0
2015,2015-03-05,sz.000037,7.98,7.97,1.0
2015,2015-04-28,sz.000037,12.34,12.49,15.0
2015,2015-03-05,sz.000039,19.04,19.14,10.0
2015,2015-04-28,sz.000039,25.92,26.0,8.0
2015,2015-07-01,sz.000039,31.1,30.84,26.0
2015,2015-03-05,sz.000040,7.1,7.13,3.0
2015,2015-04-28,sz.000040,9.08,9.06,2.0
2015,2015-03-05,sz.000042,14.78,14.96,18.0
2015,2015-04-28,sz.000042,21.56,21.59,3.0
2015,2015-07-01,sz.000042,22.6,23.1,50.0
2015,2015-03-05,sz.000045,10.71,10.65,6.0
2015,2015-04-28,sz.000045,13.59,13.58,1.0
2015,2015-03-05,sz.000046,13.44,13.53,9.0
2015,2015-03-05,sz.000048,13.48,13.56,8.0
2015,2015-07-01,sz.000048,22.96,22.97,1.0
2015,2015-04-28,sz.000049,41.3,41.29,1.0
2015,2015-07-01,sz.000049,45.8,45.26,54.0
2015,2015-03-05,sz.000050,23.26,23.44,18.0
2015,2015-04-28,sz.000050,26.93,26.8,13.0
2015,2015-03-05,sz.000055,9.53,9.55,2.0
2015,2015-04-28,sz.000055,13.26,13.29,3.0
2015,2015-07-01,sz.000055,11.34,11.45,11.0
2015,2015-03-05,sz.000056,17.5,17.41,9.0
2015,2015-04-28,sz.000056,21.69,21.64,5.0
2015,2015-03-05,sz.000058,8.94,9.24,30.0
2015,2015-04-28,sz.000058,15.01,14.99,2.0
2015,2015-03-05,sz.000059,9.14,9.13,1.0
2015,2015-03-05,sz.000060,11.19,11.3,11.0
2015,2015-04-28,sz.000060,18.11,18.14,3.0
2015,2015-03-05,sz.000061,14.69,14.53,16.0
2015,2015-04-28,sz.000061,17.99,17.96,3.0
2015,2015-07-01,sz.000061,18.66,18.37,29.0
2015,2015-03-05,sz.000062,28.13,28.23,10.0
2015,2015-03-05,sz.000063,19.84,19.9,6.0
2015,2015-04-28,sz.000063,27.99,27.96,3.0
2015,2015-07-01,sz.000063,23.31,23.38,7.0
2015,2015-03-05,sz.000065,18.75,18.96,21.0
2015,2015-07-01,sz.000065,36.95,37.8,85.0
2015,2015-04-28,sz.000066,15.22,15.18,4.0
2015,2015-04-28,sz.000069,9.98,9.97,1.0
2015,2015-07-01,sz.000069,11.68,11.7,2.0
2015,2015-04-28,sz.000070,22.64,22.58,6.0
2015,2015-03-05,sz.000078,10.71,10.77,6.0
2015,2015-04-28,sz.000078,22.55,22.46,9.0
2015,2015-07-01,sz.000078,19.99,19.85,14.0
2015,2015-03-05,sz.000088,9.8,9.87,7.0
2015,2015-07-01,sz.000088,14.02,13.75,27.0
2015,2015-03-05,sz.000089,6.11,6.15,4.0
2015,2015-04-28,sz.000089,8.72,8.69,3.0
2015,2015-07-01,sz.000089,10.39,10.2,19.0
2015,2015-03-05,sz.000090,16.86,16.82,4.0
2015,2015-04-28,sz.000090,22.18,22.29,11.0
2015,2015-07-01,sz.000090,21.99,22.53,54.0
2015,2015-03-05,sz.000096,8.14,8.1,4.0
