symbol,name,asset_class,status,list_date,delist_date,first_date,last_date,n_rows,dates_in_win_dev,dev_cov,dates_in_win_val,val_cov,min_cov,coverage_pass,amount_median,amount_p25,amount_median_pct_rank,liquidity_low_flag,liquidity_pass,n_events_gt6pct,n_split_merge,n_dividend,n_halt_resume,n_no_factor_defect,n_normal_move,max_abs_jump,split_class_flag,has_split_merge_event,n_unmodeled_defect_days,n_defect_factor_null,defect_first_date,defect_last_date,factor_missing_rows,factor_fully_missing,screen_pass
sh.501011,汇添富中证中药ETF联接(LOF)-A,equity,L,2017-02-20,,2017-02-20,2024-12-31,1881,912,0.623803,969,1.0,0.623803,false,538400.0,45689.0,13.174,true,false,21,0,0,0,0,21,0.100365,false,false,0,0,,,0,false,false
sh.501012,汇添富中证中药ETF联接(LOF)-C,equity,L,2017-02-20,,2017-02-20,2024-12-31,1821,852,0.582763,969,1.0,0.582763,false,92151.0,17887.0,5.389,true,false,29,0,0,0,0,29,0.100302,false,false,0,0,,,0,false,false
sh.501029,华宝标普中国A股红利机会ETF联接(LOF)-A,equity,L,2017-02-13,,2017-02-13,2024-12-31,1919,950,0.649795,969,1.0,0.649795,false,2824948.0,985468.0,27.973,true,true,4,0,0,0,0,4,0.088776,false,false,0,0,,,0,false,false
sh.501036,汇添富中证500ETF联接(LOF)-A,equity,L,2017-10-09,,2017-10-09,2024-12-31,1742,779,0.532832,963,0.993808,0.532832,false,55884.0,18662.0,3.849,true,false,13,0,0,0,0,13,0.100546,false,false,0,0,,,0,false,false
sh.501037,汇添富中证500ETF联接(LOF)-C,equity,L,2017-10-09,,2017-10-09,2024-12-31,1599,746,0.51026,853,0.880289,0.51026,false,21725.0,5040.0,1.112,true,false,13,0,0,1,0,12,0.097636,false,false,0,0,,,0,false,false
sh.501047,汇添富中证全指证券公司ETF联接(LOF)-A,equity,L,2018-01-18,,2018-01-18,2024-12-31,1604,667,0.456224,937,0.966976,0.456224,false,24045.0,6455.0,1.283,true,false,32,0,0,0,0,32,0.100473,false,false,0,0,,,0,false,false
sh.501048,汇添富中证全指证券公司ETF联接(LOF)-C,equity,L,2018-01-18,,2018-01-18,2024-12-31,1597,656,0.4487,941,0.971104,0.4487,false,27706.0,7611.0,1.54,true,false,26,0,0,1,0,25,0.100376,false,false,0,0,,,0,false,false
sh.501090,华宝中证消费龙头ETF联接(LOF)-A,equity,L,2020-01-06,,2020-01-06,2024-12-31,1210,241,0.164843,969,1.0,0.164843,false,1107553.5,525787.0,17.879,true,false,6,0,0,0,0,6,0.099895,false,false,0,0,,,0,false,false
sh.501301,华宝港股通恒生中国(香港上市)30ETF联接(LOF)-A,cross_border,L,2017-05-08,,2017-05-08,2024-12-31,1848,889,0.608071,959,0.98968,0.608071,false,51263.5,19762.0,3.422,true,false,2,0,0,0,0,2,0.080369,false,false,0,0,,,0,false,false
sh.501302,南方恒生ETF联接(QDII-LOF)-A,cross_border,L,2017-08-15,,2017-08-15,2024-12-31,1612,644,0.440492,968,0.998968,0.440492,false,79808.0,25514.0,5.047,true,false,51,0,0,6,0,45,0.100321,false,false,0,0,,,0,false,false
sh.501305,汇添富中证港股通高股息投资ETF联接(LOF)-A,cross_border,L,2018-01-18,,2018-01-18,2024-12-31,1556,634,0.433653,922,0.951496,0.433653,false,33679.5,8962.0,1.796,true,false,12,0,0,1,0,11,0.099497,false,false,0,0,,,0,false,false
sh.501306,汇添富中证港股通高股息投资ETF联接(LOF)-C,cross_border,L,2018-01-18,,2018-01-18,2024-12-31,1302,427,0.292066,875,0.902993,0.292066,false,11702.0,2329.0,0.342,true,false,29,0,0,8,0,21,0.10069,false,false,0,0,,,0,false,false
sh.502056,广发中证医疗ETF联接(LOF)-A,equity,L,2020-08-26,,2015-07-31,2024-12-31,2252,1283,0.877565,969,1.0,0.877565,false,134233.0,33514.0,6.416,true,false,36,0,0,0,2,34,0.588785,true,false,7,7,2016-02-02,2020-08-31,1200,false,false
sh.510010,交银上证180公司治理ETF,equity,L,2009-12-15,,2015-01-05,2024-12-31,2412,1457,0.99658,955,0.985552,0.985552,true,60898.5,18330.0,3.935,true,false,22,0,0,0,0,22,0.10039,false,false,0,0,,,0,false,false
sh.510020,博时上证超级大盘ETF,equity,L,2010-03-19,,2015-01-05,2024-12-31,2423,1454,0.994528,969,1.0,0.994528,true,176090.0,50512.0,7.442,true,false,24,0,0,1,0,23,0.100042,false,false,0,0,,,0,false,false
sh.510030,华宝上证180价值ETF,equity,L,2010-05-28,,2015-01-05,2024-12-31,2421,1453,0.993844,968,0.998968,0.993844,true,431791.0,131552.0,11.719,true,false,20,1,0,0,0,19,0.876681,true,true,0,0,,,0,false,false
sh.510050,华夏上证50ETF,equity,L,2005-02-23,,2015-01-05,2024-12-31,2431,1462,1.0,969,1.0,1.0,true,1589411885.0,997247203.0,99.059,false,true,18,0,0,0,0,18,0.099846,false,false,0,0,,,0,false,true
sh.510060,工银瑞信上证中央企业50ETF,equity,L,2009-10-27,,2015-01-05,2024-12-31,2431,1462,1.0,969,1.0,1.0,true,533964.0,166012.0,13.003,true,false,18,0,0,0,0,18,0.100251,false,false,0,0,,,0,false,false
sh.510070,鹏华上证民营企业50ETF,equity,D,2010-10-29,2020-08-13,2015-01-05,2020-06-24,1135,1135,0.776334,0,0.0,0.0,false,46253.0,8225.0,2.994,true,false,28,0,0,5,0,23,0.100172,false,false,0,0,,,0,false,false
sh.510090,建信上证社会责任ETF,equity,L,2010-08-09,,2015-01-05,2024-12-31,2239,1330,0.909713,909,0.93808,0.909713,false,19245.0,5073.0,0.855,true,false,58,0,0,5,0,53,0.10034,false,false,0,0,,,0,false,false
sh.510100,易方达上证50ETF,equity,L,2019-10-09,,2019-10-09,2024-12-31,1271,303,0.20725,968,0.998968,0.20725,false,33676436.0,17679728.0,75.706,false,true,4,1,0,0,0,3,0.193604,false,true,0,0,,,0,false,false
sh.510110,海富通上证周期行业50ETF,equity,D,2010-11-15,2023-08-11,2015-01-05,2023-07-04,1925,1323,0.904925,602,0.621259,0.621259,false,63068.0,15006.0,4.106,true,false,44,0,0,2,0,42,0.1,false,false,0,0,,,0,false,false
sh.510120,海富通上证非周期行业100ETF,equity,D,2011-06-08,2023-08-11,2015-01-05,2023-06-28,1717,1185,0.810534,532,0.54902,0.54902,false,22607.0,5173.0,1.198,true,false,63,0,0,9,0,54,0.100127,false,false,0,0,,,0,false,false
sh.510130,易方达上证中盘ETF,equity,L,2010-06-23,,2015-01-05,2024-12-31,2287,1346,0.920657,941,0.971104,0.920657,false,120656.0,26983.0,5.902,true,false,26,0,0,1,0,25,0.100093,false,false,0,0,,,0,false,false
sh.510150,招商上证消费80ETF,equity,L,2011-02-25,,2015-01-05,2024-12-31,2421,1453,0.993844,968,0.998968,0.993844,true,6954009.0,201056.0,45.252,true,true,36,1,0,0,0,35,0.916459,true,true,0,0,,,0,false,true
sh.510160,南方中证南方小康产业ETF,equity,L,2010-11-01,,2015-01-05,2024-12-31,2431,1462,1.0,969,1.0,1.0,true,479855.0,205350.0,12.404,true,false,22,0,0,0,0,22,0.100683,false,false,0,0,,,0,false,false
sh.510170,国联安上证大宗商品股票ETF,equity,L,2011-01-25,,2015-01-05,2024-12-31,2391,1423,0.973324,968,0.998968,0.973324,true,695574.0,47861.0,15.141,true,false,39,1,0,0,0,38,0.758722,true,true,0,0,,,0,false,false
sh.510180,华安上证180ETF,equity,L,2006-05-18,,2015-01-05,2024-12-31,2431,1462,1.0,969,1.0,1.0,true,65679055.0,39578202.0,85.287,false,true,18,0,0,0,0,18,0.1,false,false,0,0,,,0,false,true
sh.510190,华安上证50ETF,equity,L,2011-01-10,,2015-01-05,2024-12-31,2403,1441,0.985636,962,0.992776,0.985636,true,185224.0,48017.0,7.87,true,false,33,0,0,2,0,31,0.100141,false,false,0,0,,,0,false,false
sh.510200,汇安上证证券ETF,equity,L,2020-05-08,,2020-05-08,2024-12-31,1131,162,0.110807,969,1.0,0.110807,false,2588541.0,1376657.0,27.374,true,true,16,0,0,0,0,16,0.1,false,false,0,0,,,0,false,false
sh.510210,富国上证综指ETF,equity,L,2011-03-25,,2015-01-05,2024-12-31,2409,1441,0.985636,968,0.998968,0.985636,true,8710459.0,84779.0,50.385,true,true,29,1,2,0,0,26,0.799562,true,true,0,0,,,0,false,true
