dataset,dir,family,shape,n_chunks,date_first,date_last,dev_days,val_days,days_2025plus,sample_cols,pit_fields,sample_symbols,sampled,sample_date_first,sample_date_last
tushare/daily_basic,D:\量化\data\raw\tushare\daily_basic,估值/日频指标,date_chunks,2841,20150105,20260909,1462,969,410,"[""ts_code"", ""trade_date"", ""close"", ""turnover_rate"", ""turnover_rate_f"", ""volume_ratio"", ""pe"", ""pe_ttm"", ""pb"", ""ps"", ""ps_ttm"", ""dv_ratio"", ""dv_ttm"", ""total_share""]",[],5791,,,
tushare/stk_limit,D:\量化\data\raw\tushare\stk_limit,涨跌停,date_chunks,2431,20150105,20241231,1462,969,0,"[""trade_date"", ""ts_code"", ""up_limit"", ""down_limit""]",[],5677,,,
tushare/margin_detail,D:\量化\data\raw\tushare\margin_detail,资金面/两融,date_chunks,1866,20190102,20260909,487,969,410,[],[],3336,,,
tushare/top_list,D:\量化\data\raw\tushare\top_list,资金面/龙虎榜,date_chunks,1866,20190102,20260909,487,969,410,[],[],94,,,
tushare/top_inst,D:\量化\data\raw\tushare\top_inst,资金面/龙虎榜,date_chunks,1866,20190102,20260909,487,969,410,"[""trade_date"", ""ts_code"", ""exalter"", ""buy"", ""buy_rate"", ""sell"", ""sell_rate"", ""net_buy"", ""side"", ""reason""]",[],153,,,
tushare/dividend,D:\量化\data\raw\tushare\dividend,公告事件/分红,date_chunks,2841,20150105,20260909,1462,969,410,"[""ts_code"", ""end_date"", ""ann_date"", ""div_proc"", ""stk_div"", ""stk_bo_rate"", ""stk_co_rate"", ""cash_div"", ""cash_div_tax"", ""record_date"", ""ex_date"", ""pay_date"", ""div_listdate"", ""imp_ann_date""]","[""ann_date""]",18,,,
tushare/forecast,D:\量化\data\raw\tushare\forecast,公告事件/业绩预告,per_symbol_chunks,97,,,,,,"[""ts_code"", ""ann_date"", ""end_date"", ""type"", ""p_change_min"", ""p_change_max"", ""net_profit_min"", ""net_profit_max"", ""last_parent_net"", ""first_ann_date"", ""summary"", ""change_reason"", ""update_flag""]","[""ann_date"", ""update_flag""]",,40,20180930,20271231
tushare/express,D:\量化\data\raw\tushare\express,公告事件/快报,per_symbol_chunks,31,,,,,,"[""ts_code"", ""ann_date"", ""end_date"", ""revenue"", ""operate_profit"", ""total_profit"", ""n_income"", ""total_assets"", ""total_hldr_eqy_exc_min_int"", ""diluted_eps"", ""diluted_roe"", ""yoy_net_profit"", ""bps"", ""perf_summary"", ""update_flag""]","[""ann_date"", ""update_flag""]",,31,20181231,20260630
tushare/repurchase,D:\量化\data\raw\tushare\repurchase,公告事件/回购,per_symbol_chunks,129,,,,,,"[""ts_code"", ""ann_date"", ""end_date"", ""proc"", ""exp_date"", ""vol"", ""amount"", ""high_limit"", ""low_limit""]","[""ann_date""]",,40,20160527,20260911
tushare/stk_holdertrade,D:\量化\data\raw\tushare\stk_holdertrade,公告事件/增减持,per_symbol_chunks,129,,,,,,"[""ts_code"", ""ann_date"", ""holder_name"", ""holder_type"", ""in_de"", ""change_vol"", ""change_ratio"", ""after_share"", ""after_ratio"", ""avg_price"", ""total_share""]","[""ann_date""]",,40,20160601,20260909
tushare/share_float,D:\量化\data\raw\tushare\share_float,公告事件/解禁,per_symbol_chunks,129,,,,,,"[""ts_code"", ""ann_date"", ""float_date"", ""float_share"", ""float_ratio"", ""holder_name"", ""share_type""]","[""ann_date""]",,40,20160601,20260909
tushare/income,D:\量化\data\raw\tushare\income,财务/利润表,per_symbol_chunks,5901,,,,,,"[""ts_code"", ""ann_date"", ""f_ann_date"", ""end_date"", ""report_type"", ""comp_type"", ""end_type"", ""basic_eps"", ""diluted_eps"", ""total_revenue"", ""revenue"", ""int_income"", ""prem_earned"", ""comm_income"", ""n_commis_income"", ""n_oth_income""]","[""ann_date"", ""update_flag""]",,40,19911231,20260630
