factor_id,family,name,n_dates,ic_mean,t_ic,mono,ic_2015,coverage,turnover_top,screen_pass
A01,A,mom_20,68,-0.0702,-3.98,-0.89,-0.1305,0.951,0.86,true
A02,A,mom_60,68,-0.0602,-3.4,-0.91,-0.1692,0.948,0.55,true
A03,A,mom_120,65,-0.0243,-1.36,-0.59,-0.1145,0.938,0.41,false
A04,A,mom_240,60,-0.0134,-0.64,-0.66,-0.365,0.907,0.31,false
A05,A,mom_20sk5,68,-0.0529,-3.44,-0.87,-0.0977,0.951,0.87,true
A06,A,mom_60sk20,68,-0.0157,-1.23,-0.64,-0.0717,0.948,0.65,false
A07,A,mom_12_1,60,0.0069,0.36,0.57,-0.3251,0.907,0.34,false
A08,A,rev_1,68,-0.0159,-1.26,-0.26,-0.0209,0.951,0.88,false
A09,A,rev_5,68,-0.0333,-2.23,-0.67,-0.0933,0.951,0.88,true
A10,A,rev_10,68,-0.0395,-2.36,-0.65,-0.0918,0.951,0.88,true
A11,A,vol_20,68,-0.0727,-3.52,-0.18,-0.0124,0.951,0.69,false
A12,A,vol_60,68,-0.0717,-3.29,-0.24,-0.0086,0.948,0.36,false
A13,A,vol_ratio,65,-0.0308,-2.53,-0.02,0.006,0.939,0.83,false
A14,A,amp_20,68,-0.0779,-3.76,-0.29,-0.0591,0.951,0.6,false
A15,A,range_pos_60,68,-0.0354,-2.21,-0.03,-0.1192,0.948,0.73,false
A16,A,dist_52wH,59,0.0167,0.93,0.57,0.0,0.911,0.42,false
A17,A,liq_amt20,68,-0.0921,-5.25,-0.99,-0.19,0.951,0.31,true
A18,A,liq_ratio,68,-0.0517,-3.66,-0.58,-0.0905,0.948,0.88,true
A19,A,amihud_20,68,0.054,3.03,0.98,0.1424,0.951,0.45,true
A20,A,pv_corr_20,68,-0.0654,-5.99,-0.89,-0.0456,0.951,0.84,true
A21,A,vol_updown,68,-0.049,-4.02,-0.84,-0.0834,0.951,0.9,true
A22,A,vol_trend,68,-0.0419,-3.23,-0.43,-0.0327,0.948,0.88,true
A23,A,sma20_gap,68,-0.0497,-2.99,-0.7,-0.1045,0.951,0.88,true
A24,A,sma60_gap,68,-0.0585,-3.15,-0.83,-0.1672,0.948,0.67,true
A25,A,days_hi60,68,0.0299,2.42,0.48,0.0763,0.914,0.25,true
B01,B,ln_tmv,68,-0.0356,-1.6,-0.84,-0.1753,0.949,0.06,false
B02,B,ln_cmv,68,-0.0207,-0.88,-0.89,-0.1721,0.949,0.05,false
B03,B,circ_ratio,68,0.0108,0.71,-0.74,-0.0479,0.949,0.06,false
B04,B,ep_ttm,68,0.0458,2.6,0.31,0.0273,0.84,0.1,true
B05,B,bp,68,0.0407,1.95,0.48,0.0225,0.947,0.1,false
B06,B,sp_ttm,68,0.0329,1.81,0.44,-0.0048,0.948,0.07,false
B07,B,dv_yield,68,0.046,3.85,-0.4,0.0108,0.884,0.09,false
B08,B,ep_static,68,0.0402,2.69,0.16,0.0235,0.879,0.09,false
B09,B,turn_20,68,-0.0794,-3.78,-0.62,-0.0106,0.948,0.4,true
B10,B,turn_60,68,-0.0677,-3.14,-0.58,0.0132,0.946,0.23,true
B11,B,turn_vol20,68,-0.0921,-4.91,-0.74,-0.0339,0.948,0.56,true
