factor,A01,A02,A05,A09,A10,A17,A18,A19,A20,A21,A22,A23,A24,A25,B04,B09,B10,B11,B12,B14,B15,C01,C11,C12,C19,D07,D08,D09,D10,D12,D13,D14,D16,D17,D18,D19,D20,D30,E16,F06,F09,F10
A01,1.0,0.482,0.821,0.433,0.624,0.131,0.508,-0.059,0.174,0.647,0.417,0.775,0.719,-0.265,-0.025,0.085,-0.025,0.122,0.398,-0.128,0.983,0.85,0.973,0.97,0.459,0.041,0.048,0.079,0.042,0.072,0.073,0.039,0.033,0.027,0.042,0.023,0.056,0.048,-0.027,0.135,0.816,0.028
A02,0.482,1.0,0.388,0.232,0.338,0.26,0.324,-0.171,0.115,0.308,0.215,0.391,0.736,-0.502,-0.042,0.153,0.078,0.164,0.358,-0.206,0.477,0.419,0.47,0.483,0.258,0.066,0.078,0.127,0.058,0.139,0.143,0.079,0.056,0.042,0.065,0.038,0.1,0.079,-0.046,0.286,0.448,0.217
A05,0.821,0.388,1.0,-0.056,0.305,0.154,0.402,-0.065,0.126,0.529,0.319,0.436,0.542,-0.249,-0.044,0.14,0.025,0.165,0.32,-0.093,0.808,0.704,0.805,0.802,0.372,0.02,0.025,0.038,0.02,0.043,0.046,0.026,-0.0,0.017,0.027,0.016,0.035,0.023,-0.035,0.126,0.705,0.066
A09,0.433,0.232,-0.056,1.0,0.645,-0.034,0.259,0.008,0.069,0.334,0.23,0.69,0.401,-0.076,0.029,-0.081,-0.093,-0.067,0.186,-0.075,0.427,0.378,0.413,0.413,0.24,0.045,0.051,0.094,0.051,0.067,0.062,0.032,0.069,0.028,0.042,0.018,0.052,0.055,0.009,0.001,0.33,-0.074
A10,0.624,0.338,0.305,0.645,1.0,0.012,0.433,-0.002,0.133,0.443,0.378,0.863,0.541,-0.163,0.008,-0.037,-0.081,-0.01,0.328,-0.098,0.614,0.542,0.603,0.601,0.339,0.044,0.05,0.089,0.05,0.062,0.062,0.034,0.055,0.024,0.04,0.017,0.049,0.053,-0.002,0.06,0.502,-0.046
A17,0.131,0.26,0.154,-0.034,0.012,1.0,0.193,-0.872,0.087,0.073,0.176,0.024,0.182,-0.247,-0.01,0.41,0.325,0.37,0.288,-0.578,0.132,0.175,0.137,0.159,-0.068,-0.012,0.005,0.167,0.067,0.159,0.112,0.049,0.11,-0.104,0.043,0.015,0.127,0.02,-0.122,0.223,0.176,0.391
A18,0.508,0.324,0.402,0.259,0.433,0.193,1.0,-0.069,0.073,0.345,0.973,0.455,0.481,-0.24,-0.014,0.155,-0.073,0.207,0.846,-0.125,0.501,0.431,0.495,0.506,0.297,0.022,0.03,0.087,0.063,0.063,0.05,0.022,0.039,0.021,0.039,0.009,0.057,0.035,-0.038,0.052,0.462,0.009
A19,-0.059,-0.171,-0.065,0.008,-0.002,-0.872,-0.069,1.0,0.011,-0.021,-0.048,-0.013,-0.119,0.126,-0.159,-0.122,-0.087,-0.057,-0.135,0.561,-0.058,-0.071,-0.057,-0.066,0.117,-0.041,-0.052,-0.242,-0.111,-0.154,-0.109,-0.048,-0.238,0.116,-0.042,-0.014,-0.1,-0.075,-0.008,-0.134,-0.071,-0.074
A20,0.174,0.115,0.126,0.069,0.133,0.087,0.073,0.011,1.0,0.184,0.055,0.168,0.201,-0.071,-0.066,0.207,0.155,0.314,0.1,0.088,0.173,0.172,0.168,0.183,0.037,-0.041,-0.051,-0.136,-0.116,-0.045,-0.02,-0.017,-0.107,-0.033,-0.039,-0.014,-0.043,-0.058,-0.04,0.162,0.194,0.103
A21,0.647,0.308,0.529,0.334,0.443,0.073,0.345,-0.021,0.184,1.0,0.29,0.534,0.47,-0.18,-0.049,0.115,0.041,0.134,0.268,-0.036,0.637,0.582,0.626,0.632,0.376,0.013,0.014,0.01,0.009,0.033,0.041,0.021,-0.023,0.013,0.016,0.016,0.023,0.016,-0.043,-0.032,0.588,0.024
