signal_date,pool_n,eligible_n
2015-01-30,1438,1338
2015-02-27,1412,1373
2015-03-31,1822,1793
2015-04-30,1855,1828
2015-05-29,1796,1786
2015-06-30,1781,1776
2015-07-31,1756,1754
2015-08-31,1759,1758
2015-09-30,1708,1707
2015-10-30,1854,1852
2015-11-30,1968,1967
2015-12-31,2015,2012
2016-01-29,1876,1874
2016-02-29,1758,1756
2016-03-31,1867,1865
2016-04-29,1928,1927
2016-05-31,1524,1524
2016-06-30,1737,1737
2016-07-29,1910,1910
2016-08-31,1729,1729
2016-09-30,1652,1652
2016-10-31,1814,1814
2016-11-30,2030,2030
2016-12-30,1554,1554
2017-01-26,1452,1452
2017-02-28,1536,1534
2017-03-31,1751,1749
2017-04-28,1618,1617
2017-05-31,1187,1186
2017-06-30,1231,1230
2017-07-31,1330,1330
2017-08-31,1350,1350
2017-09-29,1487,1487
2017-10-31,1370,1370
2017-11-30,1257,1257
2017-12-29,982,982
2018-01-31,1168,1167
2018-02-28,1047,1046
2018-03-30,1235,1233
2018-04-27,1212,1212
2018-05-31,1219,1218
2018-06-29,1023,1022
2018-07-31,1028,1028
2018-08-31,865,865
2018-09-28,810,810
2018-10-31,868,863
2018-11-30,1230,1224
2018-12-28,897,891
2019-01-31,985,977
2019-02-28,1438,1432
2019-03-29,2260,2258
2019-04-30,2087,2087
2019-05-31,1387,1386
2019-06-28,1265,1264
2019-07-31,1060,1060
2019-08-30,1133,1133
2019-09-30,1397,1397
2019-10-31,1147,1147
2019-11-29,1038,1037
2019-12-31,1309,1307
2020-01-23,1606,1603
2020-02-28,1807,1806
2020-03-31,1820,1818
2020-04-30,1521,1520
2020-05-29,1456,1455
2020-06-30,1556,1556
2020-07-31,2197,2197
2020-08-31,1993,1993
2020-09-30,1510,1510
2020-10-30,1345,1345
2020-11-30,1542,1539
