factor,A17,A20,A25,B11,B12,B14,C19,D10,D13,D14,D18,D19,D20,D30,E16,F06,F09
A17,1.0,0.7912367922791972,0.8766328199277913,0.8693660566032275,0.8636558185329251,0.8196919923796525,0.7941531544393966,0.832853292341605,0.7732114845882375,0.8052477081959513,0.8666376500362748,0.8528756916422373,0.7939178515262276,0.9083630840795617,0.6206822162617681,0.8239435001552342,0.8418151073923745
A20,0.7912367922791972,1.0,0.7053878123634495,0.7853184027998428,0.6620644339387488,0.6722066938353618,0.8596255212032115,0.7851305170112561,0.6233560580830366,0.6700633198013651,0.6963440807850002,0.8077762495190709,0.5996676281408472,0.7861798035521335,0.5207267482065697,0.826799379880273,0.844802157052404
A25,0.8766328199277913,0.7053878123634495,1.0,0.8137968037814578,0.871894465299082,0.6648109965583575,0.8040673613171095,0.786740567317982,0.852698460422264,0.8824822885226032,0.8366679035815532,0.8785562525308767,0.8736075886196625,0.8828508012791136,0.574569718089033,0.7766121332847128,0.8625415864096436
B11,0.8693660566032275,0.7853184027998428,0.8137968037814578,1.0,0.8001022094823766,0.6529685663552777,0.7920920771164925,0.7658604154503132,0.7553980801238414,0.7660540945663185,0.7457853762933836,0.8039429901451975,0.7305709739097563,0.8366581888232214,0.7352503381699729,0.8073802914842527,0.8070124854854445
B12,0.8636558185329251,0.6620644339387488,0.871894465299082,0.8001022094823766,1.0,0.637282965158896,0.7181880409826181,0.8084464019101852,0.8080631256568921,0.8708083883294812,0.7803356173017668,0.8346964899867351,0.7736548665086654,0.886052193394027,0.6446886961476098,0.7747366882225414,0.8007808405219866
B14,0.8196919923796525,0.6722066938353618,0.6648109965583575,0.6529685663552777,0.637282965158896,1.0,0.6267755819276981,0.6814506221871373,0.5334641970273716,0.5167396424954672,0.6457753408575112,0.6477830854889982,0.5730915118759282,0.6956638393243267,0.3621930497177157,0.6203007431572389,0.6436052751620858
C19,0.7941531544393966,0.8596255212032115,0.8040673613171095,0.7920920771164925,0.7181880409826181,0.6267755819276981,1.0,0.721732826293889,0.685278802593717,0.7445695398984367,0.6763910721147017,0.8099640605914025,0.666659785543464,0.7730560548235735,0.5902679912197852,0.8066094195220387,0.9268148362660616
D10,0.832853292341605,0.7851305170112561,0.786740567317982,0.7658604154503132,0.8084464019101852,0.6814506221871373,0.721732826293889,1.0,0.6665834358894587,0.7259571098708018,0.7798532381618991,0.8325348900774275,0.6531937740660783,0.8820886351042257,0.5378664633098397,0.8101368672759963,0.7594627443893536
D13,0.7732114845882375,0.6233560580830366,0.852698460422264,0.7553980801238414,0.8080631256568921,0.5334641970273716,0.685278802593717,0.6665834358894587,1.0,0.8938435638976358,0.8009802420072843,0.8213618180882315,0.8812032747747803,0.8078088744843247,0.6120992854836953,0.6579350756335915,0.7727054480023708
D14,0.8052477081959513,0.6700633198013651,0.8824822885226032,0.7660540945663185,0.8708083883294812,0.5167396424954672,0.7445695398984367,0.7259571098708018,0.8938435638976358,1.0,0.7558138639643224,0.84096100410186,0.8521858571143175,0.839485049485351,0.5682337275474422,0.6891755959499429,0.8413353325318145
D18,0.8666376500362748,0.6963440807850002,0.8366679035815532,0.7457853762933836,0.7803356173017668,0.6457753408575112,0.6763910721147017,0.7798532381618991,0.8009802420072843,0.7558138639643224,1.0,0.7891077218869588,0.7634448372045343,0.86788662287568,0.5271051176637017,0.7120026243432332,0.7698789060114214
D19,0.8528756916422373,0.8077762495190709,0.8785562525308767,0.8039429901451975,0.8346964899867351,0.6477830854889982,0.8099640605914025,0.8325348900774275,0.8213618180882315,0.84096100410186,0.7891077218869588,1.0,0.8093432032732542,0.900216086915629,0.5479644239578249,0.8072061520530527,0.8480092799097103
D20,0.7939178515262276,0.5996676281408472,0.8736075886196625,0.7305709739097563,0.7736548665086654,0.5730915118759282,0.666659785543464,0.6531937740660783,0.8812032747747803,0.8521858571143175,0.7634448372045343,0.8093432032732542,1.0,0.8080011563813233,0.5569213185206512,0.6377448465165094,0.7411069560110556
D30,0.9083630840795617,0.7861798035521335,0.8828508012791136,0.8366581888232214,0.886052193394027,0.6956638393243267,0.7730560548235735,0.8820886351042257,0.8078088744843247,0.839485049485351,0.86788662287568,0.900216086915629,0.8080011563813233,1.0,0.6529667717882653,0.8280995404687052,0.865099574440347
E16,0.6206822162617681,0.5207267482065697,0.574569718089033,0.7352503381699729,0.6446886961476098,0.3621930497177157,0.5902679912197852,0.5378664633098397,0.6120992854836953,0.5682337275474422,0.5271051176637017,0.5479644239578249,0.5569213185206512,0.6529667717882653,1.0,0.6411648381301092,0.6172263131626906
F06,0.8239435001552342,0.826799379880273,0.7766121332847128,0.8073802914842527,0.7747366882225414,0.6203007431572389,0.8066094195220387,0.8101368672759963,0.6579350756335915,0.6891755959499429,0.7120026243432332,0.8072061520530527,0.6377448465165094,0.8280995404687052,0.6411648381301092,1.0,0.8463806412365261
F09,0.8418151073923745,0.844802157052404,0.8625415864096436,0.8070124854854445,0.8007808405219866,0.6436052751620858,0.9268148362660616,0.7594627443893536,0.7727054480023708,0.8413353325318145,0.7698789060114214,0.8480092799097103,0.7411069560110556,0.865099574440347,0.6172263131626906,0.8463806412365261,1.0
