factor,net_cagr,max_drawdown,delta_cagr_vs_baseline,dd_deterioration_pp,advantage_years,max_one_side_turnover
A17,0.04955038951768187,-0.14417444936923907,0.0007772803302696918,0.034310879068755074,4,4.1602042584966
A20,0.04128179860907166,-0.1664737735624292,-0.007491310578340515,0.012011554875564934,3,4.339463454536868
A25,0.04241027348128901,-0.16717163410274527,-0.006362835706123171,0.01131369433524887,4,4.623513194074034
B11,0.045629744390327076,-0.15906192516521012,-0.003143364797085102,0.019423403272784023,4,5.240662900086318
B12,0.06762260523137598,-0.14415787839290528,0.018849496043963798,0.03432745004508886,4,4.984972067750166
B14,0.06437834715229607,-0.16475865358062103,0.015605237964883889,0.013726674857373111,5,4.2779091602349535
C19,0.039085500554669084,-0.17189510569301392,-0.009687608632743094,0.006590222744980223,4,4.101784625395003
D10,0.04118664751670065,-0.20533828459320014,-0.007586461670711531,-0.026852956155205998,4,4.6241906736210066
D13,0.02011154822462391,-0.24568987232765482,-0.02866156096278827,-0.06720454388966068,4,4.693463403954156
D14,0.046540383292941634,-0.1582510165876233,-0.002232725894470544,0.020234311850370834,4,4.619860818493765
D18,0.04269765188280483,-0.1380632683095031,-0.006075457304607346,0.04042206012849103,3,5.229423715161768
D19,0.04549551332448987,-0.17353656800592765,-0.003277595862922311,0.00494876043206649,4,5.111566015927605
D20,0.028493821940162922,-0.16507453290198537,-0.020279287247249256,0.013410795536008768,3,5.08638771947817
D30,0.06496811883870124,-0.15850243443178946,0.01619500965128906,0.019982894006204677,4,5.13689705466463
E16,0.043300432695472235,-0.15752776843530492,-0.005472676491939943,0.020957560002689224,4,5.094055736458753
F06,0.015551346604024019,-0.19372363478740762,-0.03322176258338816,-0.015238306349413477,3,5.100867681023939
F09,0.04113323224987386,-0.15776935924478042,-0.007639876937538315,0.020715969193213724,4,4.6291263288770725
