primary_code,n,mean_adj_2018H2,n_2018H2,mean_adj_2019,n_2019,mean_adj_2020,n_2020,sign_consistent_segments,n_symbols,sum_ret,top1_share,top3_share,top1_symbol
core_ops,358,-0.0021979360381488467,93,-0.013102964425582215,170,0.02235895504046248,95,1,267,18.3842841349472,0.07205737452209353,0.1372451425178591,sh.601608
cost_down,199,0.09416518431376601,6,-0.023229440229896196,78,0.004481040016367223,115,1,142,3.713148968282297,0.15743371573647877,0.42417854210802775,sz.002417
cost_up,305,0.019992423257957307,74,0.008418501917768927,153,-0.03295368895126564,78,1,235,25.68145753077186,0.05202859733194434,0.13599599072784743,sh.601700
demand_down,568,0.044310690151032894,48,-0.001978248591715202,367,-0.022987310776128173,153,1,370,32.68751169185424,0.05037224125179175,0.11888919484419859,sh.600146
demand_up,1555,-0.010734308809551315,262,-0.02420702716253192,614,0.028946492286620655,679,1,869,74.68190061643462,0.027865784015961452,0.07185959628549589,sh.603000
epidemic_shock,1178,,0,,0,-0.011826921521159347,1178,,648,-5.21922358833238,,,sz.002046
impairment,424,0.021802150615583372,15,0.06521687678657946,222,0.012698647513505698,187,3,344,69.59231044795479,0.026639905649578098,0.07181620534754375,sz.002239
ma_restructuring,255,0.002573692041804528,31,-0.014316292354487394,130,0.008185181548030874,94,1,166,12.03479236364658,0.1229767789322753,0.3163864039770638,sz.002838
non_recurring,813,0.022101428985714103,47,0.000355925000198377,343,-0.004052131769980298,423,1,472,46.95487525362778,0.05535007601743689,0.10528499216507986,sh.601519
orders,143,-0.0034690499656690613,30,-0.0032631065873214545,62,0.011039536600141727,51,1,103,7.324882158157595,0.0795709174125469,0.19334946805172146,sh.601615
price_down,241,0.017373758794722246,21,0.017688744160082537,126,-0.00751970069342174,94,1,151,10.135655869940228,0.10742641850455274,0.2847037602513593,sz.000727
price_up,204,-0.07086944024148858,40,-0.03340314990390541,72,-0.006013405474484692,92,3,113,7.714354478951906,0.27845565048629195,0.45117492519071173,sz.002458
