factor_id,family,coverage_median_ratio,months
A01,A,1.1698940445743515,71
A02,A,1.1547319179560993,69
A03,A,1.1295277010300615,66
A04,A,1.0986418870621872,61
A05,A,1.1698940445743515,71
A06,A,1.1547319179560993,69
A07,A,1.0986418870621872,61
A08,A,1.1795210206494542,72
A09,A,1.1774996643877382,72
A10,A,1.175094982313638,72
A11,A,1.1699879745973365,72
A12,A,1.1558114429650954,69
A13,A,1.1304257558321271,66
A14,A,1.1699879745973365,72
A15,A,1.1558114429650954,69
A16,A,1.1078457182886319,60
A17,A,1.1699879745973365,72
A18,A,1.1558114429650954,69
A19,A,1.1699879745973365,72
A20,A,1.1699879745973365,72
A21,A,1.1699879745973365,72
A22,A,1.1558114429650954,69
A23,A,1.1699879745973365,72
A24,A,1.1558114429650954,69
A25,A,1.1001096090610156,69
B01,B,1.1804647785039941,71
B02,B,1.1804647785039941,71
B03,B,1.1804647785039941,71
B04,B,1.0708087469628602,71
B05,B,1.177196804647785,71
B06,B,1.1797385620915033,71
B07,B,1.0514734774066798,71
B08,B,1.1079287460705554,71
B09,B,1.1697165410836023,71
B10,B,1.152703068571715,68
B11,B,1.1697165410836023,71
B12,B,1.1241453760345448,65
B13,B,1.0701145435612633,71
B14,B,1.177196804647785,71
B15,B,1.1698052928289768,70
C01,C,1.168281306063868,71
C02,C,1.168281306063868,71
C03,C,1.168281306063868,71
C04,C,1.1697165410836023,71
C05,C,1.177923021060276,71
C06,C,1.1697165410836023,71
C07,C,1.1697165410836023,71
C08,C,1.1697165410836023,71
C09,C,1.1697165410836023,71
C10,C,1.1697165410836023,71
C11,C,1.1693577323286688,71
C12,C,1.1693577323286688,71
C13,C,1.1693577323286688,71
C14,C,1.1523389178179435,68
C15,C,1.111837327523602,71
C16,C,1.1043540842029507,71
C17,C,1.1697165410836023,71
C18,C,1.168281306063868,71
C19,C,1.1697165410836023,71
C20,C,1.152703068571715,68
D01,D,1.6211855489301998,71
D02,D,1.588277340957827,71
D03,D,1.580771979985704,71
D04,D,1.6186561829878485,71
D05,D,1.5663811563169165,71
D06,D,1.528591851322373,71
D07,D,1.2865101472343812,71
D08,D,1.2936729009152408,71
D09,D,1.522005772005772,71
D10,D,1.5526601520086862,71
D11,D,1.5174110522331568,71
D12,D,1.5238455715367145,71
D13,D,1.2183476241156592,68
D14,D,1.1990107086801247,68
D15,D,1.2582570632709908,71
D16,D,1.0694203401596667,71
D17,D,1.2733784321528054,71
D18,D,1.6019108280254777,71
D19,D,1.4973504920514762,71
D20,D,1.2344276094276094,71
D21,D,0.9365895458440445,65
D22,D,1.179257362355954,71
D23,D,1.580771979985704,71
D24,D,1.4142538975501113,71
D25,D,1.233055111288818,68
D26,D,1.4098686828491842,71
D27,D,0.6880157170923379,71
D28,D,1.2892956625547154,71
D29,D,1.3123756466374852,71
D30,D,1.5552611657834974,71
E01,E,0.6282793867120954,27
E02,E,0.6299829642248722,27
E03,E,0.6282793867120954,27
E04,E,1.2599854756717501,71
E05,E,1.2599854756717501,71
E06,E,0.5728155339805825,11
E07,E,0.3218274111675127,23
E08,E,0.15689778413152253,59
E09,E,1.2599854756717501,71
E10,E,0.3416576185305827,59
E11,E,0.21734436847786973,59
E12,E,0.1711680112241319,59
E13,E,0.060355526648648905,58
E14,E,0.027075169219807623,57
E15,E,0.019541648856793624,68
E16,E,0.889225443530939,71
E17,E,1.2599854756717501,71
E18,E,1.2599854756717501,71
E19,E,1.2599854756717501,71
E20,E,0.11194796302636084,59
F01,F,1.1558114429650954,69
F02,F,1.0993566833452466,61
F03,F,1.09375,55
F04,F,1.1671321439408482,72
F05,F,1.1807137500916642,72
F06,F,1.1558114429650954,69
F07,F,1.1558114429650954,69
F08,F,1.1699879745973365,72
F09,F,1.1699879745973365,72
F10,F,1.1241453760345448,67
