factor_id,coverage_median_ratio,coverage_max_ratio,months
A01,1.0,1.0,69
A02,0.9996202050892518,1.0,69
A03,0.9877132485862332,0.9963208241353937,66
A04,0.9521458412457273,0.9820381231671554,61
A05,1.0,1.0,69
A06,0.9996202050892518,1.0,69
A07,0.9521458412457273,0.9820381231671554,61
A08,1.0,1.0,69
A09,1.0,1.0,69
A10,1.0,1.0,69
A11,1.0,1.0,69
A12,1.0,1.0,69
A13,0.988656294728401,0.9963208241353937,66
A14,1.0,1.0,69
A15,1.0,1.0,69
A16,0.9514970433663609,0.9805003679175864,60
A17,1.0,1.0,69
A18,1.0,1.0,69
A19,1.0,1.0,69
A20,1.0,1.0,69
A21,1.0,1.0,69
A22,1.0,1.0,69
A23,1.0,1.0,69
A24,1.0,1.0,69
A25,0.9699192956713133,0.9959529065489331,69
B01,1.0,1.0,68
B02,1.0,1.0,68
B03,1.0,1.0,68
B04,0.8762314381181804,0.944755804643715,68
B05,0.9988525246796001,1.0,68
B06,1.0,1.0,68
B07,0.9393433953634622,0.9912536443148688,68
B08,0.9257625567636332,0.9583666933546837,68
B09,1.0,1.0,68
B10,1.0,1.0,68
B11,1.0,1.0,68
B12,0.9886977886977887,0.9963208241353937,65
B13,0.8762314381181804,0.944755804643715,68
B14,0.9988525246796001,1.0,68
B15,1.0,1.0,68
C01,0.9988183125298385,0.9996362313568571,68
C02,0.9988183125298385,0.9996362313568571,68
C03,0.9988183125298385,0.9996362313568571,68
C04,1.0,1.0,68
C05,1.0,1.0,68
C06,1.0,1.0,68
C07,1.0,1.0,68
C08,1.0,1.0,68
C09,1.0,1.0,68
C10,1.0,1.0,68
C11,0.9996026012131204,1.0,68
C12,0.9996026012131204,1.0,68
C13,0.9996026012131204,1.0,68
C14,0.9995965878393772,1.0,68
C15,0.94312875073772,0.9657559198542806,68
C16,0.94312875073772,0.9657559198542806,68
C17,1.0,1.0,68
C18,0.9988183125298385,0.9996362313568571,68
C19,1.0,1.0,68
C20,1.0,1.0,68
D01,0.9985260681276422,1.0,68
D02,0.9737731513106846,0.9781783681214421,68
D03,0.973361006533016,0.9772832637923041,68
D04,0.9993608302365108,1.0,68
D05,0.994149901553645,0.99906191369606,68
D06,0.9682691643928687,0.985452839042703,68
D07,0.9668920672181687,0.9886071297317163,68
D08,0.9705064237507115,0.9882263577668059,68
D09,0.9919502108909257,0.999061473486626,68
D10,0.9917614884018047,0.999061473486626,68
D11,0.99108778154514,1.0,68
D12,0.9918045004759082,1.0,68
D13,0.9169721407624634,0.9794193311282616,68
D14,0.8955692513176887,0.9540610069827269,68
D15,0.962615305188179,0.9855677933915685,68
D16,0.8756931250852426,0.94435548438751,68
D17,0.9652355117265267,0.9882263577668059,68
D18,0.994778032286213,0.99906191369606,68
D19,0.9918045004759082,1.0,68
D20,0.9897424578843409,0.997789240972734,68
D21,0.7784552845528455,0.8799258229021789,65
D22,0.9694853346555289,0.9885735348322889,68
D23,0.973361006533016,0.9772832637923041,68
D24,0.9892603354705938,0.9971857410881801,68
D25,0.9188049853372433,0.9816244027930908,68
D26,0.9804937773071858,0.992491787893008,68
D27,0.5295810925815272,0.5673040869891264,68
D28,0.9229830686638887,0.9422711735662742,68
D29,0.9704161350354288,0.9908849221420433,68
D30,0.9919502108909257,0.999061473486626,68
E01,0.31048387096774194,0.626099706744868,27
E02,0.3115968877361986,0.626099706744868,27
E03,0.31048387096774194,0.626099706744868,27
E04,1.0,1.0,68
E05,1.0,1.0,68
E06,0.33640383198231394,0.3443291326908821,11
E07,0.1781524926686217,0.19763138415988157,23
E08,0.10735351946519858,0.20378619153674832,59
E09,1.0,1.0,68
E10,0.24787972243639167,0.3160220994475138,59
E11,0.14432206608431447,0.27992633517495397,59
E12,0.12646627565982405,0.17375231053604437,59
E13,0.04263245033112583,0.0714809384164223,55
E14,0.018699038595094888,0.0381622823267877,54
E15,0.015634760131890944,0.2302291204730229,66
E16,0.734397725460022,0.8047854158754273,68
E17,1.0,1.0,68
E18,1.0,1.0,68
E19,1.0,1.0,68
E20,0.08771716831936477,0.12212323682256868,58
F01,1.0,1.0,69
F02,0.9525256361564755,0.9820381231671554,61
F03,0.9035054655107425,0.9679321784002949,55
F04,1.0,1.0,69
F05,1.0,1.0,69
F06,1.0,1.0,69
F07,1.0,1.0,69
F08,1.0,1.0,69
F09,1.0,1.0,69
F10,0.9886148007590133,0.9963208241353937,67
