factor_id,t_ic,coverage_median_ratio,basic_pass,screen_pass
A01,-3.862647,1.169894,true,true
A02,-3.200480,1.154732,true,true
A03,-1.236264,1.129528,false,false
A04,-0.527793,1.098642,false,false
A05,-3.355653,1.169894,true,true
A06,-1.020353,1.154732,false,false
A07,0.468435,1.098642,false,false
A08,-1.103428,1.179521,false,false
A09,-2.128600,1.177500,true,true
A10,-2.245237,1.175095,true,true
A11,-3.503510,1.169988,false,false
A12,-3.211057,1.155811,false,false
A13,-2.597505,1.130426,false,false
A14,-3.718122,1.169988,false,false
A15,-1.998987,1.155811,false,false
A16,0.990442,1.107846,false,false
A17,-5.234822,1.169988,true,true
A18,-3.637356,1.155811,true,true
A19,3.024245,1.169988,true,true
A20,-6.143427,1.169988,true,true
A21,-3.916767,1.169988,true,true
A22,-3.242221,1.155811,true,true
A23,-2.813683,1.169988,true,true
A24,-2.971952,1.155811,true,true
A25,2.375653,1.100110,true,true
B01,-1.514579,1.180465,false,false
B02,-0.846137,1.180465,false,false
B03,0.592206,1.180465,false,false
B04,2.507371,1.070809,false,false
B05,1.820869,1.177197,false,false
B06,1.704895,1.179739,false,false
B07,3.681681,1.051473,false,false
B08,2.581300,1.107929,false,false
B09,-3.814118,1.169717,true,true
B10,-3.151189,1.152703,true,true
B11,-4.944635,1.169717,true,true
B12,-3.746173,1.124145,true,true
B13,2.129430,1.070115,false,false
B14,3.126071,1.177197,true,true
B15,-3.945649,1.169805,true,true
C01,-3.578392,1.168281,true,true
C02,-3.466611,1.168281,false,false
C03,-0.840232,1.168281,false,false
C04,-0.570343,1.169717,false,false
C05,-0.322321,1.177923,false,false
C06,-0.472268,1.169717,false,false
C07,0.791547,1.169717,false,false
C08,0.735596,1.169717,false,false
C09,-1.610556,1.169717,false,false
C10,-1.544585,1.169717,false,false
C11,-3.753747,1.169358,true,true
C12,-4.095079,1.169358,true,true
C13,-6.861008,1.169358,false,false
C14,-5.797516,1.152339,false,false
C15,-0.601125,1.111837,false,false
C16,1.342600,1.104354,false,false
C17,-1.810453,1.169717,false,false
C18,-0.061784,1.168281,false,false
C19,-2.720363,1.169717,true,true
C20,-1.383171,1.152703,false,false
D01,1.747648,1.621186,false,false
D02,1.813800,1.588277,false,false
D03,1.204340,1.580772,false,false
D04,1.671241,1.618656,false,false
D05,-0.545721,1.566381,false,false
D06,0.498385,1.528592,false,false
D07,2.735008,1.286510,true,true
D08,2.934617,1.293673,true,true
D09,2.202904,1.522006,true,true
D10,2.883368,1.552660,true,true
D11,1.827053,1.517411,false,false
D12,2.187039,1.523846,true,true
D13,2.469980,1.218348,true,true
D14,3.135165,1.199011,true,true
D15,-1.658333,1.258257,false,false
D16,2.386745,1.069420,true,true
D17,2.340333,1.273378,true,true
D18,2.754849,1.601911,true,true
D19,4.154109,1.497350,true,true
D20,2.664663,1.234428,true,true
D21,1.182646,0.936590,false,false
D22,1.566818,1.179257,false,false
D23,1.204340,1.580772,false,false
D24,1.231436,1.414254,false,false
D25,1.395994,1.233055,false,false
D26,-0.513566,1.409869,false,false
D27,0.064200,0.688016,false,false
D28,-0.143219,1.289296,false,false
D29,-1.315660,1.312376,false,false
D30,2.971004,1.555261,true,true
E01,1.024184,0.628279,false,false
E02,1.046217,0.629983,false,false
E03,0.921846,0.628279,false,false
E04,0.306821,1.259985,false,false
E05,-0.500699,1.259985,false,false
E06,0.561748,0.572816,false,false
E07,0.664612,0.321827,false,false
E08,0.204534,0.156898,false,false
E09,1.374427,1.259985,false,false
E10,0.640716,0.341658,false,false
E11,-1.536969,0.217344,false,false
E12,-0.651122,0.171168,false,false
E13,-4.562701,0.060356,true,false
E14,-0.351249,0.027075,false,false
E15,0.820200,0.019542,false,false
E16,2.952039,0.889225,true,true
E17,1.542131,1.259985,false,false
E18,-0.042322,1.259985,false,false
E19,-1.695289,1.259985,false,false
E20,-0.990640,0.111948,false,false
F01,-0.716426,1.155811,false,false
F02,-2.244403,1.099357,true,true
F03,-0.491229,1.093750,false,false
F04,-2.217050,1.167132,false,false
F05,1.073138,1.180714,false,false
F06,-2.899327,1.155811,true,true
F07,1.013109,1.155811,false,false
F08,2.565381,1.169988,false,false
F09,-5.008967,1.169988,true,true
F10,-3.929945,1.124145,true,true
