factor,A01,A02,A05,A09,A10,A17,A18,A19,A20,A21,A22,A23,A24,A25,B09,B10,B11,B12,B14,B15,C01,C11,C12,C19,D07,D08,D09,D10,D12,D13,D14,D16,D17,D18,D19,D20,D30,E16,F02,F06,F09,F10
A01,1.0,0.5027037376320019,0.8187816539041803,0.4367798139862382,0.6316070123796429,0.14379828214278556,0.5199083355200436,-0.07042095554154373,0.18412890504338025,0.6566961810173917,0.434280457728836,0.7783747133796294,0.7327266045744516,-0.2863096256529343,0.07876424438475141,-0.037110524075831486,0.12112487991235946,0.4114091929573243,-0.13473645270984974,0.98371049223582,0.8495207505097332,0.971487108964698,0.9683964900543287,0.46805473699009426,0.048018271144338966,0.05520083369155907,0.08972775484542748,0.04605136888263053,0.07395697095327551,0.07458286025090134,0.043161084541078594,0.04628448117494372,0.02677213836992261,0.0458630994820719,0.025153354163394107,0.05601813801594245,0.056507612189791244,-0.018567548956352948,-0.07267248510967632,0.155478115716556,0.8207724808176486,0.021442678858894157
A02,0.5027037376320019,1.0,0.41044533344253664,0.23166421794976869,0.3461578403414252,0.27867234773247734,0.32987084065469724,-0.18594678706839274,0.128245842314518,0.3270513819738688,0.22643109813256398,0.4002179898904919,0.7497021977976954,-0.5326309704673604,0.16620599406482398,0.08658479272729837,0.17575156368090397,0.3801334171173183,-0.21036882892016787,0.4977880005891318,0.43493672676003176,0.49102032412478214,0.5039421298971906,0.27386283260691857,0.06737641482895697,0.07942524048647671,0.13179807082026687,0.06011278473713947,0.14389356767019432,0.14865971664723449,0.08151203591495866,0.059076274950306956,0.04086319923575709,0.06744125670057922,0.03859711513439805,0.10525807532322941,0.08201346081421218,-0.045391982113867954,-0.09492785445757741,0.34084271381438574,0.47176493679197934,0.2355598476315278
A05,0.8187816539041803,0.41044533344253664,1.0,-0.0553088735252076,0.30797871366018426,0.16620817843909003,0.414875161209065,-0.07550496307553684,0.1341920399830695,0.5374946557345689,0.33381067781586504,0.4365261271582362,0.5577186984566855,-0.27291198801728506,0.13255527131341407,0.012927683519933836,0.1615190005462063,0.3327537559209695,-0.09801835971074507,0.8052135601996189,0.7012800482837211,0.8012928746956555,0.7969340763815423,0.38091299545178187,0.026897998805011435,0.03320339488260567,0.05085376429788154,0.02833925777699252,0.04382316778566668,0.04673136367320844,0.028922220936035956,0.013990700434429328,0.01640549876099447,0.031773574492177895,0.018285282474792393,0.032933551222653366,0.031638154950481966,-0.02565569889342025,-0.047451871586738394,0.13804660405533634,0.705524121564902,0.05551620344686976
A09,0.4367798139862382,0.23166421794976869,-0.0553088735252076,1.0,0.6516874118898136,-0.027382742448187943,0.2625182400623349,0.0040408761229800754,0.07395517767538994,0.33606082211701394,0.2385750506739311,0.6924534265710592,0.39566381658066807,-0.07685568886893951,-0.07879883935207571,-0.09328026556765699,-0.06174923132812152,0.19325230457747217,-0.07982050271768841,0.43123715487969055,0.3805275762960617,0.4162865807370304,0.4168213718030401,0.24409675874556067,0.04443684561348719,0.049704708910730595,0.09168769737240644,0.04651336275814946,0.07023424674914466,0.06491641588844296,0.03442240903130021,0.06722692259506749,0.028263147031850518,0.040856219538295685,0.017366671117792658,0.053701641032196094,0.05503700330546728,0.006919207236032536,-0.05149563818314511,0.019816237086812346,0.33752540381897717,-0.06862642682560437
A10,0.6316070123796429,0.3461578403414252,0.30797871366018426,0.6516874118898136,1.0,0.01898742273951768,0.4317315707278925,-0.01500609361914731,0.13928703415856739,0.4507365011223701,0.3808903619364666,0.8653030711213976,0.5470394750161384,-0.16769606894538344,-0.044961695383684726,-0.09044395995428696,-0.013772703384903046,0.3295699909641275,-0.10166647500361367,0.6218056232613477,0.5444197991524096,0.6088104231924631,0.6070824357131672,0.34044633791160445,0.0495864391673488,0.05556077812434758,0.09789828875452793,0.054060273391374855,0.06732619952602187,0.06580942716661489,0.03601753716450473,0.06530414279542116,0.023754810253849304,0.04230617838294527,0.021045310727468593,0.048741926959883546,0.059679281600265796,0.005219226317699262,-0.07518857404063624,0.07822563498032986,0.5131741590098662,-0.05576455942063505
A17,0.14379828214278556,0.27867234773247734,0.16620817843909003,-0.027382742448187943,0.01898742273951768,1.0,0.20215068588147922,-0.8804457869683121,0.09456462427642189,0.08467764664153897,0.18320207886270212,0.0333527534540613,0.19838593239437943,-0.26668573749369046,0.42222186039698606,0.33446866523893193,0.380172065271352,0.2973834030815013,-0.5771875472487814,0.14444447846464267,0.1864934170952015,0.14968602035837525,0.17306892162309212,-0.0620656391235622,-0.005625089938807075,0.013604168166675357,0.18089168511235593,0.08173333644287455,0.1615631883119645,0.11476118053454004,0.05139254789268761,0.1180631051682391,-0.09965142454582422,0.05343484124426733,0.01898970313927561,0.12949017207383903,0.029972541369148842,-0.11948132566075907,0.12444903513031501,0.23211475730714856,0.19221258909878616,0.4067920333664826
A18,0.5199083355200436,0.32987084065469724,0.414875161209065,0.2625182400623349,0.4317315707278925,0.20215068588147922,1.0,-0.0876497723566839,0.07579632270713324,0.3592171264358861,0.9771526345417166,0.45877254434839226,0.4924163986073988,-0.24698437896754963,0.13940814010489272,-0.09112033118816727,0.1955524234523051,0.8467886613503046,-0.12388522017753821,0.5130564045988736,0.4386070152599268,0.5048302325582665,0.5158922792453188,0.2948759906359088,0.03267654147991967,0.04134356351817723,0.09877711944459379,0.07011629556657685,0.06339842252036851,0.050049152617156915,0.023750248894574576,0.05636406103306497,0.020642735018882037,0.041631175241605575,0.013360283818671695,0.05362770101900111,0.04746540894760242,-0.020040817526030496,-0.07806249722586375,0.06090891846011781,0.4707026654330802,-0.014272959492138968
A19,-0.07042095554154373,-0.18594678706839274,-0.07550496307553684,0.0040408761229800754,-0.01500609361914731,-0.8804457869683121,-0.0876497723566839,1.0,0.007767937894115338,-0.027519945709861805,-0.06628110356384646,-0.0241699473709352,-0.13042497523076432,0.1458154586965281,-0.1379769446266283,-0.0992811689281022,-0.07309472014314533,-0.15401231466948878,0.5698794893630554,-0.0686937715067397,-0.08290254866946563,-0.06898934788607915,-0.07886958352478028,0.09197236044052981,-0.043930968674128816,-0.05612006123939104,-0.25074206491698653,-0.12038550845466224,-0.1571971036414347,-0.1116021863631224,-0.0502150880672665,-0.23970915121414635,0.1138899946203811,-0.04922158336424558,-0.016105746908529013,-0.10498485314569529,-0.079496237446323,-0.0035227426914983405,0.005019531628405116,-0.14261229931448208,-0.08542682496546261,-0.09543505428131933
A20,0.18412890504338025,0.128245842314518,0.1341920399830695,0.07395517767538994,0.13928703415856739,0.09456462427642189,0.07579632270713324,0.007767937894115338,1.0,0.184173612404109,0.055623729304721176,0.17384467658226577,0.2129187097415245,-0.08199061787387747,0.2170633514903072,0.16158585925434057,0.3296891231382578,0.10301016671331134,0.0806207304490723,0.1835292420856739,0.1818568131415278,0.17761015281881584,0.19357809359130318,0.034982201983998144,-0.04412829268809838,-0.05439264199934559,-0.13327133191338617,-0.11394966486301249,-0.03862244931208871,-0.015782634575821585,-0.01692998399959611,-0.10748836850733884,-0.030451502499996452,-0.03869618001242166,-0.012193650416950445,-0.03641627191981252,-0.06006144382510709,-0.04801207480018424,0.09743149513917393,0.17486753840942812,0.20280949530494083,0.11496884994793408
A21,0.6566961810173917,0.3270513819738688,0.5374946557345689,0.33606082211701394,0.4507365011223701,0.08467764664153897,0.3592171264358861,-0.027519945709861805,0.184173612404109,1.0,0.3053703496646384,0.5416012079639327,0.48475453548469516,-0.19420651277303147,0.11654015238313127,0.03842056267782556,0.14012049283949907,0.2821559522826186,-0.04471120413931664,0.646731364603117,0.5943852069331501,0.6339455089445601,0.640505366116289,0.3867772837563725,0.015615677034131224,0.01834055051511588,0.01931427300705917,0.014018408465867577,0.03896022785639041,0.04603215889311566,0.022455107500008283,-0.016060466729618462,0.014774732196266122,0.019788681640210182,0.02036067054141038,0.028685347589295015,0.020840420584331325,-0.04487520055117515,0.009898833367259866,-0.015601907579367452,0.5921616783058757,0.024798701020902904
