cluster_id,members,representative,representative_abs_t
1,"A01,A02,A05,A09,A10,A21,A23,A24,B15,C01,C11,C12,F09",F09,5.008966544818861
2,"A17,A19",A17,5.234821805039196
3,"A18,A22,B12",B12,3.7461732633208262
4,A20,A20,6.143426847369133
5,A25,A25,2.3756531053209087
6,"B09,B10,B11,F10",B11,4.944634755869426
7,B14,B14,3.1260713801654534
8,C19,C19,2.7203633465035613
9,"D07,D08,D17,D30",D30,2.971003648961229
10,"D09,D16",D16,2.386745452908683
11,D10,D10,2.8833678999383054
12,"D12,D13",D13,2.469979898533367
13,D14,D14,3.1351646058557097
14,D18,D18,2.754848568205396
15,D19,D19,4.154108621566071
16,D20,D20,2.664662657994932
17,E16,E16,2.952038752106394
18,F02,F02,2.244403407364789
19,F06,F06,2.8993273239125705
