factor,A01,A02,A05,A09,A10,A17,A18,A19,A20,A21,A22,A23,A24,A25,B09,B10,B11,B12,B14,B15,C01,C11,C12,C19,D07,D08,D09,D10,D12,D13,D14,D17,D18,D19,D20,D21,D25,D30,E16,F02,F06,F09,F10
A01,1.0,0.5052011277989747,0.8192013783289428,0.43601938333262774,0.6309854440466329,0.14048777839943646,0.5239061739793398,-0.0693333289030393,0.1861189448849087,0.6559752755291477,0.43804266613812715,0.7768964381395623,0.7341250655776221,-0.2844484678497257,0.0715629676401978,-0.04477629762836319,0.11508033709595217,0.4138227489470144,-0.13622178606831076,0.9846488468033566,0.849934913397071,0.9688127652404616,0.9668504128212417,0.47026582314741094,0.04799654754610177,0.05523422007828722,0.09153262825449165,0.045969639900313615,0.07975689545851018,0.08221957784180728,0.04639038129095028,0.030763975351248248,0.04805754285121954,0.024891193209044944,0.059696334235097244,0.09947749021077618,0.006388252225672137,0.05614838491045085,-0.016513874925560265,-0.0766151275859036,0.15399862688011998,0.8175328210194525,0.013564010045259816
A02,0.5052011277989747,1.0,0.41096396565690013,0.23512131032647135,0.34966884045804997,0.2746911944242357,0.33239781451864164,-0.18619995545701962,0.12935121954646286,0.326761838691038,0.22838267042270965,0.4030633455432043,0.7518778642231908,-0.5319030832423619,0.15362408648620665,0.0730843161901391,0.16520764377385613,0.38248168775399266,-0.2124459053967799,0.5007496652767379,0.43495812673339945,0.4905010600639568,0.506126473971695,0.276212804854686,0.06673778846732199,0.0787073255195991,0.1365928099241039,0.062025854978289226,0.15090668887890987,0.15846575215810207,0.08511241225422557,0.04316903739393517,0.07043529170766058,0.03849714247940371,0.10919348798168622,0.17716902797285344,0.018130221601056633,0.08158022934491058,-0.040427167723588155,-0.10166733551501625,0.33938204480657885,0.47040847602338226,0.2214589957385595
A05,0.8192013783289428,0.41096396565690013,1.0,-0.05533185517979847,0.30825748804720704,0.16538176983385944,0.41848268429915864,-0.07538559023120311,0.13741174606657308,0.5368772433145748,0.33721186234011424,0.43624061889445115,0.5580768875374825,-0.27033697752851293,0.12770899397512409,0.007647277745095628,0.15781877358210877,0.33496361983361556,-0.09917284170766795,0.8066963219169909,0.7017777036739552,0.7993245884263837,0.7964887694800953,0.3835866449144248,0.025858601593645187,0.03202460095256879,0.050816745104630696,0.027131770343701112,0.04704844709506914,0.05200664502649346,0.029687181415728823,0.017744563070103976,0.032827026459383984,0.018452766586560237,0.03689274877651804,0.06353242387485952,0.006956252760333398,0.03075023540309745,-0.025750705042959118,-0.04999779294739179,0.13581738281869618,0.7045065665501582,0.050358595730862925
A09,0.43601938333262774,0.23512131032647135,-0.05533185517979847,1.0,0.6511215683646712,-0.03305690350782613,0.262999058001793,0.006202802696611665,0.07168336417844613,0.3365906191806383,0.23859716889486632,0.6912764195629894,0.39777895258895096,-0.07710384824901532,-0.08465137246639731,-0.09884974370448436,-0.0672811827754502,0.1934088655209395,-0.0798150830781196,0.4304489271740275,0.38032815703073947,0.4147527910491956,0.41465328670086,0.2428965442551473,0.045512476737693805,0.05057269181070357,0.09491453980729239,0.04919491355811177,0.07553109444805273,0.07079034010553414,0.03793842568214099,0.03307717905012125,0.04190821022389042,0.015657034887306676,0.05505820874095065,0.08715990754701879,0.0011061839146016732,0.054814697695005014,0.011931916424645923,-0.0533858746282988,0.018881615621585284,0.33479191104809924,-0.07587552736098223
A10,0.6309854440466329,0.34966884045804997,0.30825748804720704,0.6511215683646712,1.0,0.013796844202760738,0.4347978207382218,-0.012921466904644411,0.13610081010957858,0.45147457824716863,0.38346376804615107,0.8649895341522273,0.5490781302548651,-0.16577895941295437,-0.05168214984819217,-0.0971768201020926,-0.019927864203100446,0.33182840509008416,-0.10153801520192035,0.6213876402221391,0.5443044384883609,0.6059300594330984,0.6052497005946673,0.3402205823132633,0.05049869468982919,0.05677760113417661,0.09881833057249752,0.05273808381312004,0.07488504792171984,0.07496265834180764,0.04021112334212098,0.028910069568319614,0.0448021647054546,0.02036505424786391,0.051344161926081024,0.09107264469632978,0.0027412386583889406,0.05982028439581565,0.008562377030317701,-0.07661479503372928,0.0765898607905812,0.510182545658875,-0.06318658073152897
A17,0.14048777839943646,0.2746911944242357,0.16538176983385944,-0.03305690350782613,0.013796844202760738,1.0,0.2031311928034551,-0.8749328990289847,0.10490366727030981,0.08275986173830208,0.1856781327613946,0.02732528373498474,0.19352514137296453,-0.26657150520474204,0.42651867779827485,0.3362660539027917,0.38762779989487234,0.30064659242060265,-0.567705576257101,0.141465637926523,0.18395432863635966,0.14461216311179126,0.17151792962777682,-0.057845155862065616,-0.0027195978104991173,0.014209059299373909,0.17084735057313502,0.0658406887391144,0.16116130324127795,0.12149404782094361,0.0574603640076936,-0.08902509862152504,0.0513492382350673,0.018881175784626638,0.13017525564049,0.12784106319147914,-0.025202399745188418,0.029771139468663076,-0.11836990619303363,0.11706280982226228,0.23482897626393479,0.19352905535201867,0.4124428048746117
A18,0.5239061739793398,0.33239781451864164,0.41848268429915864,0.262999058001793,0.4347978207382218,0.2031311928034551,1.0,-0.0892934694921343,0.0748790956946493,0.3590014649161779,0.9771143441467828,0.46110505585926975,0.4957886030269011,-0.24456463680591656,0.13132687588592268,-0.09897139059952106,0.18878990395454934,0.8440035467702943,-0.12287902838722406,0.5170182815689299,0.4410216183841699,0.5063558635264225,0.519561773515544,0.2994123902818369,0.034293262258897304,0.041636518269694146,0.10014634805710348,0.06903837192766756,0.0685928878837094,0.05832415744289241,0.029477752583340674,0.022599854206249277,0.042075406554787635,0.014174251935119906,0.05447766407432512,0.0801624462324377,0.0035070534502891623,0.04741999054024906,-0.01477150609940087,-0.0805357295324405,0.05936579657253492,0.4735523217300075,-0.022049279208228297
A19,-0.0693333289030393,-0.18619995545701962,-0.07538559023120311,0.006202802696611665,-0.012921466904644411,-0.8749328990289847,-0.0892934694921343,1.0,-0.0004859840817428414,-0.027638548972848464,-0.06805861840165424,-0.0224126858669681,-0.12953298924553913,0.14599686991824998,-0.13702734009361922,-0.09724799904901323,-0.0737273782110873,-0.15755237555685722,0.5627930235216678,-0.06811414413021823,-0.08084528681164245,-0.06504479422493091,-0.0794760052320774,0.09091421833904585,-0.04829825917003435,-0.05931597792461098,-0.24440273050374245,-0.10447998946974608,-0.16873633555008002,-0.13095277185086265,-0.06307543611400496,0.09502032708003914,-0.0527447905817606,-0.017775587828744308,-0.11432943480505368,-0.1390347458150768,0.05209217744139064,-0.08082503073841227,-0.00414841456440838,0.012952992713353793,-0.1438427478509268,-0.08488207550164494,-0.09495235017598583
A20,0.1861189448849087,0.12935121954646286,0.13741174606657308,0.07168336417844613,0.13610081010957858,0.10490366727030981,0.0748790956946493,-0.0004859840817428414,1.0,0.18516524278490748,0.053177517263761076,0.1717863860672973,0.21551662952564468,-0.0815691173321149,0.2220591929198589,0.16504855715920455,0.3329989997343439,0.1022005189008365,0.07141990961865491,0.18529592626229402,0.18429614006510114,0.1781068680544807,0.19672930987987725,0.03639176888477327,-0.042117415177615906,-0.0519393564045821,-0.12428232311344362,-0.11041515833436029,-0.03980112000361994,-0.019211291016078897,-0.019983101581285894,-0.031192374850636917,-0.03679240623992606,-0.01066161759485639,-0.03494884445407538,-0.030128314572598625,-0.0008611891137886609,-0.05684555374757226,-0.05151833275863934,0.09623467113859811,0.17555944168475116,0.20537647510528725,0.12118078732846488
A21,0.6559752755291477,0.326761838691038,0.5368772433145748,0.3365906191806383,0.45147457824716863,0.08275986173830208,0.3590014649161779,-0.027638548972848464,0.18516524278490748,1.0,0.305072938504366,0.5402967009968764,0.4836441020860398,-0.1911280714873752,0.11140861598619535,0.03366530047038377,0.1344747833447288,0.28030274918617015,-0.04753175622956627,0.6463595122533914,0.5932353811832596,0.6311512414020173,0.6389912296200049,0.3847549573712168,0.01497905543480173,0.01749970381158488,0.02266104330399877,0.01692280791859233,0.040554460476291736,0.047736740034168904,0.023917561067783675,0.01670930487728524,0.0201649024255545,0.017373989337946535,0.03060325476321724,0.0579946196757766,0.003154074555784689,0.019492766047433163,-0.04111612340623573,0.006588375160570314,-0.017709698223076813,0.590565001457576,0.0194557767621541
