factor_id,family,screen_pass,t_ic,ic_mean,icir,n_dates,coverage
A01,A,true,-3.8626474592094238,-0.06800034892831286,-0.46841480790718054,68,1.0
A02,A,true,-3.200479724123402,-0.0564191939467123,-0.38811517515318994,68,0.9996202050892518
A05,A,true,-3.3556527015481086,-0.05138700854302439,-0.4069326626874149,68,1.0
A09,A,true,-2.1286001640262318,-0.031522689802837525,-0.2581306856172715,68,1.0
A10,A,true,-2.245236518824119,-0.03749735253723495,-0.27227492122370406,68,1.0
A17,A,true,-5.234821805039196,-0.09286835285077764,-0.6348153892195031,68,1.0
A18,A,true,-3.6373561818271827,-0.051693225318143306,-0.4410942275196127,68,1.0
A19,A,true,3.0242450662631453,0.05452393970055011,0.3667435837045891,68,1.0
A20,A,true,-6.143426847369133,-0.06672111478836273,-0.7449999351458306,68,1.0
A21,A,true,-3.9167667827209485,-0.04862333872942123,-0.47497773988438613,68,1.0
A22,A,true,-3.2422210116786125,-0.04228316400647564,-0.39317704978670204,68,1.0
A23,A,true,-2.813682582435656,-0.047069232048742964,-0.3412091318924377,68,1.0
A24,A,true,-2.971951723247307,-0.05558141675736639,-0.36040208438779625,68,1.0
A25,A,true,2.3756531053209087,0.02994868540551577,0.288090255384256,68,0.9699192956713133
B09,B,true,-3.814118031393098,-0.08054200318684715,-0.4625297503531364,68,1.0
B10,B,true,-3.151189481290975,-0.06834603605961029,-0.38213785522641225,68,1.0
B11,B,true,-4.944634755869426,-0.09326277325649254,-0.5996250405455835,68,1.0
B12,B,true,-3.7461732633208262,-0.050154547697221274,-0.46465560644118764,65,0.9886977886977887
B14,B,true,3.1260713801654534,0.05846391449691757,0.37909183804831015,68,0.9988525246796001
B15,B,true,-3.945649276237812,-0.06890494252168791,-0.4784802566932463,68,1.0
C01,C,true,-3.5783919288171036,-0.052793490433090555,-0.43394376154031267,68,0.9988183125298385
C11,C,true,-3.7537474274714935,-0.06808360984440494,-0.4552087392751628,68,0.9996026012131204
C12,C,true,-4.0950788126543705,-0.07369638225675307,-0.496601249700086,68,0.9996026012131204
C19,C,true,-2.7203633465035613,-0.03782869744237234,-0.3298925122850858,68,1.0
F02,F,true,-2.244403407364789,-0.03422298553621396,-0.289751233963167,60,0.9525256361564755
F06,F,true,-2.8993273239125705,-0.030809337117331713,-0.35159508234502695,68,1.0
F09,F,true,-5.008966544818861,-0.07979893941868789,-0.6074264158668619,68,1.0
F10,F,true,-3.929945340789598,-0.0782397798822733,-0.48374283146507346,66,0.9886148007590133
E16,E,true,2.9520694813029777,0.042207483283474324,0.35799100839925047,68,0.7346182357301705
D07,D,true,2.5414522633173076,0.023090166990322684,0.30819635659183314,68,0.9989235737351991
D08,D,true,2.8603403884538094,0.028152461837763716,0.34686722196515607,68,0.9989674754775426
D09,D,true,2.126429015793563,0.03463109268437031,0.25786739522044305,68,0.9994617868675996
D10,D,true,2.6796940148490527,0.02977910786967791,0.32496063139876774,68,0.999530736743313
D12,D,true,2.2886370081122873,0.02414845669137549,0.27753800362189834,68,0.9994617868675996
D13,D,true,2.729143727345358,0.02729712830103873,0.33095728986284695,68,0.9950839819746006
D14,D,true,3.7010745432647703,0.02178320384937393,0.4488212138283908,68,0.9679650527848562
D17,D,true,2.2646844933156913,0.01987515485808932,0.2746333345482061,68,0.998900293255132
D18,D,true,2.8950739189382277,0.02250742312681629,0.3510792812280345,68,0.999530736743313
D19,D,true,3.8499628287257974,0.014441337217442082,0.4668765705158299,68,0.9994617868675996
D20,D,true,2.6159301171785323,0.026459505654548434,0.3172281230106315,68,0.9985052316890882
D21,D,true,3.317266326947801,0.03736615499457343,0.40227763100913266,68,0.988673139158576
D25,D,true,2.0066222224028967,0.0077571331006977195,0.24333868746114107,68,0.980327868852459
D30,D,true,2.8425342385948165,0.029463087004891374,0.3447079091223853,68,0.999530736743313
