fill_id,symbol,side,date,decision_date,shares,price,notional_hand,notional_engine,commission_hand,commission_engine,stamp_hand,stamp_engine,fees_hand,fees_engine,net_cash_hand,net_cash_engine
F000001,sz.159934,buy,2019-02-01,2019-01-31,14100,2.822,39790.2,39790.200000000004,5.0,5.0,0.0,0.0,5.0,5.0,-39795.2,-39795.200000000004
F000002,sh.511010,buy,2019-03-01,2019-02-28,300,116.444,34933.2,34933.200000000004,5.0,5.0,0.0,0.0,5.0,5.0,-34938.2,-34938.200000000004
F000003,sh.518880,buy,2019-03-01,2019-02-28,14100,2.833,39945.3,39945.3,5.0,5.0,0.0,0.0,5.0,5.0,-39950.3,-39950.3
F000004,sz.159934,buy,2019-03-01,2019-02-28,100,2.813,281.3,281.3,5.0,5.0,0.0,0.0,5.0,5.0,-286.3,-286.3
F000005,sh.518880,buy,2019-04-01,2019-03-29,100,2.788,278.8,278.79999999999995,5.0,5.0,0.0,0.0,5.0,5.0,-283.8,-283.79999999999995
F000006,sz.159934,buy,2019-04-01,2019-03-29,100,2.771,277.1,277.09999999999997,5.0,5.0,0.0,0.0,5.0,5.0,-282.1,-282.09999999999997
F000007,sh.518880,sell,2019-06-03,2019-05-31,300,2.878,863.4,863.4000000000001,5.0,5.0,0.0,0.0,5.0,5.0,858.4,858.4000000000001
F000008,sz.159934,sell,2019-06-03,2019-05-31,300,2.855,856.5,856.5,5.0,5.0,0.0,0.0,5.0,5.0,851.5,851.5
F000009,sh.518880,sell,2019-07-02,2019-07-01,400,3.034,1213.6,1213.6,5.0,5.0,0.0,0.0,5.0,5.0,1208.6,1208.6
F000010,sz.159934,sell,2019-07-02,2019-07-01,400,3.012,1204.8,1204.8,5.0,5.0,0.0,0.0,5.0,5.0,1199.8,1199.8
F000011,sh.518880,sell,2019-08-02,2019-08-01,200,3.112,622.4,622.4,5.0,5.0,0.0,0.0,5.0,5.0,617.4,617.4
F000012,sz.159934,sell,2019-08-02,2019-08-01,200,3.088,617.6,617.6,5.0,5.0,0.0,0.0,5.0,5.0,612.6,612.6
F000013,sh.518880,sell,2019-09-03,2019-09-02,900,3.496,3146.4,3146.4,5.0,5.0,0.0,0.0,5.0,5.0,3141.4,3141.4
F000014,sz.159934,sell,2019-09-03,2019-09-02,900,3.468,3121.2,3121.2,5.0,5.0,0.0,0.0,5.0,5.0,3116.2,3116.2
F000015,sh.518880,buy,2019-10-08,2019-09-30,300,3.396,1018.8,1018.8,5.0,5.0,0.0,0.0,5.0,5.0,-1023.8,-1023.8
F000016,sz.159934,buy,2019-10-08,2019-09-30,300,3.368,1010.4,1010.4,5.0,5.0,0.0,0.0,5.0,5.0,-1015.4,-1015.4
