symbol,side,intent,decision_date,decision_session,source_signal,expiry_date,priority,target_notional,target_weight,target_value,anchor,shares_held
sh.511010,buy,,2019-01-31,pm,2019-01-31,2019-02-28,1,40000.0,,40000.0,116.724,0
sh.518880,buy,,2019-01-31,pm,2019-01-31,2019-02-28,2,40000.0,,40000.0,2.837,0
sz.159934,buy,,2019-01-31,pm,2019-01-31,2019-02-28,3,40000.0,,40000.0,2.822,0
sh.511010,buy,,2019-02-28,pm,2019-02-28,2019-03-29,1,39973.619999999995,,39973.619999999995,116.444,0
sh.518880,buy,,2019-02-28,pm,2019-02-28,2019-03-29,2,39973.619999999995,,39973.619999999995,2.833,0
sz.159934,buy,,2019-02-28,pm,2019-02-28,2019-03-29,3,310.31999999999243,,39973.619999999995,2.813,14100
sh.518880,buy,,2019-03-29,pm,2019-03-29,2019-04-30,2,438.7199999999939,,39749.51999999999,2.788,14100
sz.159934,buy,,2019-03-29,pm,2019-03-29,2019-04-30,3,401.31999999999243,,39749.51999999999,2.771,14200
sh.518880,sell,risk,2019-05-31,pm,2019-05-31,2019-06-28,2,,0.2,40248.99999999999,2.878,14200
sz.159934,sell,risk,2019-05-31,pm,2019-05-31,2019-06-28,3,,0.2,40248.99999999999,2.855,14300
sh.518880,sell,risk,2019-06-28,pm,2019-06-28,2019-07-31,2,,0.2,41556.79999999999,3.109,13900
sz.159934,sell,risk,2019-06-28,pm,2019-06-28,2019-07-31,3,,0.2,41556.79999999999,3.089,14000
sh.518880,sell,risk,2019-07-31,pm,2019-07-31,2019-08-30,2,,0.2,41866.91999999999,3.164,13500
sz.159934,sell,risk,2019-07-31,pm,2019-07-31,2019-08-30,3,,0.2,41866.91999999999,3.142,13600
sh.518880,sell,risk,2019-08-30,pm,2019-08-30,2019-09-30,2,,0.2,43714.29999999999,3.508,13300
sz.159934,sell,risk,2019-08-30,pm,2019-08-30,2019-09-30,3,,0.2,43714.29999999999,3.481,13400
sh.518880,buy,,2019-09-30,pm,2019-09-30,2019-10-31,2,1049.6199999999953,,43160.02,3.396,12400
sz.159934,buy,,2019-09-30,pm,2019-09-30,2019-10-31,3,1060.0199999999968,,43160.02,3.368,12500
sh.518880,buy,,2019-11-29,pm,2019-11-29,2019-12-31,2,1046.979999999996,,42512.479999999996,3.265,12700
sz.159934,buy,,2019-11-29,pm,2019-11-29,2019-12-31,3,1078.8799999999974,,42512.479999999996,3.237,12800
