symbol,sclass,source_signal,outcome,n_sent
sh.600307,buy,2015-01-30,filled,1
sh.601677,buy,2015-01-30,filled,1
sh.601877,buy,2015-01-30,filled,1
sz.000708,buy,2015-01-30,filled,1
sz.002039,buy,2015-01-30,filled,1
sz.002050,buy,2015-01-30,filled,1
sz.002233,buy,2015-01-30,filled,1
sz.002538,buy,2015-01-30,filled,1
sz.002664,buy,2015-01-30,filled,1
sz.002672,buy,2015-01-30,filled,1
sh.601058,buy,2015-02-27,filled,2
sz.000333,buy,2015-02-27,filled,2
sz.000418,buy,2015-02-27,filled,2
sz.000776,buy,2015-02-27,filled,2
sz.000963,buy,2015-02-27,filled,2
sz.002508,buy,2015-02-27,filled,2
sz.002595,buy,2015-02-27,filled,3
sz.002597,buy,2015-02-27,filled,2
sh.600307,sell,2015-02-27,filled,1
sh.601877,sell,2015-02-27,filled,1
sz.000708,sell,2015-02-27,filled,1
sz.002039,sell,2015-02-27,filled,1
sz.002233,sell,2015-02-27,filled,1
sz.002538,sell,2015-02-27,filled,1
sz.002664,sell,2015-02-27,filled,1
sz.002672,sell,2015-02-27,filled,1
sh.600066,buy,2015-03-31,filled,2
sh.600658,buy,2015-03-31,filled,2
sz.000550,buy,2015-03-31,filled,2
sz.002409,buy,2015-03-31,filled,2
sz.002521,buy,2015-03-31,filled,3
sz.002601,buy,2015-03-31,filled,2
sh.601058,sell,2015-03-31,filled,1
sz.000776,sell,2015-03-31,filled,1
sz.000963,sell,2015-03-31,filled,1
sz.002050,sell,2015-03-31,filled,1
sz.002538,sell,2015-03-31,filled,1
sz.002595,sell,2015-03-31,filled,1
sz.002597,sell,2015-03-31,filled,1
sh.600128,buy,2015-04-30,filled,3
sh.600486,buy,2015-04-30,filled,3
sz.000501,buy,2015-04-30,terminated:expired_seat,40
sz.000639,buy,2015-04-30,filled,2
sz.002014,buy,2015-04-30,filled,3
sz.002091,buy,2015-04-30,filled,2
sz.002324,buy,2015-04-30,filled,2
sz.002537,buy,2015-04-30,filled,2
sz.002597,buy,2015-04-30,filled,2
sz.002662,buy,2015-04-30,filled,2
sh.600066,sell,2015-04-30,filled,1
sh.600658,sell,2015-04-30,filled,1
sh.601677,sell,2015-04-30,filled,1
sz.000333,sell,2015-04-30,filled,1
sz.000418,sell,2015-04-30,filled,1
sz.000550,sell,2015-04-30,filled,1
sz.002409,sell,2015-04-30,filled,1
sz.002508,sell,2015-04-30,filled,1
sz.002521,sell,2015-04-30,filled,1
sz.002601,sell,2015-04-30,terminated:expired_seat,1
sh.600030,buy,2015-05-29,filled,2
sh.600369,buy,2015-05-29,terminated:expired_seat,42
sh.600742,buy,2015-05-29,filled,2
sz.000418,buy,2015-05-29,filled,2
sz.000501,buy,2015-05-29,terminated:expired_seat,42
sz.000728,buy,2015-05-29,filled,2
sz.000776,buy,2015-05-29,filled,2
sz.002372,buy,2015-05-29,filled,14
sh.600128,sell,2015-05-29,filled,1
sh.600486,sell,2015-05-29,filled,1
sz.002014,sell,2015-05-29,filled,1
sz.002091,sell,2015-05-29,terminated:expired_seat,1
sz.002324,sell,2015-05-29,filled,1
sz.002537,sell,2015-05-29,filled,1
sz.002601,sell,2015-05-29,filled,1
sz.002662,sell,2015-05-29,terminated:expired_seat,1
sh.603456,buy,2015-06-30,filled,2
sz.000501,buy,2015-06-30,filled,2
sz.002035,buy,2015-06-30,filled,8
sz.002281,buy,2015-06-30,filled,2
sz.002399,buy,2015-06-30,filled,2
sz.002489,buy,2015-06-30,terminated:expired_seat,46
sz.002537,buy,2015-06-30,filled,3
sz.002723,buy,2015-06-30,filled,2
sz.002737,buy,2015-06-30,filled,2
sh.600030,sell,2015-06-30,filled,1
sh.600742,sell,2015-06-30,filled,1
sz.000418,sell,2015-06-30,filled,1
sz.000639,sell,2015-06-30,filled,1
sz.000728,sell,2015-06-30,filled,1
sz.002091,sell,2015-06-30,terminated:expired_seat,1
sz.002372,sell,2015-06-30,filled,1
sz.002597,sell,2015-06-30,filled,1
sz.002662,sell,2015-06-30,terminated:expired_seat,1
sh.600004,buy,2015-07-31,filled,3
sh.600361,buy,2015-07-31,filled,4
sz.002039,buy,2015-07-31,terminated:expired_seat,42
sz.002258,buy,2015-07-31,filled,2
sz.002536,buy,2015-07-31,terminated:expired_seat,42
sz.002563,buy,2015-07-31,filled,2
sz.002588,buy,2015-07-31,filled,2
sz.002597,buy,2015-07-31,filled,3
sz.002641,buy,2015-07-31,filled,19
sh.603456,sell,2015-07-31,filled,1
sz.000776,sell,2015-07-31,filled,1
sz.002035,sell,2015-07-31,filled,1
sz.002091,sell,2015-07-31,terminated:expired_seat,1
sz.002281,sell,2015-07-31,filled,1
sz.002399,sell,2015-07-31,terminated:expired_seat,1
sz.002537,sell,2015-07-31,filled,1
sz.002662,sell,2015-07-31,filled,1
sz.002723,sell,2015-07-31,filled,1
sz.002737,sell,2015-07-31,filled,1
sh.600885,buy,2015-08-31,filled,3
sh.601555,buy,2015-08-31,filled,3
sh.601688,buy,2015-08-31,filled,3
sh.603369,buy,2015-08-31,filled,2
sz.000728,buy,2015-08-31,filled,39
sz.000776,buy,2015-08-31,terminated:expired_seat,40
sz.002393,buy,2015-08-31,filled,3
sh.600004,sell,2015-08-31,filled,1
sh.600361,sell,2015-08-31,filled,1
sz.002091,sell,2015-08-31,terminated:expired_seat,1
sz.002399,sell,2015-08-31,filled,1
sz.002563,sell,2015-08-31,filled,1
sz.002597,sell,2015-08-31,filled,1
sz.002641,sell,2015-08-31,filled,1
sh.600004,buy,2015-09-30,filled,2
sh.600987,buy,2015-09-30,terminated:expired_seat,34
sh.601566,buy,2015-09-30,filled,2
sz.002274,buy,2015-09-30,filled,2
sz.002317,buy,2015-09-30,filled,2
sz.002595,buy,2015-09-30,filled,2
sz.002630,buy,2015-09-30,terminated:expired_seat,34
sh.601555,sell,2015-09-30,filled,1
sh.601688,sell,2015-09-30,filled,1
sh.603369,sell,2015-09-30,filled,1
sz.000728,sell,2015-09-30,filled,1
sz.002091,sell,2015-09-30,terminated:expired_seat,1
sz.002258,sell,2015-09-30,filled,1
sz.002588,sell,2015-09-30,filled,1
sh.600000,buy,2015-10-30,terminated:expired_seat,42
sh.600066,buy,2015-10-30,filled,2
sh.600999,buy,2015-10-30,filled,2
sh.601166,buy,2015-10-30,filled,3
sz.000776,buy,2015-10-30,filled,2
sz.002372,buy,2015-10-30,filled,2
sh.601566,sell,2015-10-30,filled,1
sz.002091,sell,2015-10-30,terminated:expired_seat,1
sz.002274,sell,2015-10-30,filled,1
sz.002317,sell,2015-10-30,filled,1
sz.002393,sell,2015-10-30,filled,1
sz.000418,buy,2015-11-30,filled,2
sz.000596,buy,2015-11-30,filled,2
sz.000615,buy,2015-11-30,filled,2
sz.000895,buy,2015-11-30,filled,2
sz.000999,buy,2015-11-30,filled,2
sz.002187,buy,2015-11-30,filled,39
sh.600004,sell,2015-11-30,filled,1
sh.600999,sell,2015-11-30,filled,1
sz.000501,sell,2015-11-30,filled,1
sz.000776,sell,2015-11-30,filled,1
sz.002091,sell,2015-11-30,filled,1
sz.002372,sell,2015-11-30,filled,1
sh.600011,buy,2015-12-31,filled,2
sh.600021,buy,2015-12-31,filled,3
sh.600310,buy,2015-12-31,filled,2
sh.600642,buy,2015-12-31,filled,2
sh.600686,buy,2015-12-31,filled,2
sh.601633,buy,2015-12-31,filled,2
sz.002372,buy,2015-12-31,filled,2
sh.601166,sell,2015-12-31,filled,1
sz.000418,sell,2015-12-31,filled,1
sz.000596,sell,2015-12-31,filled,1
sz.000895,sell,2015-12-31,filled,1
sz.000999,sell,2015-12-31,filled,1
sz.002187,sell,2015-12-31,filled,1
sz.002595,sell,2015-12-31,filled,1
sh.600335,buy,2016-01-29,filled,2
sh.601872,buy,2016-01-29,filled,4
sz.000665,buy,2016-01-29,filled,2
sz.002258,buy,2016-01-29,filled,3
sz.002470,buy,2016-01-29,filled,2
sz.002538,buy,2016-01-29,filled,2
sh.600021,sell,2016-01-29,filled,1
sh.600066,sell,2016-01-29,filled,1
sh.600310,sell,2016-01-29,filled,1
sh.600686,sell,2016-01-29,filled,1
sz.000615,sell,2016-01-29,filled,1
sz.002372,sell,2016-01-29,filled,1
sh.600386,buy,2016-02-29,filled,2
sz.002014,buy,2016-02-29,filled,3
sz.002242,buy,2016-02-29,filled,2
sz.002267,buy,2016-02-29,filled,2
sz.002519,buy,2016-02-29,filled,3
sz.002548,buy,2016-02-29,filled,2
sz.002588,buy,2016-02-29,filled,2
sz.002763,buy,2016-02-29,filled,2
sh.600011,sell,2016-02-29,filled,1
sh.600335,sell,2016-02-29,filled,1
sh.600642,sell,2016-02-29,filled,1
sh.600885,sell,2016-02-29,filled,1
sh.601633,sell,2016-02-29,filled,1
sh.601872,sell,2016-02-29,filled,1
sz.002258,sell,2016-02-29,filled,1
