feature,importance
STD10,10703.0
RSQ10,10525.0
RSQ20,10089.0
RSQ30,9699.0
RSQ60,9515.0
RSQ5,8917.0
STD5,8450.0
BETA10,8055.0
RSV10,7423.0
RESI10,7114.0
MIN10,7089.0
VSTD5,6596.0
STD20,6152.0
CORRV5,5786.0
CORCV5,5645.0
QTLD5,5565.0
STD60,5252.0
BETA60,5208.0
WVMA30,5083.0
MAX10,4973.0
RESI5,4916.0
MIN5,4869.0
RSV5,4808.0
CORHV10,4773.0
RANK60,4759.0
VSTD10,4741.0
WVMA5,4709.0
VMA10,4679.0
KLEN,4677.0
QTLU10,4624.0
STD30,4528.0
CORRV10,4524.0
RSV20,4453.0
MAX5,4257.0
CNTP5,4152.0
QTLU60,4144.0
MAX30,4141.0
ROCVOL60,4102.0
BETA30,4094.0
MIN60,4038.0
QTLD60,4027.0
CNTN10,3978.0
QTLD10,3909.0
RSV30,3900.0
CORCA20,3796.0
CORLV10,3773.0
BETA20,3754.0
MAX20,3753.0
CORRV60,3738.0
RANK5,3727.0
CNTN5,3722.0
WVMA20,3681.0
WVMA10,3665.0
KLOW2,3664.0
MAX60,3631.0
RANK10,3631.0
ROCVOL5,3611.0
CORRV30,3548.0
VMA20,3514.0
KLOW,3487.0
RSV60,3438.0
CORCA30,3383.0
CNTP60,3375.0
CORRV20,3278.0
CORHV5,3221.0
KMID,3208.0
CORLV5,3187.0
ROCLOL60,3186.0
VMA30,3160.0
QTLU5,3081.0
ROCVOL10,3072.0
WVMA60,3053.0
CORCA5,3023.0
RANK20,3022.0
KSFT,3012.0
ROCVOL30,3002.0
CORLV20,2966.0
RESI30,2912.0
RANK30,2895.0
VMA5,2875.0
KUP2,2852.0
MIN30,2848.0
CORCA60,2837.0
KSFT2,2816.0
SUMN10,2803.0
BETA5,2754.0
RESI20,2720.0
ROC10,2720.0
KUP,2714.0
CNTP10,2712.0
CNTN30,2701.0
ROCLOL5,2698.0
CORCA10,2692.0
CORHV20,2680.0
MIN20,2679.0
LOW0,2623.0
VWAP0,2607.0
HIGH0,2585.0
ROCVOL20,2559.0
CNTN60,2529.0
CORHV30,2524.0
VSTD60,2512.0
CNTN20,2498.0
OPEN0,2481.0
ROCHIH10,2479.0
CNTP20,2477.0
SUMP60,2448.0
ROCOPN5,2431.0
VMA60,2427.0
CORCV10,2424.0
VSTD20,2314.0
RESI60,2249.0
SUMP30,2241.0
QTLD30,2237.0
ROC5,2182.0
CORLV30,2156.0
QTLD20,2140.0
KMID2,2096.0
MA10,2082.0
ROCLOL10,2081.0
CORLV60,2063.0
SUMP10,2058.0
SUMN30,2006.0
CORHV60,1926.0
SUMN20,1901.0
CORCV20,1870.0
SUMN60,1836.0
MA20,1829.0
SUMP5,1811.0
CORCV60,1798.0
CNTP30,1789.0
VSTD30,1783.0
QTLU20,1775.0
SUMN5,1773.0
MA60,1673.0
ROCLOL30,1664.0
ROCOPN30,1648.0
CORCV30,1631.0
ROC30,1579.0
ROCHIH60,1539.0
MA5,1536.0
ROCHIH5,1475.0
ROCOPN60,1439.0
QTLU30,1404.0
ROC60,1403.0
ROCHIH30,1400.0
ROCOPN20,1391.0
ROCHIH20,1380.0
SUMP20,1293.0
ROCOPN10,1234.0
MA30,1223.0
ROC20,1204.0
ROCLOL20,1182.0
ROCCLS10,612.0
ROCCLS5,522.0
ROCCLS30,501.0
ROCCLS20,291.0
ROCCLS60,265.0
