feature,importance
RSQ60,7079.0
ROCVOL60,6501.0
WVMA20,6136.0
RSQ20,6021.0
CORRV30,6017.0
RSQ30,5992.0
CORLV5,5984.0
RSQ10,5958.0
CNTP60,5840.0
CORCA60,5838.0
WVMA5,5689.0
STD20,5631.0
CNTN5,5592.0
CORHV5,5589.0
CORRV10,5521.0
STD60,5479.0
WVMA30,5412.0
CORHV10,5402.0
STD30,5325.0
CORRV60,5189.0
CNTN60,5087.0
ROCVOL5,5014.0
KLEN,4928.0
CORCV5,4855.0
RESI10,4731.0
VMA10,4725.0
CORRV20,4676.0
RSQ5,4608.0
KLOW,4607.0
MIN5,4536.0
WVMA60,4523.0
CORCA5,4519.0
STD10,4499.0
CORHV30,4480.0
STD5,4448.0
ROCVOL30,4445.0
MIN60,4399.0
ROCVOL10,4370.0
CNTP10,4348.0
CNTN10,4341.0
CNTP20,4294.0
KUP,4278.0
KLOW2,4254.0
RESI30,4178.0
VSTD10,4177.0
MAX5,4141.0
VWAP0,4132.0
VMA5,4105.0
CORCA10,4088.0
VSTD20,4076.0
KUP2,4070.0
CORRV5,4043.0
RANK10,4043.0
MAX60,4029.0
CORCA20,3994.0
VSTD5,3989.0
ROCLOL5,3985.0
RANK5,3883.0
MIN30,3862.0
HIGH0,3833.0
LOW0,3826.0
MAX20,3812.0
RANK60,3749.0
CORHV20,3737.0
QTLU60,3689.0
BETA60,3677.0
CNTP30,3651.0
CORLV60,3636.0
ROCVOL20,3631.0
CORCV10,3630.0
CORLV10,3576.0
CNTN20,3504.0
KSFT,3500.0
CNTN30,3499.0
CORCA30,3489.0
QTLD60,3462.0
CORCV60,3459.0
WVMA10,3445.0
RSV60,3416.0
VMA60,3339.0
RESI60,3325.0
CORLV30,3315.0
CORCV20,3296.0
MIN10,3246.0
CNTP5,3181.0
CORHV60,3176.0
VSTD60,3110.0
KSFT2,3078.0
BETA30,3011.0
ROCOPN5,2993.0
RSV20,2983.0
RSV30,2890.0
VSTD30,2851.0
CORLV20,2841.0
RESI5,2834.0
CORCV30,2826.0
MIN20,2784.0
QTLD5,2756.0
ROCLOL60,2728.0
ROCHIH60,2725.0
KMID2,2669.0
RSV5,2615.0
VMA20,2614.0
RSV10,2590.0
SUMN5,2543.0
ROCLOL10,2527.0
MA60,2512.0
RESI20,2511.0
RANK20,2505.0
SUMN30,2505.0
QTLU20,2459.0
ROCLOL20,2384.0
ROCOPN10,2346.0
VMA30,2335.0
KMID,2239.0
MAX10,2234.0
ROCOPN60,2231.0
RANK30,2225.0
QTLU30,2215.0
MAX30,2206.0
ROC5,2194.0
ROCHIH10,2192.0
QTLU10,2157.0
SUMP60,2153.0
QTLU5,2141.0
BETA20,2090.0
QTLD10,2057.0
SUMN10,2010.0
ROCHIH5,2006.0
MA30,1998.0
SUMN60,1978.0
SUMP30,1928.0
SUMP5,1890.0
ROC10,1799.0
ROC60,1794.0
ROCHIH20,1794.0
ROC30,1792.0
BETA10,1774.0
ROC20,1677.0
MA5,1676.0
SUMP10,1656.0
QTLD20,1627.0
ROCOPN20,1590.0
OPEN0,1586.0
SUMP20,1562.0
SUMN20,1548.0
ROCLOL30,1511.0
ROCHIH30,1443.0
MA10,1432.0
ROCOPN30,1400.0
BETA5,1395.0
QTLD30,1281.0
MA20,1078.0
ROCCLS20,722.0
ROCCLS30,635.0
ROCCLS60,617.0
ROCCLS10,472.0
ROCCLS5,416.0
