t,train_start,train_end,label_end_latest,n_train_sections,n_train_samples,n_predict
2016-01-29,2015-01-30,2015-12-31,2016-01-29,12,21162,1876
2016-02-29,2015-01-30,2016-01-29,2016-02-29,13,23038,1758
2016-03-31,2015-01-30,2016-02-29,2016-03-31,14,24796,1867
2016-04-29,2015-01-30,2016-03-31,2016-04-29,15,26663,1928
2016-05-31,2015-01-30,2016-04-29,2016-05-31,16,28591,1524
2016-06-30,2015-01-30,2016-05-31,2016-06-30,17,30115,1737
2016-07-29,2015-01-30,2016-06-30,2016-07-29,18,31852,1910
2016-08-31,2015-01-30,2016-07-29,2016-08-31,19,33762,1729
2016-09-30,2015-01-30,2016-08-31,2016-09-30,20,35491,1652
2016-10-31,2015-01-30,2016-09-30,2016-10-31,21,37143,1814
2016-11-30,2015-01-30,2016-10-31,2016-11-30,22,38957,2030
2016-12-30,2015-01-30,2016-11-30,2016-12-30,23,40987,1554
2017-01-26,2015-01-30,2016-12-30,2017-01-26,24,42541,1452
2017-02-28,2015-02-27,2017-01-26,2017-02-28,24,42555,1536
2017-03-31,2015-03-31,2017-02-28,2017-03-31,24,42679,1751
2017-04-28,2015-04-30,2017-03-31,2017-04-28,24,42608,1618
2017-05-31,2015-05-29,2017-04-28,2017-05-31,24,42372,1187
2017-06-30,2015-06-30,2017-05-31,2017-06-30,24,41763,1231
2017-07-31,2015-07-31,2017-06-30,2017-07-31,24,41213,1330
2017-08-31,2015-08-31,2017-07-31,2017-08-31,24,40787,1350
2017-09-29,2015-09-30,2017-08-31,2017-09-29,24,40378,1487
2017-10-31,2015-10-30,2017-09-29,2017-10-31,24,40157,1370
2017-11-30,2015-11-30,2017-10-31,2017-11-30,24,39673,1257
2017-12-29,2015-12-31,2017-11-30,2017-12-29,24,38962,982
2018-01-31,2016-01-29,2017-12-29,2018-01-31,24,37929,1168
2018-02-28,2016-02-29,2018-01-31,2018-02-28,24,37221,1047
2018-03-30,2016-03-31,2018-02-28,2018-03-30,24,36510,1235
2018-04-27,2016-04-29,2018-03-30,2018-04-27,24,35878,1212
2018-05-31,2016-05-31,2018-04-27,2018-05-31,24,35162,1219
2018-06-29,2016-06-30,2018-05-31,2018-06-29,24,34857,1023
2018-07-31,2016-07-29,2018-06-29,2018-07-31,24,34143,1028
2018-08-31,2016-08-31,2018-07-31,2018-08-31,24,33261,865
2018-09-28,2016-09-30,2018-08-31,2018-09-28,24,32397,810
2018-10-31,2016-10-31,2018-09-28,2018-10-31,24,31555,868
2018-11-30,2016-11-30,2018-10-31,2018-11-30,24,30609,1230
2018-12-28,2016-12-30,2018-11-30,2018-12-28,24,29809,897
2019-01-31,2017-01-26,2018-12-28,2019-01-31,24,29152,985
2019-02-28,2017-02-28,2019-01-31,2019-02-28,24,28685,1438
2019-03-29,2017-03-31,2019-02-28,2019-03-29,24,28587,2260
2019-04-30,2017-04-28,2019-03-29,2019-04-30,24,29096,2087
2019-05-31,2017-05-31,2019-04-30,2019-05-31,24,29565,1387
2019-06-28,2017-06-30,2019-05-31,2019-06-28,24,29765,1265
2019-07-31,2017-07-31,2019-06-28,2019-07-31,24,29799,1060
2019-08-30,2017-08-31,2019-07-31,2019-08-30,24,29529,1133
2019-09-30,2017-09-29,2019-08-30,2019-09-30,24,29312,1397
2019-10-31,2017-10-31,2019-09-30,2019-10-31,24,29222,1147
2019-11-29,2017-11-30,2019-10-31,2019-11-29,24,28999,1038
2019-12-31,2017-12-29,2019-11-29,2019-12-31,24,28780,1309
2020-01-23,2018-01-31,2019-12-31,2020-01-23,24,29107,1606
2020-02-28,2018-02-28,2020-01-23,2020-02-28,24,29545,1807
2020-03-31,2018-03-30,2020-02-28,2020-03-31,24,30305,1820
2020-04-30,2018-04-27,2020-03-31,2020-04-30,24,30890,1521
2020-05-29,2018-05-31,2020-04-30,2020-05-29,24,31199,1456
2020-06-30,2018-06-29,2020-05-29,2020-06-30,24,31436,1556
2020-07-31,2018-07-31,2020-06-30,2020-07-31,24,31969,2197
2020-08-31,2018-08-31,2020-07-31,2020-08-31,24,33138,1993
2020-09-30,2018-09-28,2020-08-31,2020-09-30,24,34266,1510
2020-10-30,2018-10-31,2020-09-30,2020-10-30,24,34966,1345
2020-11-30,2018-11-30,2020-10-30,2020-11-30,24,35443,1542
2020-12-31,2018-12-28,2020-11-30,2020-12-31,24,35755,1495
