day,sess,symbol,reason,source
2016-02-29,am,sz.002761,protection,2016-02-29
2016-02-29,pm,sh.601311,seat_exit,2016-02-29
2016-02-29,pm,sz.000975,seat_exit,2016-02-29
2016-02-29,pm,sz.002055,seat_exit,2016-02-29
2016-03-22,pm,sz.002002,take_half,2016-03-22
2016-03-25,pm,sz.002111,take_half,2016-03-25
2016-03-31,am,sz.002002,take_half,2016-03-22
2016-03-31,am,sz.002551,take_half,2016-03-31
2016-03-31,pm,sz.002002,seat_exit,2016-03-31
2016-03-31,pm,sz.002111,seat_exit,2016-03-31
2016-03-31,pm,sz.002545,seat_exit,2016-03-31
2016-03-31,pm,sz.002551,seat_exit,2016-03-31
2016-04-29,pm,sh.600831,seat_exit,2016-04-29
2016-04-29,pm,sz.000687,seat_exit,2016-04-29
2016-04-29,pm,sz.002384,seat_exit,2016-04-29
2016-04-29,pm,sz.002418,seat_exit,2016-04-29
2016-05-23,am,sz.002528,stop,2016-05-23
2016-05-31,pm,sh.600666,seat_exit,2016-05-31
2016-05-31,pm,sz.000890,seat_exit,2016-05-31
2016-05-31,pm,sz.002137,seat_exit,2016-05-31
2016-05-31,pm,sz.002528,seat_exit,2016-05-31
2016-06-13,am,sz.002211,stop,2016-06-13
2016-06-13,pm,sz.002211,stop,2016-06-13
2016-06-22,am,sz.002211,stop,2016-06-22
2016-06-30,pm,sz.002211,seat_exit,2016-06-30
2016-06-30,pm,sz.002231,seat_exit,2016-06-30
2016-06-30,pm,sz.002383,seat_exit,2016-06-30
2016-06-30,pm,sz.002689,seat_exit,2016-06-30
2016-07-15,am,sh.600120,take_half,2016-07-15
2016-07-18,am,sh.600120,clear,2016-07-18
2016-07-19,am,sh.600120,clear,2016-07-18
2016-07-19,pm,sh.600120,clear,2016-07-18
2016-07-20,pm,sh.600120,clear,2016-07-18
2016-07-21,pm,sh.600120,clear,2016-07-18
2016-07-22,pm,sh.600120,clear,2016-07-18
2016-07-25,am,sh.600120,clear,2016-07-18
2016-07-25,pm,sh.600120,clear,2016-07-18
2016-07-26,pm,sh.600120,clear,2016-07-18
2016-07-27,pm,sh.600120,clear,2016-07-18
2016-07-27,pm,sh.603998,protection,2016-07-27
2016-07-28,pm,sh.600120,clear,2016-07-18
2016-07-29,pm,sh.600120,seat_exit,2016-07-29
2016-07-29,pm,sh.603998,seat_exit,2016-07-29
2016-07-29,pm,sz.002056,seat_exit,2016-07-29
2016-07-29,pm,sz.002103,seat_exit,2016-07-29
2016-07-29,pm,sh.600120,clear,2016-07-18
2016-08-10,am,sh.600751,stop,2016-08-10
2016-08-31,pm,sh.600751,seat_exit,2016-08-31
2016-08-31,pm,sh.600807,seat_exit,2016-08-31
2016-08-31,pm,sz.002437,seat_exit,2016-08-31
2016-08-31,pm,sz.002504,seat_exit,2016-08-31
2016-09-26,pm,sz.002443,stop,2016-09-26
2016-09-30,pm,sz.002273,seat_exit,2016-09-30
2016-09-30,pm,sz.002443,seat_exit,2016-09-30
2016-09-30,pm,sz.002530,seat_exit,2016-09-30
2016-09-30,pm,sz.002547,seat_exit,2016-09-30
2016-10-31,pm,sh.600173,seat_exit,2016-10-31
2016-10-31,pm,sz.000766,seat_exit,2016-10-31
2016-10-31,pm,sz.002266,seat_exit,2016-10-31
2016-10-31,pm,sz.002631,seat_exit,2016-10-31
2016-11-10,am,sz.002486,take_half,2016-11-10
2016-11-29,pm,sz.002486,protection,2016-11-29
2016-11-30,pm,sh.600022,seat_exit,2016-11-30
2016-11-30,pm,sz.000702,seat_exit,2016-11-30
2016-11-30,pm,sz.002231,seat_exit,2016-11-30
2016-11-30,pm,sz.002486,seat_exit,2016-11-30
2016-12-26,am,sz.002722,stop,2016-12-26
2016-12-30,pm,sh.600873,seat_exit,2016-12-30
2016-12-30,pm,sz.000807,seat_exit,2016-12-30
2016-12-30,pm,sz.002389,seat_exit,2016-12-30
2016-12-30,pm,sz.002722,seat_exit,2016-12-30
2017-01-04,am,sh.600209,take_half,2017-01-04
2017-01-04,pm,sh.600209,take_half,2017-01-04
2017-01-13,pm,sh.600209,protection,2017-01-13
2017-01-13,pm,sh.603999,account_trim,2016-12-30
2017-01-13,pm,sz.000538,account_trim,2016-12-30
2017-01-13,pm,sz.002787,account_trim,2016-12-30
2017-01-16,am,sz.002787,stop,2017-01-16
2017-01-16,am,sh.603999,account_trim,2016-12-30
2017-01-26,pm,sh.600209,seat_exit,2017-01-26
2017-01-26,pm,sh.603999,seat_exit,2017-01-26
2017-01-26,pm,sz.000538,seat_exit,2017-01-26
2017-01-26,pm,sz.002787,seat_exit,2017-01-26
2017-02-10,am,sz.002725,stop,2017-02-10
2017-02-23,am,sz.000576,account_trim,2017-01-26
2017-02-28,pm,sh.600069,seat_exit,2017-02-28
2017-02-28,pm,sz.000576,seat_exit,2017-02-28
2017-02-28,pm,sz.002462,seat_exit,2017-02-28
2017-02-28,pm,sz.002725,seat_exit,2017-02-28
2017-03-08,pm,sz.000820,account_trim,2017-02-28
2017-03-14,pm,sz.000820,take_half,2017-03-14
2017-03-31,pm,sz.000514,seat_exit,2017-03-31
2017-03-31,pm,sz.000819,seat_exit,2017-03-31
2017-03-31,pm,sz.000820,seat_exit,2017-03-31
2017-03-31,pm,sz.002567,seat_exit,2017-03-31
2017-04-18,am,sz.000711,stop,2017-04-18
2017-04-18,am,sz.002307,account_trim,2017-03-31
2017-04-18,pm,sz.002307,account_trim,2017-03-31
2017-04-24,pm,sh.600626,stop,2017-04-24
2017-04-27,am,sz.002307,account_trim,2017-03-31
2017-04-27,pm,sz.002307,account_trim,2017-03-31
2017-04-28,pm,sh.600626,seat_exit,2017-04-28
2017-04-28,pm,sz.000711,seat_exit,2017-04-28
2017-04-28,pm,sz.002277,seat_exit,2017-04-28
2017-04-28,pm,sz.002307,seat_exit,2017-04-28
2017-05-03,am,sz.002807,stop,2017-05-03
2017-05-03,pm,sz.002807,stop,2017-05-03
2017-05-11,am,sz.002809,stop,2017-05-11
2017-05-18,pm,sz.002807,stop,2017-05-18
2017-05-31,pm,sh.600633,seat_exit,2017-05-31
2017-05-31,pm,sz.002608,seat_exit,2017-05-31
2017-05-31,pm,sz.002807,seat_exit,2017-05-31
2017-05-31,pm,sz.002809,seat_exit,2017-05-31
2017-06-30,pm,sh.600614,seat_exit,2017-06-30
2017-06-30,pm,sz.000635,seat_exit,2017-06-30
2017-06-30,pm,sz.002652,seat_exit,2017-06-30
2017-06-30,pm,sz.002685,seat_exit,2017-06-30
2017-07-17,am,sz.000611,stop,2017-07-17
2017-07-17,pm,sh.600501,stop,2017-07-17
2017-07-31,pm,sh.600501,seat_exit,2017-07-31
