day,sess,symbol,reason,source
2016-02-18,am,sz.000520,take_half,2016-02-18
2016-02-29,am,sh.600360,protection,2016-02-29
2016-02-29,am,sz.002435,stop,2016-02-29
2016-02-29,pm,sh.600360,seat_exit,2016-02-29
2016-02-29,pm,sz.002285,seat_exit,2016-02-29
2016-02-29,pm,sh.600360,protection,2016-02-29
2016-03-02,pm,sz.002582,take_half,2016-03-02
2016-03-10,pm,sz.000520,protection,2016-03-10
2016-03-11,am,sz.000520,protection,2016-03-11
2016-03-17,pm,sz.002582,clear,2016-03-17
2016-03-21,am,sz.002582,clear,2016-03-17
2016-03-21,pm,sz.002582,clear,2016-03-17
2016-03-22,am,sz.002582,clear,2016-03-17
2016-03-23,am,sz.002582,clear,2016-03-17
2016-03-23,pm,sz.002582,clear,2016-03-17
2016-03-24,am,sz.002582,clear,2016-03-17
2016-03-25,am,sz.002582,clear,2016-03-17
2016-03-25,pm,sz.002582,clear,2016-03-17
2016-03-28,pm,sz.002582,clear,2016-03-17
2016-03-29,pm,sz.002582,clear,2016-03-17
2016-03-30,pm,sz.002582,clear,2016-03-17
2016-03-31,pm,sz.000520,seat_exit,2016-03-31
2016-03-31,pm,sz.000982,seat_exit,2016-03-31
2016-03-31,pm,sz.002409,seat_exit,2016-03-31
2016-03-31,pm,sz.002582,seat_exit,2016-03-31
2016-03-31,pm,sz.002582,clear,2016-03-17
2016-04-01,am,sz.002582,clear,2016-03-17
2016-04-12,am,sz.002031,protection,2016-04-12
2016-04-21,pm,sz.002031,stop,2016-04-21
2016-04-29,pm,sz.000913,seat_exit,2016-04-29
2016-04-29,pm,sz.002031,seat_exit,2016-04-29
2016-04-29,pm,sz.002176,seat_exit,2016-04-29
2016-04-29,pm,sz.002329,seat_exit,2016-04-29
2016-05-31,pm,sz.002151,seat_exit,2016-05-31
2016-05-31,pm,sz.002469,seat_exit,2016-05-31
2016-05-31,pm,sz.002510,seat_exit,2016-05-31
2016-05-31,pm,sz.002518,seat_exit,2016-05-31
2016-06-13,am,sz.002211,stop,2016-06-13
2016-06-13,pm,sz.002211,stop,2016-06-13
