day,sess,symbol,reason,source,intent
2016-02-15,am,sz.000019,take_half,2016-02-15,profit
2016-02-15,pm,sz.000019,take_half,2016-02-15,profit
2016-02-16,pm,sz.000019,clear,2016-02-16,profit
2016-02-29,am,sz.000019,stop,2016-02-29,risk
2016-02-29,am,sz.002435,stop,2016-02-29,risk
2016-02-29,pm,sh.600493,seat_exit,2016-02-29,risk
2016-02-29,pm,sz.002702,seat_exit,2016-02-29,risk
2016-03-31,pm,sh.600614,seat_exit,2016-03-31,risk
2016-03-31,pm,sz.000982,seat_exit,2016-03-31,risk
2016-03-31,pm,sz.002409,seat_exit,2016-03-31,risk
2016-03-31,pm,sz.002528,seat_exit,2016-03-31,risk
2016-04-12,am,sz.002031,protection,2016-04-12,risk
2016-04-21,pm,sz.002031,stop,2016-04-21,risk
2016-04-29,pm,sh.600734,seat_exit,2016-04-29,risk
2016-04-29,pm,sh.603300,seat_exit,2016-04-29,risk
2016-04-29,pm,sh.603636,seat_exit,2016-04-29,risk
2016-04-29,pm,sz.002031,seat_exit,2016-04-29,risk
2016-05-26,am,sh.600967,stop,2016-05-26,risk
2016-05-31,pm,sh.600666,seat_exit,2016-05-31,risk
2016-05-31,pm,sh.600734,seat_exit,2016-05-31,risk
2016-05-31,pm,sh.600967,seat_exit,2016-05-31,risk
2016-05-31,pm,sz.000821,seat_exit,2016-05-31,risk
2016-05-31,pm,sz.002123,seat_exit,2016-05-31,risk
2016-06-02,am,sz.002619,stop,2016-06-02,risk
2016-06-02,pm,sz.002619,stop,2016-06-02,risk
2016-06-03,am,sz.002619,stop,2016-06-02,risk
2016-06-13,am,sz.002211,stop,2016-06-13,risk
2016-06-13,pm,sz.002211,stop,2016-06-13,risk
2016-06-13,pm,sz.002102,account_trim,2016-05-31,risk
2016-06-13,pm,sz.002619,account_trim,2016-05-31,risk
2016-06-13,pm,sz.002689,account_trim,2016-05-31,risk
2016-06-22,am,sz.002211,stop,2016-06-22,risk
2016-06-27,am,sz.002211,account_trim,2016-05-31,risk
2016-06-30,pm,sh.600734,seat_exit,2016-06-30,risk
2016-06-30,pm,sz.002102,seat_exit,2016-06-30,risk
2016-06-30,pm,sz.002211,seat_exit,2016-06-30,risk
2016-06-30,pm,sz.002619,seat_exit,2016-06-30,risk
2016-06-30,pm,sz.002689,seat_exit,2016-06-30,risk
2016-07-15,am,sh.600120,take_half,2016-07-15,profit
2016-07-15,pm,sz.002222,account_trim,2016-06-30,risk
2016-07-18,am,sh.600120,clear,2016-07-18,profit
2016-07-28,am,sz.002273,stop,2016-07-28,risk
2016-07-29,pm,sh.600120,seat_exit,2016-07-29,risk
2016-07-29,pm,sh.600734,seat_exit,2016-07-29,risk
2016-07-29,pm,sz.002222,seat_exit,2016-07-29,risk
2016-07-29,pm,sz.002273,seat_exit,2016-07-29,risk
2016-07-29,pm,sz.002428,seat_exit,2016-07-29,risk
2016-08-10,am,sh.600751,stop,2016-08-10,risk
2016-08-31,pm,sh.600751,seat_exit,2016-08-31,risk
2016-08-31,pm,sz.000609,seat_exit,2016-08-31,risk
2016-08-31,pm,sz.002590,seat_exit,2016-08-31,risk
2016-08-31,pm,sz.002616,seat_exit,2016-08-31,risk
2016-09-30,pm,sh.600070,seat_exit,2016-09-30,risk
2016-09-30,pm,sh.600619,seat_exit,2016-09-30,risk
