day,sess,symbol,reason,source,intent
2016-02-18,am,sz.000520,take_half,2016-02-18,profit
2016-02-29,am,sh.600360,protection,2016-02-29,risk
2016-02-29,am,sz.002435,stop,2016-02-29,risk
2016-02-29,pm,sh.600360,seat_exit,2016-02-29,risk
2016-02-29,pm,sz.002285,seat_exit,2016-02-29,risk
2016-02-29,pm,sh.600360,protection,2016-02-29,risk
2016-03-02,pm,sz.002582,take_half,2016-03-02,profit
2016-03-10,pm,sz.000520,protection,2016-03-10,risk
2016-03-11,am,sz.000520,protection,2016-03-10,risk
2016-03-17,pm,sz.002582,clear,2016-03-17,profit
2016-03-31,pm,sz.000520,seat_exit,2016-03-31,risk
2016-03-31,pm,sz.000982,seat_exit,2016-03-31,risk
2016-03-31,pm,sz.002409,seat_exit,2016-03-31,risk
2016-03-31,pm,sz.002582,seat_exit,2016-03-31,risk
2016-04-12,am,sz.002031,protection,2016-04-12,risk
2016-04-21,pm,sz.002031,stop,2016-04-21,risk
2016-04-29,pm,sz.000913,seat_exit,2016-04-29,risk
2016-04-29,pm,sz.002031,seat_exit,2016-04-29,risk
2016-04-29,pm,sz.002176,seat_exit,2016-04-29,risk
2016-04-29,pm,sz.002329,seat_exit,2016-04-29,risk
2016-05-31,pm,sz.002151,seat_exit,2016-05-31,risk
2016-05-31,pm,sz.002469,seat_exit,2016-05-31,risk
2016-05-31,pm,sz.002510,seat_exit,2016-05-31,risk
2016-05-31,pm,sz.002518,seat_exit,2016-05-31,risk
2016-06-13,am,sz.002211,stop,2016-06-13,risk
2016-06-13,pm,sz.002211,stop,2016-06-13,risk
2016-06-14,am,sz.002405,stop,2016-06-14,risk
2016-06-20,am,sz.002405,stop,2016-06-20,risk
2016-06-22,am,sz.002211,stop,2016-06-22,risk
2016-06-30,pm,sz.002211,seat_exit,2016-06-30,risk
2016-06-30,pm,sz.002405,seat_exit,2016-06-30,risk
2016-06-30,pm,sz.002469,seat_exit,2016-06-30,risk
2016-06-30,pm,sz.002488,seat_exit,2016-06-30,risk
2016-06-30,pm,sz.002749,seat_exit,2016-06-30,risk
2016-07-15,am,sh.600120,take_half,2016-07-15,profit
2016-07-18,am,sh.600120,clear,2016-07-18,profit
2016-07-18,am,sz.002312,stop,2016-07-18,risk
2016-07-18,pm,sz.002312,stop,2016-07-18,risk
2016-07-19,am,sz.002312,stop,2016-07-18,risk
2016-07-29,pm,sh.600120,seat_exit,2016-07-29,risk
2016-07-29,pm,sz.000703,seat_exit,2016-07-29,risk
2016-07-29,pm,sz.002312,seat_exit,2016-07-29,risk
2016-07-29,pm,sz.002400,seat_exit,2016-07-29,risk
2016-07-29,pm,sz.002469,seat_exit,2016-07-29,risk
2016-08-10,am,sh.600751,stop,2016-08-10,risk
2016-08-31,pm,sh.600556,seat_exit,2016-08-31,risk
2016-08-31,pm,sh.600751,seat_exit,2016-08-31,risk
2016-08-31,pm,sh.600807,seat_exit,2016-08-31,risk
2016-08-31,pm,sz.002514,seat_exit,2016-08-31,risk
2016-09-30,pm,sz.002076,seat_exit,2016-09-30,risk
2016-09-30,pm,sz.002112,seat_exit,2016-09-30,risk
2016-09-30,pm,sz.002291,seat_exit,2016-09-30,risk
2016-09-30,pm,sz.002488,seat_exit,2016-09-30,risk
2016-10-31,pm,sh.600173,seat_exit,2016-10-31,risk
2016-10-31,pm,sz.000912,seat_exit,2016-10-31,risk
2016-10-31,pm,sz.002266,seat_exit,2016-10-31,risk
2016-10-31,pm,sz.002472,seat_exit,2016-10-31,risk
2016-11-03,am,sz.000912,take_half,2016-11-03,profit
2016-11-03,pm,sz.000912,take_half,2016-11-03,profit
2016-11-04,pm,sz.000912,clear,2016-11-04,profit
2016-11-07,am,sz.000912,clear,2016-11-04,risk
2016-11-14,am,sz.002679,take_half,2016-11-14,profit
2016-11-18,pm,sz.002679,clear,2016-11-18,profit
2016-11-21,am,sz.002679,clear,2016-11-18,risk
2016-11-24,am,sh.601789,protection,2016-11-24,risk
2016-11-24,pm,sh.601789,protection,2016-11-24,risk
2016-11-28,am,sz.002621,take_half,2016-11-28,profit
2016-11-28,pm,sz.002621,take_half,2016-11-28,profit
2016-11-29,pm,sz.002621,clear,2016-11-29,profit
2016-11-30,pm,sh.601789,seat_exit,2016-11-30,risk
2016-11-30,pm,sz.002405,seat_exit,2016-11-30,risk
2016-11-30,pm,sz.002679,seat_exit,2016-11-30,risk
2016-12-30,pm,sh.600614,seat_exit,2016-12-30,risk
2016-12-30,pm,sh.600691,seat_exit,2016-12-30,risk
2016-12-30,pm,sz.002389,seat_exit,2016-12-30,risk
2016-12-30,pm,sz.002785,seat_exit,2016-12-30,risk
2017-01-25,am,sh.600215,stop,2017-01-25,risk
2017-01-26,pm,sh.600215,seat_exit,2017-01-26,risk
2017-01-26,pm,sz.000538,seat_exit,2017-01-26,risk
2017-01-26,pm,sz.002480,seat_exit,2017-01-26,risk
2017-01-26,pm,sz.002596,seat_exit,2017-01-26,risk
2017-02-28,pm,sh.600773,seat_exit,2017-02-28,risk
2017-02-28,pm,sh.603227,seat_exit,2017-02-28,risk
2017-02-28,pm,sz.002224,seat_exit,2017-02-28,risk
2017-02-28,pm,sz.002694,seat_exit,2017-02-28,risk
2017-03-01,am,sz.002694,stop,2017-03-01,risk
2017-03-31,pm,sh.600500,seat_exit,2017-03-31,risk
2017-03-31,pm,sz.002440,seat_exit,2017-03-31,risk
2017-03-31,pm,sz.002481,seat_exit,2017-03-31,risk
2017-03-31,pm,sz.002619,seat_exit,2017-03-31,risk
2017-04-17,am,sz.002695,stop,2017-04-17,risk
2017-04-19,am,sh.600745,protection,2017-04-19,risk
2017-04-20,am,sz.000906,stop,2017-04-20,risk
2017-04-20,am,sz.002801,stop,2017-04-20,risk
2017-04-20,pm,sz.002801,stop,2017-04-20,risk
2017-04-20,pm,sh.600745,account_trim,2017-03-31,risk
2017-04-20,pm,sz.002695,account_trim,2017-03-31,risk
2017-04-28,pm,sh.600745,seat_exit,2017-04-28,risk
2017-04-28,pm,sz.000906,seat_exit,2017-04-28,risk
2017-04-28,pm,sz.002695,seat_exit,2017-04-28,risk
2017-05-10,am,sz.002801,account_trim,2017-04-28,risk
2017-05-22,pm,sh.600678,stop,2017-05-22,risk
2017-05-23,pm,sh.600768,stop,2017-05-23,risk
2017-05-26,am,sz.002582,stop,2017-05-26,risk
2017-05-26,pm,sz.002582,stop,2017-05-26,risk
2017-05-31,pm,sh.600678,seat_exit,2017-05-31,risk
2017-05-31,pm,sh.600768,seat_exit,2017-05-31,risk
2017-05-31,pm,sz.002582,seat_exit,2017-05-31,risk
2017-05-31,pm,sz.002801,seat_exit,2017-05-31,risk
2017-06-16,am,sz.000723,stop,2017-06-16,risk
2017-06-30,pm,sh.601258,seat_exit,2017-06-30,risk
2017-06-30,pm,sh.601318,seat_exit,2017-06-30,risk
2017-06-30,pm,sz.000723,seat_exit,2017-06-30,risk
2017-06-30,pm,sz.002169,seat_exit,2017-06-30,risk
2017-07-17,am,sh.600787,account_trim,2017-06-30,risk
2017-07-17,pm,sz.002717,stop,2017-07-17,risk
2017-07-31,pm,sh.600582,seat_exit,2017-07-31,risk
2017-07-31,pm,sh.600787,seat_exit,2017-07-31,risk
2017-07-31,pm,sz.000768,seat_exit,2017-07-31,risk
2017-07-31,pm,sz.002717,seat_exit,2017-07-31,risk
2017-08-31,pm,sh.600387,seat_exit,2017-08-31,risk
2017-08-31,pm,sh.601919,seat_exit,2017-08-31,risk
2017-08-31,pm,sz.000887,seat_exit,2017-08-31,risk
2017-08-31,pm,sz.002761,seat_exit,2017-08-31,risk
2017-09-26,am,sh.603010,protection,2017-09-26,risk
2017-09-29,pm,sh.603010,seat_exit,2017-09-29,risk
2017-09-29,pm,sz.000544,seat_exit,2017-09-29,risk
2017-09-29,pm,sz.002025,seat_exit,2017-09-29,risk
2017-09-29,pm,sz.002152,seat_exit,2017-09-29,risk
2017-10-16,pm,sz.002662,stop,2017-10-16,risk
2017-10-31,pm,sh.600226,seat_exit,2017-10-31,risk
2017-10-31,pm,sh.600681,seat_exit,2017-10-31,risk
2017-10-31,pm,sz.002622,seat_exit,2017-10-31,risk
2017-10-31,pm,sz.002662,seat_exit,2017-10-31,risk
2017-11-13,pm,sh.600782,account_trim,2017-10-31,risk
2017-11-14,pm,sh.600276,protection,2017-11-14,risk
2017-11-17,pm,sz.002335,stop,2017-11-17,risk
2017-11-29,am,sh.600782,take_half,2017-11-29,profit
2017-11-29,am,sz.000651,protection,2017-11-29,risk
2017-11-30,pm,sh.600276,seat_exit,2017-11-30,risk
2017-11-30,pm,sh.600782,seat_exit,2017-11-30,risk
2017-11-30,pm,sz.000651,seat_exit,2017-11-30,risk
2017-11-30,pm,sz.002335,seat_exit,2017-11-30,risk
2017-12-12,am,sz.002129,take_half,2017-12-12,profit
2017-12-13,pm,sz.002264,account_trim,2017-11-30,risk
2017-12-14,am,sz.002129,clear,2017-12-14,profit
2017-12-22,am,sz.002129,stop,2017-12-22,risk
2017-12-29,am,sz.002264,protection,2017-12-29,risk
2017-12-29,pm,sh.600155,seat_exit,2017-12-29,risk
2017-12-29,pm,sh.600592,seat_exit,2017-12-29,risk
2017-12-29,pm,sz.002129,seat_exit,2017-12-29,risk
2018-01-31,am,sh.600868,account_trim,2017-12-29,risk
2018-01-31,pm,sh.600651,seat_exit,2018-01-31,risk
2018-01-31,pm,sh.600868,seat_exit,2018-01-31,risk
2018-01-31,pm,sz.000065,seat_exit,2018-01-31,risk
2018-01-31,pm,sz.002845,seat_exit,2018-01-31,risk
2018-01-31,pm,sz.002845,stop,2018-01-31,risk
2018-02-02,am,sh.600119,stop,2018-02-02,risk
2018-02-06,am,sh.600698,stop,2018-02-06,risk
2018-02-06,pm,sh.600698,stop,2018-02-06,risk
2018-02-06,pm,sh.601992,stop,2018-02-06,risk
2018-02-09,am,sz.000717,stop,2018-02-09,risk
2018-02-09,pm,sh.600119,stop,2018-02-09,risk
2018-02-23,am,sh.600698,account_trim,2018-01-31,risk
2018-02-23,pm,sh.600698,account_trim,2018-01-31,risk
2018-02-28,pm,sh.600119,seat_exit,2018-02-28,risk
2018-02-28,pm,sh.600698,seat_exit,2018-02-28,risk
2018-02-28,pm,sh.601992,seat_exit,2018-02-28,risk
2018-02-28,pm,sz.000717,seat_exit,2018-02-28,risk
2018-03-19,am,sz.002570,account_trim,2018-02-28,risk
2018-03-19,pm,sz.002570,account_trim,2018-02-28,risk
2018-03-26,am,sz.002570,protection,2018-03-26,risk
2018-03-30,pm,sh.600729,seat_exit,2018-03-30,risk
2018-03-30,pm,sz.000651,seat_exit,2018-03-30,risk
2018-03-30,pm,sz.002547,seat_exit,2018-03-30,risk
2018-03-30,pm,sz.002570,seat_exit,2018-03-30,risk
2018-04-27,pm,sh.600315,seat_exit,2018-04-27,risk
2018-04-27,pm,sh.603557,seat_exit,2018-04-27,risk
2018-04-27,pm,sz.000001,seat_exit,2018-04-27,risk
2018-04-27,pm,sz.002663,seat_exit,2018-04-27,risk
2018-05-08,am,sh.600600,account_trim,2018-04-27,risk
2018-05-16,am,sh.600600,take_half,2018-05-16,profit
2018-05-31,pm,sh.600031,seat_exit,2018-05-31,risk
2018-05-31,pm,sh.600600,seat_exit,2018-05-31,risk
2018-05-31,pm,sh.600900,seat_exit,2018-05-31,risk
2018-05-31,pm,sz.002422,seat_exit,2018-05-31,risk
2018-06-19,am,sz.000533,stop,2018-06-19,risk
2018-06-19,am,sz.002507,stop,2018-06-19,risk
2018-06-29,pm,sh.603718,seat_exit,2018-06-29,risk
2018-06-29,pm,sz.000533,seat_exit,2018-06-29,risk
2018-06-29,pm,sz.002460,seat_exit,2018-06-29,risk
2018-06-29,pm,sz.002507,seat_exit,2018-06-29,risk
2018-07-12,pm,sz.000636,account_trim,2018-06-29,risk
2018-07-13,pm,sz.000636,take_half,2018-07-13,profit
2018-07-16,pm,sz.000636,clear,2018-07-16,profit
2018-07-30,am,sz.002399,stop,2018-07-30,risk
2018-07-31,am,sz.000636,stop,2018-07-31,risk
2018-07-31,pm,sh.603848,seat_exit,2018-07-31,risk
2018-07-31,pm,sz.002268,seat_exit,2018-07-31,risk
2018-07-31,pm,sz.002399,seat_exit,2018-07-31,risk
2018-08-13,am,sz.002672,stop,2018-08-13,risk
2018-08-16,am,sz.002458,stop,2018-08-16,risk
2018-08-22,am,sz.002672,stop,2018-08-22,risk
2018-08-31,pm,sh.601186,seat_exit,2018-08-31,risk
2018-08-31,pm,sz.000046,seat_exit,2018-08-31,risk
2018-08-31,pm,sz.002458,seat_exit,2018-08-31,risk
2018-08-31,pm,sz.002672,seat_exit,2018-08-31,risk
2018-09-10,pm,sh.601788,stop,2018-09-10,risk
2018-09-28,pm,sh.600298,seat_exit,2018-09-28,risk
2018-09-28,pm,sh.601788,seat_exit,2018-09-28,risk
2018-10-11,am,sz.000001,protection,2018-10-11,risk
2018-10-11,pm,sz.002478,stop,2018-10-11,risk
2018-10-16,am,sz.002152,stop,2018-10-16,risk
2018-10-31,pm,sh.601898,seat_exit,2018-10-31,risk
2018-10-31,pm,sz.000001,seat_exit,2018-10-31,risk
2018-10-31,pm,sz.002152,seat_exit,2018-10-31,risk
2018-10-31,pm,sz.002478,seat_exit,2018-10-31,risk
2018-11-30,pm,sh.600036,seat_exit,2018-11-30,risk
2018-11-30,pm,sh.600340,seat_exit,2018-11-30,risk
2018-11-30,pm,sh.600668,seat_exit,2018-11-30,risk
2018-11-30,pm,sz.000584,seat_exit,2018-11-30,risk
2018-12-06,am,sh.603366,stop,2018-12-06,risk
2018-12-13,am,sh.603366,account_trim,2018-11-30,risk
2018-12-28,pm,sh.601113,seat_exit,2018-12-28,risk
2018-12-28,pm,sh.603366,seat_exit,2018-12-28,risk
2018-12-28,pm,sz.000659,seat_exit,2018-12-28,risk
2018-12-28,pm,sz.002679,seat_exit,2018-12-28,risk
2019-01-17,am,sh.601881,account_trim,2018-12-28,risk
2019-01-31,pm,sh.600525,seat_exit,2019-01-31,risk
2019-01-31,pm,sh.600702,seat_exit,2019-01-31,risk
2019-01-31,pm,sh.601881,seat_exit,2019-01-31,risk
2019-01-31,pm,sz.002358,seat_exit,2019-01-31,risk
2019-02-28,pm,sh.601166,seat_exit,2019-02-28,risk
2019-02-28,pm,sh.601318,seat_exit,2019-02-28,risk
2019-02-28,pm,sh.601398,seat_exit,2019-02-28,risk
2019-02-28,pm,sh.601939,seat_exit,2019-02-28,risk
2019-03-07,am,sh.600531,account_trim,2019-02-28,risk
2019-03-20,am,sh.600531,protection,2019-03-20,risk
2019-03-22,am,sz.002192,account_trim,2019-02-28,risk
2019-03-29,pm,sh.600256,seat_exit,2019-03-29,risk
2019-03-29,pm,sh.600531,seat_exit,2019-03-29,risk
2019-03-29,pm,sh.603986,seat_exit,2019-03-29,risk
2019-03-29,pm,sz.002192,seat_exit,2019-03-29,risk
2019-04-08,am,sz.000159,account_trim,2019-03-29,risk
2019-04-08,pm,sz.000159,account_trim,2019-03-29,risk
2019-04-09,am,sz.002458,stop,2019-04-09,risk
2019-04-10,am,sz.000159,account_trim,2019-03-29,risk
2019-04-12,am,sz.002458,account_trim,2019-03-29,risk
2019-04-12,pm,sz.002458,account_trim,2019-03-29,risk
2019-04-22,am,sz.000159,take_half,2019-04-22,profit
2019-04-23,am,sz.002824,stop,2019-04-23,risk
2019-04-25,am,sz.002458,account_trim,2019-03-29,risk
2019-04-30,pm,sh.600721,seat_exit,2019-04-30,risk
2019-04-30,pm,sz.000159,seat_exit,2019-04-30,risk
2019-04-30,pm,sz.002458,seat_exit,2019-04-30,risk
2019-04-30,pm,sz.002824,seat_exit,2019-04-30,risk
2019-05-06,am,sz.000159,protection,2019-05-06,risk
2019-05-06,pm,sz.000159,protection,2019-05-06,risk
2019-05-13,pm,sh.600146,account_trim,2019-04-30,risk
2019-05-23,pm,sh.603383,stop,2019-05-23,risk
2019-05-31,pm,sh.600146,seat_exit,2019-05-31,risk
2019-05-31,pm,sh.603383,seat_exit,2019-05-31,risk
2019-05-31,pm,sz.002466,seat_exit,2019-05-31,risk
2019-05-31,pm,sz.002565,seat_exit,2019-05-31,risk
2019-06-03,am,sz.002565,stop,2019-06-03,risk
2019-06-19,am,sh.600422,account_trim,2019-05-31,risk
2019-06-19,pm,sh.600422,account_trim,2019-05-31,risk
2019-06-21,am,sh.600179,stop,2019-06-21,risk
2019-06-21,pm,sh.600179,stop,2019-06-21,risk
2019-06-24,am,sh.600179,stop,2019-06-21,risk
2019-06-24,am,sh.600422,take_half,2019-06-24,profit
2019-06-24,pm,sh.600179,stop,2019-06-21,risk
2019-06-25,am,sh.600179,stop,2019-06-21,risk
2019-06-25,pm,sh.600179,stop,2019-06-21,risk
2019-06-26,am,sh.600179,stop,2019-06-21,risk
2019-06-26,pm,sh.600179,stop,2019-06-21,risk
2019-06-27,am,sh.600179,stop,2019-06-21,risk
