day,sess,symbol,reason,source,intent
2019-02-25,am,sh.600695,take_half,2019-02-25,profit
2019-03-05,pm,sh.600588,take_half,2019-03-05,profit
2019-03-07,am,sh.600588,clear,2019-03-07,profit
2019-03-07,pm,sh.600130,take_half,2019-03-07,profit
2019-03-12,pm,sh.600130,clear,2019-03-12,profit
2019-03-13,am,sh.600130,clear,2019-03-12,risk
2019-03-13,pm,sh.600130,clear,2019-03-12,risk
2019-03-14,am,sh.600130,clear,2019-03-12,risk
2019-03-15,am,sh.600695,time_exit,2019-03-15,profit
2019-03-15,am,sh.600759,time_exit,2019-03-15,profit
2019-03-15,pm,sh.600695,time_exit,2019-03-15,profit
2019-04-08,am,sz.002648,take_half,2019-04-08,profit
2019-04-08,pm,sz.002648,take_half,2019-04-08,profit
2019-04-17,am,sz.002648,clear,2019-04-17,profit
2019-04-17,pm,sz.002648,clear,2019-04-17,risk
2019-04-22,am,sz.000999,time_exit,2019-04-22,profit
2019-04-25,am,sz.002195,time_exit,2019-04-25,profit
2019-04-25,pm,sh.600278,stop,2019-04-25,risk
2019-04-29,am,sz.000821,stop,2019-04-29,risk
2019-04-30,am,sz.002170,stop,2019-04-30,risk
2019-05-06,am,sz.000531,stop,2019-05-06,risk
2019-05-08,pm,sz.002278,account_trim,2019-04-30,risk
2019-05-08,pm,sz.002695,account_trim,2019-04-30,risk
2019-05-08,pm,sz.002746,account_trim,2019-04-30,risk
2019-05-09,am,sz.002695,stop,2019-05-09,risk
2019-05-15,am,sh.600626,account_trim,2019-04-30,risk
2019-05-17,am,sz.002746,account_trim,2019-04-30,risk
2019-05-17,pm,sz.002278,stop,2019-05-17,risk
2019-05-23,am,sz.002512,account_trim,2019-04-30,risk
2019-05-23,pm,sh.600626,protection,2019-05-23,risk
2019-05-28,am,sz.002746,stop,2019-05-28,risk
2019-05-28,pm,sz.002746,stop,2019-05-28,risk
2019-06-11,am,sz.002512,time_exit,2019-06-11,profit
2019-07-01,am,sz.002675,time_exit,2019-07-01,profit
2019-07-25,am,sz.002463,account_trim,2019-06-28,risk
2019-07-25,pm,sz.002463,account_trim,2019-06-28,risk
2019-08-02,am,sz.002274,stop,2019-08-02,risk
2019-08-02,am,sz.002522,stop,2019-08-02,risk
2019-08-02,am,sz.002463,time_exit,2019-08-02,profit
2019-08-12,am,sz.002353,time_exit,2019-08-12,profit
2019-09-02,am,sz.002182,time_exit,2019-09-02,profit
2019-09-02,am,sh.601615,account_trim,2019-08-30,risk
2019-09-03,am,sh.601615,take_half,2019-09-03,profit
2019-09-09,pm,sh.601615,clear,2019-09-09,profit
2019-09-11,am,sh.600383,time_exit,2019-09-11,profit
2019-09-27,am,sz.002625,time_exit,2019-09-27,profit
2019-10-09,am,sz.002832,stop,2019-10-09,risk
2019-10-10,am,sh.600798,time_exit,2019-10-10,profit
2019-11-11,am,sz.000739,time_exit,2019-11-11,profit
2019-11-11,pm,sz.000739,time_exit,2019-11-11,profit
2019-11-13,am,sz.000009,time_exit,2019-11-13,profit
2019-11-14,am,sh.600063,time_exit,2019-11-14,profit
2019-11-14,am,sz.000400,time_exit,2019-11-14,profit
2019-11-14,pm,sh.600063,time_exit,2019-11-14,profit
