date,equity
2015-01-05,500000.0
2015-01-06,500000.0
2015-01-07,500000.0
2015-01-08,500000.0
2015-01-09,500000.0
2015-01-12,500000.0
2015-01-13,500000.0
2015-01-14,500000.0
2015-01-15,500000.0
2015-01-16,500000.0
2015-01-19,500000.0
2015-01-20,500000.0
2015-01-21,500000.0
2015-01-22,500000.0
2015-01-23,500000.0
2015-01-26,500000.0
2015-01-27,500000.0
2015-01-28,500000.0
2015-01-29,500000.0
2015-01-30,500000.0
2015-02-02,494783.5696503546
2015-02-03,503353.12594847154
2015-02-04,501327.63525464886
2015-02-05,498064.46198024607
2015-02-06,487421.4545563477
2015-02-09,484678.8641868161
2015-02-10,491221.8384297737
2015-02-11,496941.6308718302
2015-02-12,501001.33899657894
2015-02-13,508924.8440640012
2015-02-16,518073.616105735
2015-02-17,522064.82753325003
2015-02-25,521490.9195109754
2015-02-26,527813.1517855976
2015-02-27,532632.9739212007
2015-03-02,536022.7704837144
2015-03-03,532629.4761835103
2015-03-04,541462.0817508092
2015-03-05,542988.2229250106
2015-03-06,537454.5815310996
2015-03-09,544637.4545256752
2015-03-10,550018.9594589135
2015-03-11,549823.3814081964
2015-03-12,549032.3616157934
2015-03-13,555707.083250066
2015-03-16,572425.7127357508
2015-03-17,580863.7982860819
2015-03-18,592051.1749350475
2015-03-19,596164.4761784053
2015-03-20,601681.7997567976
2015-03-23,616787.6280609276
2015-03-24,620447.1344712393
2015-03-25,625998.4409433434
2015-03-26,620871.6920468231
2015-03-27,627401.5714592531
2015-03-30,635394.988656139
2015-03-31,634451.0769874252
2015-04-01,639925.0055770917
2015-04-02,652756.1212890074
2015-04-03,664687.9285279071
2015-04-07,678751.4555403886
2015-04-08,672594.4001900295
2015-04-09,664738.4550511667
2015-04-10,681939.8629487202
2015-04-13,697751.7414123055
2015-04-14,700087.6202790904
2015-04-15,676499.2703907877
2015-04-16,684880.6135693955
2015-04-17,690681.0606463242
2015-04-20,676635.141579456
2015-04-21,697832.5438255167
2015-04-22,716775.3238650567
2015-04-23,723812.4908064663
2015-04-24,723352.8157999694
2015-04-27,730350.6738900421
2015-04-28,708524.1547233614
2015-04-29,721951.4747185243
2015-04-30,722419.8185752365
2015-05-04,721659.694705214
2015-05-05,697061.1936674379
2015-05-06,685588.0920910442
2015-05-07,669945.411516984
2015-05-08,694745.6669098922
2015-05-11,723319.7773129717
2015-05-12,737318.7917535002
2015-05-13,745302.756040108
2015-05-14,750290.6592341411
2015-05-15,743498.192761501
2015-05-18,755175.466738528
2015-05-19,775071.9983235791
2015-05-20,787785.0655653788
2015-05-21,814185.5388183614
2015-05-22,828862.5592152678
2015-05-25,852732.5347926036
2015-05-26,880429.1191641731
2015-05-27,892146.3608890094
2015-05-28,838582.8705272936
2015-05-29,846424.1440886471
2015-06-01,885252.6218148809
2015-06-02,920381.6654558539
2015-06-03,924789.4573759406
2015-06-04,925050.1990485442
2015-06-05,943178.0751979861
2015-06-08,938054.8414133735
2015-06-09,937120.8451513115
2015-06-10,951555.2445390278
2015-06-11,969291.2446583731
2015-06-12,985771.1850642094
2015-06-15,974824.373850917
2015-06-16,937247.5387767898
2015-06-17,953022.7152458357
2015-06-18,927729.0766100961
2015-06-19,864298.6819756124
2015-06-23,865660.1863289452
2015-06-24,888285.6581872719
2015-06-25,857478.8049558331
2015-06-26,789839.4693021693
2015-06-29,741657.4033012617
2015-06-30,772581.0419562986
2015-07-01,721178.157115175
2015-07-02,671126.8667971169
2015-07-03,625692.0233575242
2015-07-06,602611.9374738684
2015-07-07,565422.1315486693
2015-07-08,542079.5707385243
2015-07-09,566780.0992906927
2015-07-10,594232.4581521823
2015-07-13,628384.5792051213
2015-07-14,641317.4258195615
2015-07-15,608384.876579784
2015-07-16,618296.2020234842
2015-07-17,651508.6345094224
2015-07-20,665489.9607788672
2015-07-21,677396.7773298402
2015-07-22,686129.4844442254
2015-07-23,707243.5982918453
2015-07-24,698097.1873004904
2015-07-27,648080.2172620572
2015-07-28,630181.6829026614
2015-07-29,660838.1351522484
2015-07-30,646748.1062034442
2015-07-31,638247.0640146467
2015-08-03,613075.714711791
2015-08-04,647407.0411294291
2015-08-05,642268.0466975049
2015-08-06,640563.7241741188
2015-08-07,660180.7470698899
2015-08-10,692192.3194715016
2015-08-11,698011.5208427538
2015-08-12,691523.8435127026
2015-08-13,710203.4360638988
2015-08-14,717685.8450036892
2015-08-17,734938.994359827
2015-08-18,682283.3907697176
2015-08-19,698537.9985954857
2015-08-20,675312.2309228547
2015-08-21,640634.8505433673
2015-08-24,592004.7636371916
2015-08-25,549803.8247583995
2015-08-26,531019.0922944349
2015-08-27,550327.0458552032
2015-08-28,581391.7078168851
2015-08-31,565537.3642748756
2015-09-01,531568.6183632086
2015-09-02,517606.462326484
2015-09-07,521377.9673781695
2015-09-08,542955.2040062667
2015-09-09,561079.701597271
2015-09-10,551761.9719323538
2015-09-11,557307.5543450608
2015-09-14,522859.3264215835
2015-09-15,496670.98215875094
2015-09-16,528879.6860568264
2015-09-17,519529.22638806526
2015-09-18,525906.1174288703
2015-09-21,542349.3707328769
2015-09-22,546310.4456061011
2015-09-23,538892.5507424941
2015-09-24,546374.5228591099
2015-09-25,530561.718950015
2015-09-28,538274.4103505576
2015-09-29,528946.9990857682
2015-09-30,530741.8001549465
2015-10-08,542709.8254897759
2015-10-09,550824.4593629849
2015-10-12,572623.1318533019
2015-10-13,579063.2782471499
2015-10-14,571989.6939069802
2015-10-15,588800.1109899915
2015-10-16,598503.4466684789
2015-10-19,599067.165369883
2015-10-20,607843.1794963444
