day,sess,symbol,reason,source,intent
2015-03-23,am,sh.600177,take_half,2015-03-23,profit
2015-03-24,am,sz.000748,trail,2015-03-24,risk
2015-03-25,pm,sz.000548,trail,2015-03-25,risk
2015-03-26,am,sz.000548,trail,2015-03-25,risk
2015-04-01,pm,sz.000024,trail,2015-04-01,risk
2015-04-03,am,sh.600177,trail,2015-04-03,risk
2015-04-09,pm,sh.601688,trail,2015-04-09,risk
2015-04-10,am,sh.601688,trail,2015-04-09,risk
2015-05-05,pm,sh.600536,stop,2015-05-05,risk
2015-11-27,pm,sz.002095,trail,2015-11-27,risk
2015-11-27,pm,sz.002621,stop,2015-11-27,risk
2015-12-09,pm,sh.603088,stop,2015-12-09,risk
2015-12-10,am,sh.603088,stop,2015-12-09,risk
2016-01-07,am,sh.603288,stop,2016-01-07,risk
2016-01-07,pm,sh.603288,stop,2016-01-07,risk
2016-05-18,am,sz.000036,stop,2016-05-18,risk
2016-05-26,am,sh.601199,stop,2016-05-26,risk
2016-06-02,am,sz.002508,stop,2016-06-02,risk
2016-06-02,pm,sz.002508,stop,2016-06-02,risk
2016-06-15,am,sz.000961,stop,2016-06-15,risk
2016-07-27,pm,sh.601689,stop,2016-07-27,risk
2016-07-28,am,sh.601689,stop,2016-07-27,risk
2016-08-01,pm,sz.000887,account_trim,2016-07-29,risk
2016-08-01,pm,sz.002032,account_trim,2016-07-29,risk
2016-08-01,pm,sz.002596,account_trim,2016-07-29,risk
2016-09-02,pm,sz.000887,stop,2016-09-02,risk
2016-09-12,am,sz.002596,stop,2016-09-12,risk
2016-10-11,am,sz.002411,account_trim,2016-09-30,risk
2016-10-12,pm,sz.002411,trail,2016-10-12,risk
2016-11-04,am,sz.002032,stop,2016-11-04,risk
2016-11-15,pm,sz.002647,account_trim,2016-10-31,risk
2016-11-17,am,sz.002647,trail,2016-11-17,risk
2016-11-24,pm,sz.002491,stop,2016-11-24,risk
2016-11-30,pm,sh.603017,stop,2016-11-30,risk
2016-12-01,am,sh.603017,stop,2016-11-30,risk
2016-12-06,am,sh.600228,account_trim,2016-11-30,risk
2016-12-07,pm,sh.600228,take_half,2016-12-07,profit
2016-12-08,pm,sh.600228,trail,2016-12-08,risk
2016-12-12,pm,sz.002057,stop,2016-12-12,risk
2016-12-26,am,sh.600383,stop,2016-12-26,risk
2016-12-30,pm,sh.600475,stop,2016-12-30,risk
2017-03-15,am,sh.600260,trail,2017-03-15,risk
2017-03-30,am,sz.000725,trail,2017-03-30,risk
2017-04-27,am,sh.600764,stop,2017-04-27,risk
2017-08-11,am,sz.002411,stop,2017-08-11,risk
2017-08-11,pm,sz.002411,stop,2017-08-11,risk
2017-08-23,pm,sh.600303,stop,2017-08-23,risk
2017-09-29,am,sz.000657,stop,2017-09-29,risk
2017-10-18,pm,sz.002057,stop,2017-10-18,risk
2017-10-19,pm,sz.002408,stop,2017-10-19,risk
2017-12-06,pm,sh.600315,stop,2017-12-06,risk
2018-01-17,pm,sh.600179,stop,2018-01-17,risk
2018-01-31,pm,sz.002596,stop,2018-01-31,risk
2018-05-22,am,sz.000673,stop,2018-05-22,risk
2018-08-03,pm,sz.000810,stop,2018-08-03,risk
2018-08-06,am,sz.000810,stop,2018-08-03,risk
2018-10-15,am,sz.002030,stop,2018-10-15,risk
2019-01-30,am,sh.600766,stop,2019-01-30,risk
2019-07-22,am,sz.002726,stop,2019-07-22,risk
2019-07-22,pm,sz.002726,stop,2019-07-22,risk
2019-07-23,am,sz.002726,stop,2019-07-22,risk
2019-07-25,am,sh.600546,account_trim,2019-06-28,risk
2019-07-25,pm,sh.600546,account_trim,2019-06-28,risk
2019-07-31,pm,sh.600546,trail,2019-07-31,risk
2019-08-06,am,sh.601009,stop,2019-08-06,risk
2019-08-30,pm,sh.603803,stop,2019-08-30,risk
2019-09-03,am,sz.000066,account_trim,2019-08-30,risk
2019-09-06,pm,sz.000066,trail,2019-09-06,risk
2019-09-23,pm,sz.002436,account_trim,2019-08-30,risk
2019-09-25,pm,sz.002436,trail,2019-09-25,risk
2019-12-20,pm,sz.002465,trail,2019-12-20,risk
2020-01-03,pm,sh.601066,trail,2020-01-03,risk
2020-01-20,am,sz.002791,trail,2020-01-20,risk
2020-07-09,am,sz.002432,account_trim,2020-06-30,risk
2020-07-10,pm,sh.600350,stop,2020-07-10,risk
2020-07-13,pm,sz.002185,take_half,2020-07-13,profit
2020-07-14,am,sz.002432,trail,2020-07-14,risk
2020-07-14,pm,sz.002432,trail,2020-07-14,risk
2020-07-15,pm,sz.002185,trail,2020-07-15,risk
2020-07-16,am,sh.600216,trail,2020-07-16,risk
2020-07-16,am,sz.002185,trail,2020-07-15,risk
2020-08-26,pm,sz.000903,stop,2020-08-26,risk
2020-08-27,am,sz.000903,stop,2020-08-26,risk
2020-09-08,am,sh.601038,stop,2020-09-08,risk
2020-10-23,am,sh.603338,stop,2020-10-23,risk
2020-11-10,am,sz.002438,stop,2020-11-10,risk
2020-11-10,pm,sz.000333,trail,2020-11-10,risk
2020-11-13,am,sz.002241,stop,2020-11-13,risk
2020-12-09,am,sh.600363,stop,2020-12-09,risk
2020-12-09,pm,sh.600363,stop,2020-12-09,risk
2020-12-10,am,sh.600363,stop,2020-12-09,risk
2020-12-29,am,sh.603665,stop,2020-12-29,risk
2020-12-29,pm,sh.603665,stop,2020-12-29,risk
2020-12-30,am,sh.603665,stop,2020-12-29,risk
2020-12-30,pm,sh.603665,stop,2020-12-29,risk
2020-12-31,am,sh.603665,stop,2020-12-29,risk
2020-12-31,pm,sh.603665,stop,2020-12-29,risk
