day,sess,symbol,reason,source,intent
2018-10-16,pm,sh.603636,stop,2018-10-16,risk
2018-11-19,am,sh.600448,time_exit,2018-11-19,profit
2018-11-21,am,sz.002475,time_exit,2018-11-21,profit
2018-11-22,am,sz.000650,time_exit,2018-11-22,profit
2018-11-22,am,sz.000789,time_exit,2018-11-22,profit
2018-12-25,am,sz.000818,stop,2018-12-25,risk
2019-02-18,am,sz.002299,take_half,2019-02-18,profit
2019-02-20,am,sz.002299,clear,2019-02-20,profit
2019-02-22,am,sh.600355,time_exit,2019-02-22,profit
2019-02-25,am,sz.002916,take_half,2019-02-25,profit
2019-02-25,pm,sz.002916,take_half,2019-02-25,profit
2019-02-26,am,sh.600318,take_half,2019-02-26,profit
2019-02-26,am,sz.002916,take_half,2019-02-25,profit
2019-02-27,am,sz.002916,time_exit,2019-02-27,profit
2019-02-28,am,sz.002024,time_exit,2019-02-28,profit
2019-03-18,am,sz.002458,protection,2019-03-18,risk
2019-03-21,am,sh.600318,time_exit,2019-03-21,profit
2019-03-22,am,sz.002234,stop,2019-03-22,risk
2019-04-18,am,sz.002181,time_exit,2019-04-18,profit
2019-04-24,am,sz.002514,stop,2019-04-24,risk
2019-04-29,am,sz.000999,time_exit,2019-04-29,profit
2019-05-06,am,sz.000739,stop,2019-05-06,risk
2019-05-06,pm,sh.600096,account_trim,2019-04-30,risk
2019-05-06,pm,sh.600410,account_trim,2019-04-30,risk
2019-05-06,pm,sz.002195,account_trim,2019-04-30,risk
2019-05-07,am,sh.600096,stop,2019-05-07,risk
2019-05-07,am,sz.002195,time_exit,2019-05-07,profit
2019-05-08,am,sh.600410,account_trim,2019-04-30,risk
2019-05-15,am,sz.002467,stop,2019-05-15,risk
2019-05-15,am,sh.600410,account_trim,2019-04-30,risk
2019-05-15,pm,sh.600410,account_trim,2019-04-30,risk
2019-05-16,am,sh.600410,clear,2019-05-16,profit
2019-05-20,am,sz.002835,stop,2019-05-20,risk
2019-05-20,pm,sz.002835,stop,2019-05-20,risk
2019-05-22,am,sh.603508,stop,2019-05-22,risk
2019-05-28,am,sz.002746,stop,2019-05-28,risk
2019-05-28,pm,sz.002746,stop,2019-05-28,risk
2019-06-04,am,sh.600626,stop,2019-06-04,risk
2019-07-25,am,sz.002463,account_trim,2019-06-28,risk
2019-08-02,am,sz.002522,stop,2019-08-02,risk
2019-08-06,am,sz.002274,stop,2019-08-06,risk
2019-08-08,pm,sz.002463,take_half,2019-08-08,profit
2019-08-09,am,sz.002463,time_exit,2019-08-09,profit
2019-08-19,am,sz.002353,time_exit,2019-08-19,profit
2019-08-23,pm,sh.603936,account_trim,2019-07-31,risk
2019-08-27,am,sh.603936,take_half,2019-08-27,profit
2019-09-02,am,sh.600267,time_exit,2019-09-02,profit
2019-09-03,am,sh.603936,clear,2019-09-03,profit
2019-09-09,am,sh.600988,time_exit,2019-09-09,profit
2019-09-19,am,sh.600383,time_exit,2019-09-19,profit
2019-10-08,pm,sz.002625,stop,2019-10-08,risk
2019-10-14,am,sz.002915,time_exit,2019-10-14,profit
2019-10-17,am,sz.002318,time_exit,2019-10-17,profit
