day,sess,symbol,reason,source,intent
2018-11-12,am,sh.600448,time_exit,2018-11-12,profit
2018-11-13,am,sz.002475,protection,2018-11-13,risk
2018-11-15,am,sz.000789,time_exit,2018-11-15,profit
2018-11-19,am,sz.000593,time_exit,2018-11-19,profit
2018-12-25,am,sz.000818,stop,2018-12-25,risk
2019-02-13,am,sz.002405,take_half,2019-02-13,profit
2019-02-13,pm,sz.002405,take_half,2019-02-13,profit
2019-02-18,am,sz.002299,clear,2019-02-18,profit
2019-02-18,am,sz.002916,take_half,2019-02-18,profit
2019-02-19,pm,sz.002405,clear,2019-02-19,profit
2019-02-20,am,sz.002405,clear,2019-02-19,risk
2019-02-20,am,sz.002916,time_exit,2019-02-20,profit
2019-02-21,am,sz.002024,time_exit,2019-02-21,profit
2019-03-11,am,sz.002458,take_half,2019-03-11,profit
2019-03-12,am,sz.002458,clear,2019-03-12,profit
2019-03-12,pm,sz.002458,clear,2019-03-12,risk
2019-04-02,am,sz.002930,time_exit,2019-04-02,profit
2019-04-08,am,sz.002648,take_half,2019-04-08,profit
2019-04-08,pm,sz.002648,take_half,2019-04-08,profit
2019-04-17,am,sz.002648,clear,2019-04-17,profit
2019-04-17,pm,sz.002648,clear,2019-04-17,risk
2019-04-22,am,sz.000999,time_exit,2019-04-22,profit
2019-04-25,am,sz.002195,time_exit,2019-04-25,profit
2019-04-25,pm,sh.600278,stop,2019-04-25,risk
2019-04-29,am,sz.000821,stop,2019-04-29,risk
2019-05-06,am,sz.000531,stop,2019-05-06,risk
2019-05-09,am,sz.002695,stop,2019-05-09,risk
2019-05-17,pm,sz.002278,stop,2019-05-17,risk
2019-05-23,pm,sh.600626,protection,2019-05-23,risk
2019-05-28,am,sz.002746,stop,2019-05-28,risk
2019-05-28,pm,sz.002746,stop,2019-05-28,risk
2019-06-05,pm,sz.002591,account_trim,2019-05-31,risk
2019-06-05,pm,sz.002675,account_trim,2019-05-31,risk
2019-06-11,am,sz.002591,time_exit,2019-06-11,profit
2019-07-01,am,sz.002675,time_exit,2019-07-01,profit
2019-07-16,am,sz.002463,account_trim,2019-06-28,risk
2019-08-02,am,sz.002274,stop,2019-08-02,risk
2019-08-02,am,sz.002522,stop,2019-08-02,risk
2019-08-02,am,sz.002463,time_exit,2019-08-02,profit
2019-08-12,am,sz.002353,time_exit,2019-08-12,profit
2019-09-02,am,sz.002182,time_exit,2019-09-02,profit
2019-09-02,am,sh.601615,account_trim,2019-08-30,risk
2019-09-03,am,sh.601615,take_half,2019-09-03,profit
2019-09-09,pm,sh.601615,clear,2019-09-09,profit
2019-09-11,am,sh.600383,time_exit,2019-09-11,profit
2019-09-27,am,sz.002625,time_exit,2019-09-27,profit
2019-10-09,am,sz.002832,stop,2019-10-09,risk
2019-10-10,am,sh.600798,time_exit,2019-10-10,profit
2019-11-11,am,sz.000739,time_exit,2019-11-11,profit
2019-11-11,pm,sz.000739,time_exit,2019-11-11,profit
2019-11-13,am,sz.000009,time_exit,2019-11-13,profit
2019-11-14,am,sh.600063,time_exit,2019-11-14,profit
2019-11-14,am,sz.000400,time_exit,2019-11-14,profit
2019-11-14,pm,sh.600063,time_exit,2019-11-14,profit
2020-01-14,am,sh.600223,account_trim,2019-12-31,risk
2020-01-21,am,sz.002299,stop,2020-01-21,risk
2020-01-21,pm,sz.002299,stop,2020-01-21,risk
2020-01-22,am,sz.002299,stop,2020-01-21,risk
2020-01-23,pm,sz.000672,stop,2020-01-23,risk
2020-02-03,am,sh.600846,stop,2020-02-03,risk
2020-02-03,am,sz.000672,stop,2020-01-23,risk
2020-02-03,pm,sh.600846,stop,2020-02-03,risk
2020-02-03,pm,sz.000739,protection,2020-02-03,risk
2020-02-04,am,sh.600846,stop,2020-02-03,risk
2020-02-11,am,sh.603456,stop,2020-02-11,risk
2020-02-11,pm,sh.603456,stop,2020-02-11,risk
2020-02-12,am,sh.603456,stop,2020-02-11,risk
2020-02-14,am,sh.600171,account_trim,2020-01-23,risk
2020-02-18,am,sh.600223,time_exit,2020-02-18,profit
