day,sess,symbol,reason,source,intent
2015-03-11,am,sh.600874,protection,2015-03-11,risk
2015-04-14,am,sh.600297,take_half,2015-04-14,profit
2015-04-15,am,sz.002089,clear,2015-04-15,profit
2015-04-15,pm,sz.002089,clear,2015-04-15,risk
2015-04-23,pm,sh.600297,clear,2015-04-23,profit
2015-04-27,am,sh.600118,take_half,2015-04-27,profit
2015-04-27,pm,sh.600118,take_half,2015-04-27,profit
2015-04-28,pm,sh.600118,clear,2015-04-28,profit
2015-06-01,pm,sh.600536,take_half,2015-06-01,profit
2015-06-02,am,sh.600536,take_half,2015-06-01,profit
2015-06-17,am,sh.600536,protection,2015-06-17,risk
2015-12-09,am,sh.603088,protection,2015-12-09,risk
2016-01-05,pm,sz.002621,stop,2016-01-05,risk
2016-01-07,am,sh.603288,stop,2016-01-07,risk
2016-01-07,pm,sh.603288,stop,2016-01-07,risk
2016-01-11,pm,sz.000702,protection,2016-01-11,risk
2016-05-09,pm,sh.600219,stop,2016-05-09,risk
2016-05-11,am,sz.002572,take_half,2016-05-11,profit
2016-05-12,am,sh.600365,protection,2016-05-12,risk
2016-06-15,am,sz.000961,stop,2016-06-15,risk
2016-06-29,pm,sz.002572,clear,2016-06-29,profit
2016-06-30,am,sz.002572,clear,2016-06-29,risk
2016-11-04,pm,sz.002032,stop,2016-11-04,risk
2016-11-30,am,sh.603898,stop,2016-11-30,risk
2016-12-05,pm,sz.002685,stop,2016-12-05,risk
2016-12-13,am,sh.601689,stop,2016-12-13,risk
2017-01-17,am,sz.000959,stop,2017-01-17,risk
2017-03-24,pm,sh.600742,protection,2017-03-24,risk
2017-04-05,am,sz.002040,stop,2017-04-05,risk
2017-04-10,am,sz.000725,take_half,2017-04-10,profit
2017-04-17,am,sz.000887,protection,2017-04-17,risk
2017-04-26,am,sz.000725,clear,2017-04-26,profit
2017-04-27,am,sh.600764,stop,2017-04-27,risk
2017-07-11,pm,sz.000816,account_trim,2017-06-30,risk
2017-07-11,pm,sz.002411,account_trim,2017-06-30,risk
2017-07-12,am,sz.000816,account_trim,2017-06-30,risk
2017-07-12,am,sz.002411,account_trim,2017-06-30,risk
2017-08-01,am,sz.000816,stop,2017-08-01,risk
2017-08-11,am,sz.002411,stop,2017-08-11,risk
2017-08-11,pm,sh.600303,protection,2017-08-11,risk
2017-08-11,pm,sz.002411,stop,2017-08-11,risk
2017-09-14,pm,sh.600773,account_trim,2017-08-31,risk
2017-09-19,am,sh.600773,take_half,2017-09-19,profit
2017-10-11,am,sz.000510,stop,2017-10-11,risk
2017-10-16,pm,sh.600773,protection,2017-10-16,risk
2017-10-20,am,sz.002408,stop,2017-10-20,risk
2017-10-30,am,sz.002057,stop,2017-10-30,risk
2017-10-30,pm,sz.002057,stop,2017-10-30,risk
2017-12-06,pm,sh.600315,stop,2017-12-06,risk
2018-01-31,pm,sz.000735,protection,2018-01-31,risk
2018-02-01,am,sh.600179,stop,2018-02-01,risk
2018-02-01,am,sz.002596,stop,2018-02-01,risk
2018-02-01,pm,sh.600179,stop,2018-02-01,risk
2018-02-01,pm,sz.002596,stop,2018-02-01,risk
2018-02-02,am,sz.002596,stop,2018-02-01,risk
2018-02-02,pm,sz.002596,stop,2018-02-01,risk
2018-03-22,am,sh.600179,stop,2018-02-01,risk
2018-03-22,pm,sh.600179,stop,2018-02-01,risk
2018-03-23,am,sh.600179,stop,2018-02-01,risk
2018-03-23,pm,sh.600179,stop,2018-02-01,risk
2018-03-26,am,sh.600179,stop,2018-02-01,risk
2018-03-26,pm,sh.600179,stop,2018-02-01,risk
2018-04-27,am,sz.002656,stop,2018-04-27,risk
2018-04-27,pm,sz.002656,stop,2018-04-27,risk
2018-05-02,am,sz.002656,stop,2018-04-27,risk
2018-05-02,pm,sz.002656,stop,2018-04-27,risk
2018-05-03,am,sz.002656,stop,2018-04-27,risk
2018-05-03,pm,sz.002656,stop,2018-04-27,risk
2018-05-04,am,sz.002656,stop,2018-04-27,risk
2018-05-04,pm,sz.002656,stop,2018-04-27,risk
2018-06-13,am,sz.000576,stop,2018-06-13,risk
2018-08-03,am,sz.000810,stop,2018-08-03,risk
2018-10-15,am,sz.002030,stop,2018-10-15,risk
2018-10-15,pm,sh.600338,stop,2018-10-15,risk
