day,sess,symbol,reason,source,intent
2019-02-11,am,sz.002299,take_half,2019-02-11,profit
2019-02-12,am,sz.002157,take_half,2019-02-12,profit
2019-02-13,am,sz.002299,time_exit,2019-02-13,profit
2019-02-13,am,sz.002916,time_exit,2019-02-13,profit
2019-02-14,am,sz.002024,time_exit,2019-02-14,profit
2019-02-14,am,sz.002157,time_exit,2019-02-14,profit
2019-04-25,pm,sz.000996,protection,2019-04-25,risk
2019-04-29,am,sz.002575,stop,2019-04-29,risk
2019-05-06,am,sz.002079,stop,2019-05-06,risk
2019-05-06,pm,sz.002079,stop,2019-05-06,risk
2019-05-14,am,sz.002882,time_exit,2019-05-14,profit
2019-07-29,am,sz.002592,stop,2019-07-29,risk
2019-08-06,am,sz.002745,stop,2019-08-06,risk
2019-08-07,am,sz.002299,time_exit,2019-08-07,profit
2019-08-12,am,sz.000912,time_exit,2019-08-12,profit
2019-10-15,pm,sz.002299,account_trim,2019-09-30,risk
2019-10-15,pm,sz.002318,account_trim,2019-09-30,risk
2019-10-15,pm,sz.002639,account_trim,2019-09-30,risk
2019-10-25,am,sz.002299,account_trim,2019-09-30,risk
2019-11-01,am,sz.002299,protection,2019-11-01,risk
2019-11-07,am,sz.002318,time_exit,2019-11-07,profit
2019-11-11,am,sz.002639,time_exit,2019-11-11,profit
2019-11-13,am,sz.002151,time_exit,2019-11-13,profit
2020-01-21,am,sz.002299,stop,2020-01-21,risk
2020-01-21,pm,sz.002299,stop,2020-01-21,risk
2020-01-22,am,sz.002299,stop,2020-01-21,risk
2020-02-03,am,sz.002182,stop,2020-02-03,risk
2020-02-03,am,sz.002489,stop,2020-02-03,risk
2020-02-03,am,sz.002903,stop,2020-02-03,risk
2020-02-03,pm,sz.002182,stop,2020-02-03,risk
2020-02-03,pm,sz.002489,stop,2020-02-03,risk
2020-02-03,pm,sz.002903,stop,2020-02-03,risk
2020-02-04,am,sz.002489,stop,2020-02-03,risk
2020-02-04,am,sz.002903,stop,2020-02-03,risk
2020-02-20,pm,sz.002184,account_trim,2020-01-23,risk
2020-02-24,am,sz.002184,take_half,2020-02-24,profit
2020-02-24,pm,sz.002184,take_half,2020-02-24,profit
2020-02-25,pm,sz.002184,clear,2020-02-25,profit
2020-02-26,am,sz.002184,clear,2020-02-25,risk
2020-04-30,am,sz.000813,time_exit,2020-04-30,profit
2020-05-12,am,sz.002605,time_exit,2020-05-12,profit
2020-05-14,am,sz.002258,time_exit,2020-05-14,profit
2020-05-20,am,sz.002312,time_exit,2020-05-20,profit
2020-07-03,am,sz.002585,account_trim,2020-06-30,risk
2020-07-09,am,sz.002585,take_half,2020-07-09,profit
2020-07-10,am,sz.002384,time_exit,2020-07-10,profit
2020-07-13,am,sz.002585,clear,2020-07-13,profit
2020-07-24,am,sz.002709,stop,2020-07-24,risk
2020-07-30,am,sz.002702,account_trim,2020-06-30,risk
2020-07-31,am,sz.002702,time_exit,2020-07-31,profit
2020-08-04,pm,sz.002324,stop,2020-08-04,risk
2020-08-11,am,sz.002489,time_exit,2020-08-11,profit
2020-11-05,am,sz.002594,clear,2020-11-05,profit
2020-11-05,am,sz.002488,time_exit,2020-11-05,profit
2020-11-11,am,sz.002919,stop,2020-11-11,risk
2020-11-11,am,sz.002571,time_exit,2020-11-11,profit
2020-11-11,pm,sz.002919,stop,2020-11-11,risk
2020-11-12,am,sz.002919,stop,2020-11-11,risk
2020-11-12,am,sz.002919,time_exit,2020-11-12,profit
