day,sess,symbol,reason,source,intent
2015-04-14,am,sz.002089,take_half,2015-04-14,profit
2015-04-14,pm,sz.002089,take_half,2015-04-14,profit
2015-04-15,pm,sz.002089,clear,2015-04-15,profit
2015-04-16,am,sz.002089,clear,2015-04-15,risk
2015-04-27,am,sh.600118,take_half,2015-04-27,profit
2015-04-27,pm,sh.600118,take_half,2015-04-27,profit
2015-04-29,am,sh.600118,clear,2015-04-29,profit
2015-04-29,pm,sh.600118,clear,2015-04-29,risk
2015-05-04,am,sh.600536,stop,2015-05-04,risk
2015-05-04,pm,sh.600536,stop,2015-05-04,risk
2015-05-06,pm,sh.600874,protection,2015-05-06,risk
2015-05-07,am,sh.600874,protection,2015-05-06,risk
2015-10-26,pm,sh.603088,take_half,2015-10-26,profit
2015-10-27,am,sh.603088,take_half,2015-10-26,profit
2015-11-30,am,sz.000702,protection,2015-11-30,risk
2015-11-30,pm,sz.000702,protection,2015-11-30,risk
2015-12-01,am,sz.000702,protection,2015-11-30,risk
2015-12-09,pm,sh.603088,protection,2015-12-09,risk
2015-12-10,am,sh.603088,protection,2015-12-09,risk
2016-01-05,pm,sz.002621,stop,2016-01-05,risk
2016-01-06,am,sz.002621,stop,2016-01-05,risk
2016-01-07,am,sh.603288,stop,2016-01-07,risk
2016-01-07,pm,sh.603288,stop,2016-01-07,risk
2016-04-19,pm,sh.600365,take_half,2016-04-19,profit
2016-04-20,am,sh.600365,take_half,2016-04-19,profit
2016-04-20,pm,sh.600365,take_half,2016-04-19,profit
2016-04-21,am,sh.600365,take_half,2016-04-19,profit
2016-05-11,am,sz.002572,take_half,2016-05-11,profit
2016-05-11,pm,sz.002572,take_half,2016-05-11,profit
2016-05-12,am,sz.002572,take_half,2016-05-11,profit
2016-05-19,am,sh.600219,stop,2016-05-19,risk
2016-05-19,pm,sh.600219,stop,2016-05-19,risk
2016-05-19,pm,sh.600365,protection,2016-05-19,risk
2016-05-20,am,sh.600365,protection,2016-05-19,risk
2016-05-20,pm,sh.600365,protection,2016-05-19,risk
2016-06-15,am,sz.000961,stop,2016-06-15,risk
2016-06-15,pm,sz.000961,stop,2016-06-15,risk
2016-06-29,pm,sz.002572,clear,2016-06-29,profit
2016-06-30,am,sz.002572,clear,2016-06-29,risk
2016-07-25,pm,sh.601689,protection,2016-07-25,risk
2016-07-26,am,sh.601689,protection,2016-07-25,risk
2016-08-25,am,sz.002032,protection,2016-08-25,risk
2016-08-25,pm,sz.002032,protection,2016-08-25,risk
