day,sess,symbol,reason,source,intent
2015-03-27,am,sh.600177,take_half,2015-03-27,profit
2015-03-27,pm,sh.600177,take_half,2015-03-27,profit
2015-03-30,am,sh.600177,take_half,2015-03-27,profit
2015-04-07,am,sz.000548,clear,2015-04-07,profit
2015-04-07,pm,sz.000548,clear,2015-04-07,risk
2015-04-08,am,sz.000548,clear,2015-04-07,risk
2015-04-09,am,sh.600536,protection,2015-04-09,risk
2015-04-09,pm,sh.600536,protection,2015-04-09,risk
2015-04-10,am,sh.600536,protection,2015-04-09,risk
2015-04-16,am,sh.600177,clear,2015-04-16,profit
2015-04-16,pm,sh.600177,clear,2015-04-16,risk
2015-04-16,pm,sh.600874,take_half,2015-04-16,profit
2015-04-17,am,sh.600177,clear,2015-04-16,risk
2015-04-17,am,sh.600874,take_half,2015-04-16,profit
2015-04-17,pm,sh.600874,take_half,2015-04-16,profit
2015-04-20,am,sh.600874,take_half,2015-04-16,profit
2015-04-20,pm,sh.600874,take_half,2015-04-16,profit
2015-04-21,am,sh.600874,take_half,2015-04-16,profit
2015-05-13,am,sz.000748,take_half,2015-05-13,profit
2015-05-13,pm,sz.000748,take_half,2015-05-13,profit
2015-05-14,am,sz.000748,take_half,2015-05-13,profit
2015-05-15,am,sz.000748,stop,2015-05-15,risk
2015-05-15,pm,sz.000748,stop,2015-05-15,risk
2015-05-18,am,sz.000748,stop,2015-05-15,risk
2015-06-08,pm,sh.600874,take_half,2015-06-08,profit
2015-06-09,am,sh.600874,take_half,2015-06-08,profit
2015-06-09,pm,sh.600874,take_half,2015-06-08,profit
2015-06-11,am,sh.600874,clear,2015-06-11,profit
2015-06-11,pm,sh.600874,clear,2015-06-11,risk
2015-06-12,am,sh.600874,clear,2015-06-11,risk
2015-11-05,am,sh.603088,stop,2015-11-05,risk
2015-11-05,pm,sh.603088,stop,2015-11-05,risk
2015-11-06,am,sh.603088,stop,2015-11-05,risk
2015-11-30,am,sz.002621,stop,2015-11-30,risk
2015-11-30,pm,sz.002621,stop,2015-11-30,risk
2015-12-01,am,sz.002621,stop,2015-11-30,risk
2015-12-02,am,sz.002095,protection,2015-12-02,risk
2015-12-02,pm,sz.002095,protection,2015-12-02,risk
2015-12-03,am,sz.002095,protection,2015-12-02,risk
2016-01-07,am,sh.603288,stop,2016-01-07,risk
2016-01-07,pm,sh.603288,stop,2016-01-07,risk
