day,sess,symbol,reason,source,intent
2015-03-31,pm,sh.600080,take_half,2015-03-31,profit
2015-04-03,am,sz.000935,take_half,2015-04-03,profit
2015-04-21,am,sz.000783,take_half,2015-04-21,profit
2015-04-21,pm,sz.000783,take_half,2015-04-21,profit
2015-04-27,pm,sh.600080,clear,2015-04-27,profit
2015-04-29,am,sz.000783,take_half,2015-04-21,profit
2015-05-25,am,sz.000935,clear,2015-05-25,profit
2015-06-09,pm,sh.601088,take_half,2015-06-09,profit
2015-06-23,am,sh.600039,protection,2015-06-23,risk
2015-06-29,am,sz.000783,protection,2015-06-29,risk
2015-07-01,pm,sh.600871,take_half,2015-07-01,profit
2015-07-02,am,sh.600871,take_half,2015-07-01,profit
2015-07-02,pm,sh.601088,protection,2015-07-02,risk
2015-07-03,am,sh.600115,stop,2015-07-03,risk
2015-07-03,pm,sh.600197,stop,2015-07-03,risk
2015-07-07,am,sh.600871,protection,2015-07-07,risk
2015-07-07,pm,sh.600871,protection,2015-07-07,risk
2015-07-08,am,sh.600871,protection,2015-07-07,risk
2015-07-08,pm,sh.600871,protection,2015-07-07,risk
2015-08-03,pm,sh.600677,account_trim,2015-07-31,risk
2015-08-03,pm,sh.600718,account_trim,2015-07-31,risk
2015-08-03,pm,sz.000524,account_trim,2015-07-31,risk
2015-08-03,pm,sz.000898,account_trim,2015-07-31,risk
2015-08-07,am,sz.000524,account_trim,2015-07-31,risk
2015-08-10,pm,sh.600718,account_trim,2015-07-31,risk
2015-08-14,am,sz.000524,account_trim,2015-07-31,risk
2015-08-14,pm,sz.000524,account_trim,2015-07-31,risk
2015-08-24,am,sh.600677,stop,2015-08-24,risk
2015-08-24,am,sz.000524,protection,2015-08-24,risk
2015-08-24,am,sz.000898,protection,2015-08-24,risk
2015-08-24,pm,sh.600677,stop,2015-08-24,risk
2015-08-24,pm,sz.000524,protection,2015-08-24,risk
2015-08-24,pm,sz.000898,protection,2015-08-24,risk
2015-08-25,am,sh.600677,stop,2015-08-24,risk
2015-08-25,am,sh.600718,stop,2015-08-25,risk
2015-08-25,am,sz.000524,protection,2015-08-24,risk
2015-08-25,am,sz.000898,protection,2015-08-24,risk
2015-08-25,pm,sh.600677,stop,2015-08-24,risk
2015-08-25,pm,sz.000898,protection,2015-08-24,risk
2015-09-15,pm,sh.603688,stop,2015-09-15,risk
2015-09-28,pm,sz.002594,account_trim,2015-08-31,risk
2015-10-28,am,sz.002594,take_half,2015-10-28,profit
2015-11-05,am,sh.600030,account_trim,2015-10-30,risk
2015-11-10,am,sh.600030,take_half,2015-11-10,profit
2015-12-21,am,sh.600436,take_half,2015-12-21,profit
2015-12-21,pm,sh.600436,take_half,2015-12-21,profit
2015-12-23,am,sh.600436,clear,2015-12-23,profit
2016-01-07,am,sh.601999,stop,2016-01-07,risk
