day,sess,symbol,reason,source,intent
2015-03-23,am,sh.600303,take_half,2015-03-23,profit
2015-03-24,pm,sz.000697,take_half,2015-03-24,profit
2015-03-26,am,sz.000697,clear,2015-03-26,profit
2015-04-07,am,sh.600303,clear,2015-04-07,profit
2015-04-17,pm,sz.002051,take_half,2015-04-17,profit
2015-04-28,pm,sh.600287,stop,2015-04-28,risk
2015-05-07,am,sh.600113,stop,2015-05-07,risk
2015-06-01,pm,sh.600536,take_half,2015-06-01,profit
2015-06-02,am,sh.600536,take_half,2015-06-01,profit
2015-06-05,pm,sz.002051,clear,2015-06-05,profit
2015-06-17,am,sh.600536,protection,2015-06-17,risk
2015-06-19,am,sz.002496,stop,2015-06-19,risk
2015-08-19,am,sh.600868,stop,2015-08-19,risk
2015-11-30,am,sz.002356,protection,2015-11-30,risk
2016-01-05,am,sz.002635,protection,2016-01-05,risk
2016-01-05,pm,sz.002621,stop,2016-01-05,risk
2016-01-08,pm,sh.600630,stop,2016-01-08,risk
2016-01-11,am,sh.600581,protection,2016-01-11,risk
2016-01-11,am,sh.600630,stop,2016-01-08,risk
2016-01-11,am,sh.600677,stop,2016-01-11,risk
2016-01-11,pm,sh.600677,stop,2016-01-11,risk
2016-01-11,pm,sz.000702,protection,2016-01-11,risk
2016-01-12,am,sh.600677,stop,2016-01-11,risk
2016-01-13,am,sh.600448,stop,2016-01-13,risk
2016-01-14,am,sz.002237,stop,2016-01-14,risk
2016-01-21,pm,sh.601001,stop,2016-01-21,risk
2016-04-19,pm,sh.600365,account_trim,2016-03-31,risk
2016-05-09,pm,sh.600219,stop,2016-05-09,risk
2016-05-11,am,sz.002313,stop,2016-05-11,risk
2016-05-12,am,sh.600365,protection,2016-05-12,risk
2016-06-15,am,sz.000961,stop,2016-06-15,risk
2016-06-16,am,sz.002371,account_trim,2016-05-31,risk
2016-06-16,pm,sz.002371,take_half,2016-06-16,profit
2016-06-20,am,sz.002371,clear,2016-06-20,profit
2016-07-06,am,sz.002746,account_trim,2016-06-30,risk
2016-07-07,am,sz.002746,take_half,2016-07-07,profit
2016-08-15,am,sz.000402,take_half,2016-08-15,profit
2016-08-15,pm,sz.000402,take_half,2016-08-15,profit
2016-08-18,am,sz.000402,clear,2016-08-18,profit
2016-08-18,pm,sz.000402,clear,2016-08-18,risk
2016-08-19,am,sz.000543,account_trim,2016-07-29,risk
2016-11-08,pm,sz.002574,take_half,2016-11-08,profit
2016-11-10,am,sh.600280,take_half,2016-11-10,profit
2016-11-10,pm,sh.600280,take_half,2016-11-10,profit
2016-11-11,am,sz.002746,clear,2016-11-11,profit
2016-11-11,pm,sh.600280,clear,2016-11-11,profit
2016-11-11,pm,sz.002746,clear,2016-11-11,risk
2016-11-17,am,sz.002451,account_trim,2016-10-31,risk
2016-11-21,am,sz.002451,take_half,2016-11-21,profit
2016-12-05,am,sz.002574,protection,2016-12-05,risk
2016-12-05,pm,sz.002685,stop,2016-12-05,risk
2016-12-13,am,sz.002451,protection,2016-12-13,risk
2016-12-20,pm,sh.601158,stop,2016-12-20,risk
2017-01-13,pm,sz.002057,stop,2017-01-13,risk
2017-01-16,am,sh.600572,stop,2017-01-16,risk
2017-01-25,am,sz.002265,stop,2017-01-25,risk
2017-02-15,am,sh.600782,account_trim,2017-01-26,risk
2017-02-17,am,sz.002252,stop,2017-02-17,risk
2017-03-09,am,sh.600782,protection,2017-03-09,risk
2017-03-09,am,sz.000543,protection,2017-03-09,risk
2017-03-09,pm,sh.600782,protection,2017-03-09,risk
2017-03-09,pm,sz.000543,protection,2017-03-09,risk
2017-03-29,am,sh.600717,account_trim,2017-02-28,risk
2017-04-06,am,sh.600717,take_half,2017-04-06,profit
2017-04-06,pm,sh.600717,take_half,2017-04-06,profit
2017-04-07,pm,sh.600717,clear,2017-04-07,profit
2017-04-14,pm,sz.000878,stop,2017-04-14,risk
2017-04-20,am,sz.000937,stop,2017-04-20,risk
2017-06-26,pm,sh.600816,account_trim,2017-05-31,risk
2017-07-05,pm,sh.600816,take_half,2017-07-05,profit
2017-07-11,pm,sz.002570,stop,2017-07-11,risk
2017-08-11,am,sz.002411,stop,2017-08-11,risk
2017-08-11,pm,sz.002411,stop,2017-08-11,risk
2017-09-05,am,sz.002570,stop,2017-07-11,risk
2017-09-05,pm,sz.002570,stop,2017-07-11,risk
2017-09-06,am,sz.002570,stop,2017-07-11,risk
2017-09-22,pm,sh.600522,account_trim,2017-08-31,risk
2017-09-27,am,sh.600522,take_half,2017-09-27,profit
2017-10-12,pm,sz.002091,protection,2017-10-12,risk
2017-10-19,am,sz.000018,stop,2017-10-19,risk
2017-10-19,pm,sz.000018,stop,2017-10-19,risk
2017-11-17,am,sh.600522,clear,2017-11-17,profit
2017-11-17,pm,sz.002668,stop,2017-11-17,risk
2017-11-24,am,sz.000050,stop,2017-11-24,risk
2017-12-08,am,sh.600188,stop,2017-12-08,risk
2017-12-15,am,sh.600507,stop,2017-12-15,risk
2017-12-15,am,sh.600782,stop,2017-12-15,risk
2018-01-31,pm,sh.600568,stop,2018-01-31,risk
2018-02-01,am,sh.600179,stop,2018-02-01,risk
2018-02-01,pm,sh.600179,stop,2018-02-01,risk
2018-03-22,am,sh.600179,stop,2018-02-01,risk
2018-03-22,pm,sh.600179,stop,2018-02-01,risk
2018-03-23,am,sh.600179,stop,2018-02-01,risk
2018-03-23,pm,sh.600179,stop,2018-02-01,risk
2018-03-26,am,sh.600179,stop,2018-02-01,risk
2018-03-26,am,sh.600816,protection,2018-03-26,risk
2018-03-26,pm,sh.600179,stop,2018-02-01,risk
2018-04-04,pm,sh.601166,stop,2018-04-04,risk
2018-04-13,pm,sh.600360,stop,2018-04-13,risk
2018-05-09,am,sz.002411,account_trim,2018-04-27,risk
2018-05-11,pm,sz.002411,take_half,2018-05-11,profit
2018-05-14,am,sz.002411,take_half,2018-05-11,profit
2018-06-13,am,sz.000576,stop,2018-06-13,risk
2018-06-19,pm,sh.600346,stop,2018-06-19,risk
2018-06-22,am,sh.600568,stop,2018-01-31,risk
2018-06-22,pm,sh.600568,stop,2018-01-31,risk
2018-06-25,am,sh.600568,stop,2018-01-31,risk
2018-06-25,pm,sh.600568,stop,2018-01-31,risk
2018-06-26,am,sh.600568,stop,2018-01-31,risk
2018-06-26,pm,sh.600568,stop,2018-01-31,risk
2018-09-19,am,sz.002411,protection,2018-09-19,risk
2018-09-19,pm,sz.002411,protection,2018-09-19,risk
2018-09-20,am,sz.002411,protection,2018-09-19,risk
2018-09-20,pm,sz.002411,protection,2018-09-19,risk
2018-09-21,am,sz.002411,protection,2018-09-19,risk
2018-09-21,pm,sz.002411,protection,2018-09-19,risk
2018-10-15,am,sz.000703,stop,2018-10-15,risk
2018-10-17,am,sh.601952,stop,2018-10-17,risk
2018-10-29,am,sz.000656,account_trim,2018-09-28,risk
2018-11-28,am,sz.002411,protection,2018-09-19,risk
2018-11-28,pm,sz.002411,protection,2018-09-19,risk
2018-11-29,am,sz.002411,protection,2018-09-19,risk
2018-12-19,pm,sh.600763,stop,2018-12-19,risk
2018-12-25,am,sh.601229,stop,2018-12-25,risk
2018-12-26,am,sz.000656,take_half,2018-12-26,profit
2018-12-26,pm,sz.000656,take_half,2018-12-26,profit
2019-01-28,pm,sh.600369,stop,2019-01-28,risk
2019-01-29,am,sh.600369,stop,2019-01-28,risk
2019-02-13,pm,sz.002268,take_half,2019-02-13,profit
2019-02-25,am,sz.002268,clear,2019-02-25,profit
2019-03-27,am,sz.000656,clear,2019-03-27,profit
2019-03-27,pm,sz.000656,clear,2019-03-27,risk
2019-03-29,am,sh.600600,take_half,2019-03-29,profit
2019-04-03,am,sh.600600,clear,2019-04-03,profit
2019-04-04,am,sh.601225,account_trim,2019-03-29,risk
2019-04-26,am,sh.600104,stop,2019-04-26,risk
2019-04-26,am,sz.000540,stop,2019-04-26,risk
2019-06-06,am,sh.603939,protection,2019-06-06,risk
2019-06-28,am,sh.603169,stop,2019-06-28,risk
2019-07-01,am,sh.600363,account_trim,2019-06-28,risk
2019-07-04,am,sh.600363,protection,2019-07-04,risk
2019-07-12,pm,sh.600546,account_trim,2019-06-28,risk
2019-07-22,am,sh.601858,stop,2019-07-22,risk
2019-07-22,pm,sh.601858,stop,2019-07-22,risk
2019-07-25,am,sh.600546,take_half,2019-07-25,profit
2019-07-25,pm,sh.600546,take_half,2019-07-25,profit
2019-07-26,am,sh.600546,take_half,2019-07-25,profit
2019-08-06,am,sh.603299,stop,2019-08-06,risk
2019-08-20,am,sh.601009,stop,2019-08-20,risk
2019-10-23,am,sz.000860,stop,2019-10-23,risk
2019-10-24,pm,sh.601225,protection,2019-10-24,risk
2019-10-25,am,sh.600498,stop,2019-10-25,risk
2019-11-08,am,sz.000951,account_trim,2019-10-31,risk
2019-12-05,am,sz.000951,take_half,2019-12-05,profit
2019-12-25,am,sz.000951,clear,2019-12-25,profit
2020-01-06,am,sz.002236,account_trim,2019-12-31,risk
2020-01-06,pm,sh.600546,clear,2020-01-06,profit
2020-01-22,pm,sz.002064,account_trim,2019-12-31,risk
2020-02-03,am,sh.603078,protection,2020-02-03,risk
2020-02-03,am,sz.002236,protection,2020-02-03,risk
2020-02-03,am,sz.002695,stop,2020-02-03,risk
2020-02-03,pm,sh.603078,protection,2020-02-03,risk
2020-02-03,pm,sz.002695,stop,2020-02-03,risk
2020-02-04,am,sh.603078,protection,2020-02-03,risk
2020-02-04,am,sz.002695,stop,2020-02-03,risk
2020-02-13,am,sz.002486,stop,2020-02-13,risk
2020-02-14,am,sz.000949,stop,2020-02-14,risk
2020-03-12,am,sz.002064,protection,2020-03-12,risk
2020-03-12,pm,sz.002064,protection,2020-03-12,risk
2020-03-13,am,sz.002064,protection,2020-03-12,risk
2020-04-09,am,sz.002332,account_trim,2020-03-31,risk
2020-04-24,am,sz.002103,stop,2020-04-24,risk
2020-04-29,am,sz.000058,stop,2020-04-29,risk
2020-05-11,pm,sz.002416,stop,2020-05-11,risk
2020-05-12,am,sz.002416,stop,2020-05-11,risk
2020-06-05,am,sz.002332,take_half,2020-06-05,profit
2020-06-17,am,sz.002332,clear,2020-06-17,profit
2020-07-08,am,sh.600845,take_half,2020-07-08,profit
2020-07-08,am,sz.002022,account_trim,2020-06-30,risk
2020-07-10,am,sh.600845,clear,2020-07-10,profit
2020-07-10,pm,sz.002022,take_half,2020-07-10,profit
2020-07-15,am,sz.002773,take_half,2020-07-15,profit
2020-07-17,am,sh.600556,stop,2020-07-17,risk
2020-07-24,pm,sz.000915,protection,2020-07-24,risk
2020-08-25,am,sh.600089,protection,2020-08-25,risk
2020-09-07,pm,sz.002022,protection,2020-09-07,risk
2020-09-09,pm,sh.600371,stop,2020-09-09,risk
2020-09-24,am,sz.000882,stop,2020-09-24,risk
2020-09-24,pm,sz.000882,stop,2020-09-24,risk
2020-09-28,pm,sh.601678,stop,2020-09-28,risk
2020-10-09,am,sz.000721,stop,2020-10-09,risk
2020-10-21,am,sh.603977,stop,2020-10-21,risk
2020-11-06,am,sz.000333,take_half,2020-11-06,profit
2020-11-26,am,sz.002773,protection,2020-11-26,risk
2020-12-11,am,sz.000576,stop,2020-12-11,risk
2020-12-22,pm,sh.603927,stop,2020-12-22,risk
2020-12-28,am,sz.000333,clear,2020-12-28,profit
2020-12-28,pm,sh.600893,account_trim,2020-11-30,risk
2020-12-31,pm,sh.600893,take_half,2020-12-31,profit
