day,sess,symbol,reason,source,intent
2018-10-15,am,sh.600596,stop,2018-10-15,risk
2018-10-18,am,sh.600256,stop,2018-10-18,risk
2018-10-18,pm,sh.600569,stop,2018-10-18,risk
2018-10-19,am,sh.600569,stop,2018-10-18,risk
2018-10-26,am,sh.603636,time_exit,2018-10-26,profit
2018-11-13,am,sz.000425,time_exit,2018-11-13,profit
2018-11-16,am,sh.600028,time_exit,2018-11-16,profit
2018-11-20,am,sh.603568,time_exit,2018-11-20,profit
2018-11-20,pm,sh.603568,time_exit,2018-11-20,profit
2018-11-26,am,sh.603032,time_exit,2018-11-26,profit
2018-12-25,am,sz.000723,stop,2018-12-25,risk
2018-12-28,am,sz.000818,time_exit,2018-12-28,profit
2019-02-11,am,sz.002299,take_half,2019-02-11,profit
2019-02-11,am,sh.600355,time_exit,2019-02-11,profit
2019-02-12,am,sz.000966,time_exit,2019-02-12,profit
2019-02-13,am,sh.600699,time_exit,2019-02-13,profit
2019-02-14,am,sz.002299,time_exit,2019-02-14,profit
2019-03-01,am,sz.002458,take_half,2019-03-01,profit
2019-03-04,am,sz.002458,clear,2019-03-04,profit
2019-03-04,pm,sz.002458,clear,2019-03-04,risk
2019-03-12,am,sh.603713,time_exit,2019-03-12,profit
2019-03-27,am,sz.002181,protection,2019-03-27,risk
2019-03-27,am,sz.002930,time_exit,2019-03-27,profit
2019-04-04,am,sz.002648,take_half,2019-04-04,profit
2019-04-04,pm,sz.002648,take_half,2019-04-04,profit
2019-04-08,pm,sz.002648,clear,2019-04-08,profit
2019-04-15,pm,sz.002425,stop,2019-04-15,risk
2019-04-16,am,sz.002425,stop,2019-04-15,risk
2019-04-26,am,sz.000157,stop,2019-04-26,risk
2019-04-26,am,sz.000739,time_exit,2019-04-26,profit
2019-04-29,am,sz.002036,time_exit,2019-04-29,profit
2019-05-15,am,sh.600626,take_half,2019-05-15,profit
2019-05-20,am,sh.600031,time_exit,2019-05-20,profit
2019-05-23,am,sz.002568,stop,2019-05-23,risk
2019-05-30,am,sz.002514,time_exit,2019-05-30,profit
