family,symbol,day,category,sig_ret_20,pool_med_20,pool_mean_20,elig_ctrl_20,fill_day,trig_to_fill,post_fill_ret_20
A1,sh.600536,2015-03-02,filled,0.05991735537190057,0.17346133575665046,0.20852190054684788,0.3011494975013681,2015-03-03,0.032851239669421606,0.03320664132826523
A1,sh.600118,2015-03-02,filled,0.07204968944099432,0.17346133575665046,0.20852190054684788,0.2159406075867623,2015-03-03,0.0059006211180123724,0.06946588453226332
A1,sz.002089,2015-03-02,filled,0.16009557945041797,0.17346133575665046,0.20852190054684788,0.1736102512826702,2015-03-03,-0.019115890083631792,0.22472594397076673
A1,sh.600874,2015-03-02,filled,0.08661417322834652,0.17346133575665046,0.20852190054684788,0.1586875081578872,2015-03-03,0.10000000000000009,-0.024337866857551682
A1,sh.600678,2015-03-03,unmatched,0.2267441860465118,0.17610641903160773,0.21573460812015624,0.11255492814445453,,,
A1,sz.000748,2015-03-03,unmatched,0.11096286413164291,0.17610641903160773,0.21573460812015624,0.2584612411216631,,,
A1,sh.600177,2015-03-03,unmatched,0.3521428571428573,0.17610641903160773,0.21573460812015624,0.1710652530298335,,,
A1,sz.000548,2015-03-03,unmatched,0.1663066954643626,0.17610641903160773,0.21573460812015624,0.1544760410098759,,,
A1,sh.601718,2015-03-03,unmatched,0.009873060648801113,0.17610641903160773,0.21573460812015624,0.19432236768172287,,,
A1,sz.000939,2015-03-03,unmatched,0.21849963583394105,0.17610641903160773,0.21573460812015624,0.1849590521743226,,,
A1,sh.600107,2015-03-06,unmatched,0.33947368421052593,0.23471571939390345,0.277101920898615,0.2999282806723971,,,
A1,sh.600096,2015-03-09,unmatched,0.14578910120311384,0.24156101809419628,0.28667254786263724,0.24459803830272103,,,
A1,sh.600098,2015-03-09,unmatched,0.10780287474332617,0.24156101809419628,0.28667254786263724,0.23400821325044033,,,
A1,sh.600297,2015-03-11,filled,0.11356262167423736,0.20149275804049704,0.2546507746749208,0.18180334033422496,2015-03-12,-0.035691109669046095,0.16487213997308192
A1,sz.000835,2015-03-11,unmatched,0.2914331465172135,0.20149275804049704,0.2546507746749208,0.2410223491734243,,,
A1,sh.600010,2015-03-13,unmatched,0.04810996563573866,0.25041810147809873,0.30013199057088435,0.21872456190441128,,,
