event_id,symbol,shares,net_cash_flow,date,seq
sz.002299|20181231|2019-01-08|0,sz.002299,0,-49369.0,2019-01-09,1
sz.002916|20181231|2019-01-08|0,sz.002916,0,-43440.0,2019-01-09,2
sz.002024|20181231|2019-01-09|0,sz.002024,0,-49547.0,2019-01-10,3
sz.002157|20181231|2019-01-09|0,sz.002157,0,-49560.0,2019-01-10,4
sz.002575|20190331|2019-04-09|0,sz.002575,0,-52727.2722,2019-04-10,5
sz.000996|20181231|2019-04-10|0,sz.000996,0,-52293.2288,2019-04-11,6
sz.002882|20190331|2019-04-10|0,sz.002882,0,-52585.258,2019-04-11,7
sz.002079|20190331|2019-04-11|0,sz.002079,0,-52853.2848,2019-04-12,8
sz.002592|20190630|2019-07-04|0,sz.002592,0,-50245.024,2019-07-05,9
sz.002299|20190630|2019-07-09|0,sz.002299,0,-47759.0,2019-07-10,10
sz.000912|20190630|2019-07-13|1,sz.000912,0,-50077.0072,2019-07-15,11
sz.002745|20190630|2019-07-12|0,sz.002745,0,-50272.0267,2019-07-15,12
sz.002299|20190930|2019-10-09|1,sz.002299,0,-48749.0,2019-10-10,13
sz.002318|20190930|2019-10-09|1,sz.002318,0,-48053.0,2019-10-10,14
sz.002639|20190930|2019-10-11|0,sz.002639,0,-48394.00000000001,2019-10-14,15
sz.002151|20190930|2019-10-15|1,sz.002151,0,-19616.0,2019-10-16,16
sz.002299|20191231|2020-01-04|0,sz.002299,0,-20229.0,2020-01-06,17
sz.002182|20191231|2020-01-20|0,sz.002182,0,-20905.0,2020-01-21,18
sz.002489|20191231|2020-01-20|0,sz.002489,0,-21161.0,2020-01-21,19
sz.002903|20191231|2020-01-21|0,sz.002903,0,-20151.0,2020-01-23,20
sz.002184|20191231|2020-01-31|0,sz.002184,0,-20375.0,2020-02-04,21
sz.000813|20191231|2020-03-31|0,sz.000813,0,-21005.0,2020-04-01,22
sz.002605|20200331|2020-04-08|0,sz.002605,0,-21194.0,2020-04-09,23
sz.002258|20200331|2020-04-11|0,sz.002258,0,-21033.0,2020-04-13,24
sz.002312|20200331|2020-04-15|0,sz.002312,0,-21211.0,2020-04-17,25
sz.002384|20200630|2020-06-09|0,sz.002384,0,-20235.0,2020-06-10,26
sz.002585|20200630|2020-06-30|0,sz.002585,0,-20901.0,2020-07-01,27
sz.002702|20200630|2020-07-02|0,sz.002702,0,-20779.0,2020-07-03,28
sz.002709|20200630|2020-07-07|0,sz.002709,0,-21340.0,2020-07-08,29
sz.002324|20200630|2020-07-11|0,sz.002324,0,-19915.0,2020-07-13,30
sz.002489|20200630|2020-07-13|0,sz.002489,0,-20956.0,2020-07-14,31
sz.002488|20200930|2020-09-29|0,sz.002488,0,-21197.0,2020-09-30,32
sz.002571|20200930|2020-10-13|0,sz.002571,0,-20552.0,2020-10-14,33
sz.002594|20200930|2020-10-13|0,sz.002594,0,-13005.0,2020-10-14,34
sz.002919|20200930|2020-10-14|0,sz.002919,0,-16145.0,2020-10-15,35
