decision_day,n_pool,n_complete,median,mean
2019-01-09,897,897,0.03930712858094587,0.036822458390635984
2019-01-10,897,897,0.04524361948955913,0.04732892274418653
2019-01-11,897,897,0.03401360544217713,0.03450928517134515
2019-01-14,897,897,0.07205623901581681,0.07799947552611107
2019-01-16,897,897,0.06374501992031845,0.0755077369640681
2019-01-21,897,897,0.1354401805869072,0.15953558428011005
2019-01-23,897,897,0.14429868819374292,0.16713570931081798
2019-01-28,897,897,0.1818996415770613,0.2111134038236196
2019-01-30,897,897,0.27319587628865993,0.3091093752638864
2019-01-31,985,985,0.3084326306141161,0.3583009215995652
2019-02-01,985,985,0.2059732234809475,0.25907147575938855
2019-04-10,2260,2259,-0.15052508751458582,-0.13599083401074386
2019-04-11,2260,2259,-0.1404494382022471,-0.1265977768810568
2019-04-12,2260,2259,-0.12226512226512232,-0.10604048978473485
2019-04-15,2260,2259,-0.10670731707317038,-0.0920893340854177
2019-04-16,2260,2259,-0.1550387596899223,-0.14037169032280092
2019-04-17,2260,2259,-0.16467065868263453,-0.15210246436485317
2019-07-05,1265,1265,-0.06607369758576853,-0.05767262629096483
2019-07-10,1265,1265,-0.07037821871187278,-0.05710599986410055
2019-07-15,1265,1265,-0.07560137457044702,-0.056848132676972495
2019-07-16,1265,1265,-0.08354114713216931,-0.06349434151046099
2019-10-10,1397,1397,-0.0239333006375676,-0.014417368567118723
2019-10-14,1397,1397,-0.06666666666666632,-0.058837631228877536
2019-10-16,1397,1397,-0.05377906976744162,-0.04105458157050316
2019-10-17,1397,1397,-0.04782146652497343,-0.03328354543694709
2020-01-06,1309,1309,-0.0905797101449275,-0.04943636162950273
2020-01-21,1309,1309,-0.012510425354461896,0.021932551631357638
2020-01-22,1309,1309,-0.010093727469358549,0.019423975725629095
2020-02-03,1606,1606,0.11963865762110926,0.14944738844598174
2020-02-04,1606,1606,0.1425896201177097,0.1669431758216702
2020-03-13,1807,1807,-0.058056872037914986,-0.044606285295338485
2020-04-01,1820,1820,0.020827077202324906,0.03670370840677184
2020-04-09,1820,1820,-0.010024849860443497,0.0022415574517811046
2020-04-13,1820,1820,0.008930168399028049,0.029002078988360432
2020-04-16,1820,1820,0.003385732945301423,0.021343737259942756
2020-06-10,1456,1456,0.15123096500062627,0.18658708706925742
2020-07-01,1556,1556,0.09056372532596002,0.12142149582514836
2020-07-03,1556,1556,0.058697119315388124,0.10279585311403154
2020-07-08,1556,1556,0.020304626660558656,0.0582080055696643
2020-07-09,1556,1556,-0.009507917916184383,0.029790432941965362
2020-07-13,1556,1556,-0.036237070648313885,-0.004519488604597434
2020-07-14,1556,1556,-0.045286759388590225,-0.016649908087458226
2020-07-15,1556,1556,-0.024940137450632838,-0.002632279522855982
2020-07-16,1556,1556,0.024045737272457735,0.05402919401931266
2020-09-30,1510,1510,0.002688871541330684,0.026652029077159436
2020-10-14,1510,1510,-0.04307942215803218,-0.027176770029400332
2020-10-15,1510,1510,-0.034549143987449626,-0.018013570367770838
2020-10-16,1510,1510,-0.03572919073994607,-0.016850694295595815
