ts_code,symbol,end_date,ann_date,update_flag,version_index,n_versions_in_period,same_day_version_count,type,type_order,p_change_min,p_change_max,net_profit_min,net_profit_max,interval_class,first_ann_date,prev_ann_date,prev_update_flag,prev_type,has_later_version,source_fetched_at,version_evidence_class,pit_conclusion
600004.SH,sh.600004,20190630,2019-04-30,1,1,1,1,不确定,0,,,,,missing,2019-04-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600004.SH,sh.600004,20190930,2019-08-31,1,1,1,1,不确定,0,,,,,missing,2019-08-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600004.SH,sh.600004,20191231,2019-10-29,1,1,1,1,不确定,0,,,,,missing,2019-10-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600004.SH,sh.600004,20200630,2020-04-28,1,1,1,1,略减,-1,,,,,missing,2020-04-28,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600004.SH,sh.600004,20200930,2020-08-29,0,1,1,1,略减,-1,,,,,missing,2020-08-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600004.SH,sh.600004,20201231,2020-10-31,1,1,1,1,略减,-1,,,,,missing,2020-10-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600006.SH,sh.600006,20181231,2018-10-30,0,1,2,1,预增,4,,,,,missing,2018-10-30,,,,True,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600006.SH,sh.600006,20181231,2019-01-31,0,2,2,1,预增,4,171.0,189.0,54570.0,58070.0,valid,2018-10-30,2018-10-30,0,预增,False,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600008.SH,sh.600008,20190630,2019-07-18,0,1,1,1,预增,4,47.7,57.25,30962.0,32962.0,valid,2019-07-18,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600008.SH,sh.600008,20191231,2020-02-03,0,1,1,1,略增,2,30.0,40.0,93541.0,100741.0,valid,2020-02-03,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
