event_id,symbol,end_date,ann_date,update_flag,source_rows_matched,has_previous_version,funnel_type_upgrade,recomputed_type_upgrade,type_upgrade_match,funnel_numeric_revision,recomputed_numeric_revision,numeric_revision_match,funnel_numeric_available,recomputed_numeric_available,numeric_available_match,current_type,previous_type,current_net_profit_min,current_net_profit_max,previous_net_profit_min,previous_net_profit_max
B1|sz.002299|20181231|a2019-01-08|u0,sz.002299,20181231,2019-01-08,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,150000.0,153000.0,120500.0,125500.0
B1|sz.002916|20181231|a2019-01-08|u0,sz.002916,20181231,2019-01-08,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,67212.0,71693.0,53770.0,62732.0
B1|sz.002024|20181231|a2019-01-09|u0,sz.002024,20181231,2019-01-09,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,1278753.0,1320878.0,758253.0,800378.0
B1|sz.002157|20181231|a2019-01-09|u0,sz.002157,20181231,2019-01-09,0,1,True,False,False,True,True,True,True,True,True,True,预减,预减,16000.0,20000.0,10000.0,23000.0
B1|sz.002475|20181231|a2019-01-10|u0,sz.002475,20181231,2019-01-10,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,262038.0,278944.0,245132.0,262038.0
B1|sz.002405|20181231|a2019-01-12|u0,sz.002405,20181231,2019-01-12,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,45084.0,53040.0,29172.0,37128.0
B1|sz.002234|20181231|a2019-01-15|u0,sz.002234,20181231,2019-01-15,0,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,37000.0,39000.0,23000.0,28000.0
B1|sz.002353|20181231|a2019-01-18|u0,sz.002353,20181231,2019-01-18,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,58299.0,61689.0,52876.0,56265.0
B1|sz.002755|20181231|a2019-01-22|u0,sz.002755,20181231,2019-01-22,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,66200.0,69200.0,1430.0,1970.0
B1|sz.002302|20181231|a2019-01-25|u0,sz.002302,20181231,2019-01-25,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,26435.0,31722.0,21148.0,26435.0
B1|sz.002023|20181231|a2019-01-29|u0,sz.002023,20181231,2019-01-29,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,6530.0,7217.0,3437.0,4468.0
B1|sz.002458|20181231|a2019-01-29|u0,sz.002458,20181231,2019-01-29,0,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,36000.0,37000.0,32000.0,35000.0
B1|sz.002607|20181231|a2019-01-29|u0,sz.002607,20181231,2019-01-29,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,110000.0,116000.0,4407.0,6611.0
B1|sz.002414|20181231|a2019-01-30|u0,sz.002414,20181231,2019-01-30,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,12858.0,14027.0,11105.0,12858.0
B1|sz.002703|20181231|a2019-01-30|u0,sz.002703,20181231,2019-01-30,0,1,True,False,False,True,True,True,True,True,True,True,预减,预减,0.0,980.0,-1800.0,-900.0
B1|sz.002725|20181231|a2019-01-30|u0,sz.002725,20181231,2019-01-30,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,4540.0,5018.0,3027.0,3823.0
