run_id,arm,checkpoint,ref_free_settled,engine_free_settled,diff_settled,ref_unsettled,engine_unsettled,diff_unsettled,ref_am_to_pm,engine_am_to_pm,ref_cash_total,engine_cash_total,diff_cash_total,ref_equity,engine_equity,diff_equity,note
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2015-01-05,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,checkpoint
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2015-12-31,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,year-end
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2016-03-01,366912.26,366912.25,0.01,0.00,0.00,0.00,0.00,0.00,366912.26,366912.25,0.01,522779.26,522779.25,0.01,first rounding-location divergence day
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2019-12-31,361915.45,361915.51,-0.06,0.00,0.00,0.00,0.00,0.00,361915.45,361915.51,-0.06,436143.45,436143.51,-0.06,year-end
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2020-12-31,353035.67,353035.77,-0.10,5157.83,5157.83,0.00,0.00,0.00,358193.50,358193.60,-0.10,419325.50,419325.60,-0.10,year-end
20260921T210100-baseline-replay4-9x4q2,NOSNR-bin,2015-01-05,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,checkpoint
20260921T210100-baseline-replay4-9x4q2,NOSNR-bin,2015-12-31,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,year-end
20260921T210100-baseline-replay4-9x4q2,NOSNR-bin,2016-03-01,366612.99,366612.98,0.01,0.00,0.00,0.00,0.00,0.00,366612.99,366612.98,0.01,523109.99,523109.98,0.01,first rounding-location divergence day
20260921T210100-baseline-replay4-9x4q2,NOSNR-bin,2019-12-31,368786.73,368786.82,-0.09,0.00,0.00,0.00,0.00,0.00,368786.73,368786.82,-0.09,444004.73,444004.82,-0.09,year-end
20260921T210100-baseline-replay4-9x4q2,NOSNR-bin,2020-12-31,368890.28,368890.38,-0.10,0.00,0.00,0.00,0.00,0.00,368890.28,368890.38,-0.10,432768.28,432768.38,-0.10,year-end
20260921T210100-baseline-replay4-9x4q2,NOACCT-bin,2015-01-05,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,checkpoint
20260921T210100-baseline-replay4-9x4q2,NOACCT-bin,2015-12-31,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,year-end
20260921T210100-baseline-replay4-9x4q2,NOACCT-bin,2016-03-01,369996.76,369996.77,-0.01,0.00,0.00,0.00,0.00,0.00,369996.76,369996.77,-0.01,530726.76,530726.77,-0.01,first rounding-location divergence day
20260921T210100-baseline-replay4-9x4q2,NOACCT-bin,2019-12-31,78662.70,78662.74,-0.04,0.00,0.00,0.00,0.00,0.00,78662.70,78662.74,-0.04,240936.70,240936.74,-0.04,year-end
20260921T210100-baseline-replay4-9x4q2,NOACCT-bin,2020-12-31,67752.50,67752.54,-0.04,0.00,0.00,0.00,0.00,0.00,67752.50,67752.54,-0.04,208540.50,208540.54,-0.04,year-end
20260921T223157-eventfam-main-cb4cff,A1,2015-01-05,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,checkpoint
20260921T223157-eventfam-main-cb4cff,A1,2015-03-12,305167.66,305167.67,-0.01,0.00,0.00,0.00,0.00,0.00,305167.66,305167.67,-0.01,494186.66,494186.67,-0.01,first rounding-location divergence day
20260921T223157-eventfam-main-cb4cff,A1,2015-12-31,392616.51,392616.54,-0.03,0.00,0.00,0.00,0.00,0.00,392616.51,392616.54,-0.03,570254.51,570254.54,-0.03,year-end
20260921T223157-eventfam-main-cb4cff,A1,2019-12-31,387295.04,387295.13,-0.09,0.00,0.00,0.00,0.00,0.00,387295.04,387295.13,-0.09,457044.04,457044.13,-0.09,year-end
20260921T223157-eventfam-main-cb4cff,A1,2020-12-31,397209.79,397209.90,-0.11,0.00,0.00,0.00,0.00,0.00,397209.79,397209.90,-0.11,451204.79,451204.90,-0.11,year-end
20260921T223157-eventfam-main-cb4cff,A2,2015-01-05,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,checkpoint
20260921T223157-eventfam-main-cb4cff,A2,2015-05-06,453022.61,453022.62,-0.01,0.00,0.00,0.00,0.00,0.00,453022.61,453022.62,-0.01,532034.61,532034.62,-0.01,first rounding-location divergence day
20260921T223157-eventfam-main-cb4cff,A2,2015-12-31,463508.77,463508.78,-0.01,0.00,0.00,0.00,0.00,0.00,463508.77,463508.78,-0.01,512998.77,512998.78,-0.01,year-end
20260921T223157-eventfam-main-cb4cff,A2,2019-12-31,405646.68,405646.70,-0.02,0.00,0.00,0.00,0.00,0.00,405646.68,405646.70,-0.02,447503.68,447503.70,-0.02,year-end
20260921T223157-eventfam-main-cb4cff,A2,2020-12-31,385558.79,385558.81,-0.02,0.00,0.00,0.00,0.00,0.00,385558.79,385558.81,-0.02,441453.79,441453.81,-0.02,year-end
20260921T223157-eventfam-main-cb4cff,B1,2015-01-05,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,checkpoint
20260921T223157-eventfam-main-cb4cff,B1,2015-12-31,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,year-end
20260921T223157-eventfam-main-cb4cff,B1,2019-02-14,449827.01,449827.02,-0.01,82692.99,82692.99,0.00,0.00,0.00,532520.00,532520.01,-0.01,532520.00,532520.01,-0.01,first rounding-location divergence day
20260921T223157-eventfam-main-cb4cff,B1,2019-12-31,482734.20,482734.19,0.01,0.00,0.00,0.00,0.00,0.00,482734.20,482734.19,0.01,482734.20,482734.19,0.01,year-end
20260921T223157-eventfam-main-cb4cff,B1,2020-12-31,483747.61,483747.62,-0.01,0.00,0.00,0.00,0.00,0.00,483747.61,483747.62,-0.01,483747.61,483747.62,-0.01,year-end
20260921T223157-eventfam-main-cb4cff,B2,2015-01-05,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,checkpoint
20260921T223157-eventfam-main-cb4cff,B2,2015-12-31,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,500000.00,500000.00,0.00,year-end
20260921T223157-eventfam-main-cb4cff,B2,2018-11-14,401919.15,401919.16,-0.01,0.00,0.00,0.00,0.00,0.00,401919.15,401919.16,-0.01,507719.15,507719.16,-0.01,first rounding-location divergence day
