run_id,arm,n_fills,ref_commission_total,engine_commission_total,commission_diff,ref_stamp_total,engine_stamp_total,stamp_diff,ref_fees_total,engine_fees_total,fees_diff,n_fill_commission_mismatch,n_fill_stamp_mismatch,n_fill_net_cash_mismatch,n_fills_with_subcent_fee,note
20260921T210100-baseline-replay4-9x4q2,FULL-bin,672,3369.80,3369.80,0.00,6488.86,6488.85,0.01,9858.66,9858.65,0.01,0,1,28,638,net_cash_diff counts fills where the recorded float fee rounds to a different cent than the exact Decimal fee at a half-cent boundary
20260921T210100-baseline-replay4-9x4q2,NOSNR-bin,502,2518.87,2518.87,0.00,4816.07,4816.06,0.01,7334.94,7334.93,0.01,0,1,23,473,net_cash_diff counts fills where the recorded float fee rounds to a different cent than the exact Decimal fee at a half-cent boundary
20260921T210100-baseline-replay4-9x4q2,NOACCT-bin,934,5091.66,5091.65,0.01,18672.32,18672.31,0.01,23763.98,23763.96,0.02,1,1,38,865,net_cash_diff counts fills where the recorded float fee rounds to a different cent than the exact Decimal fee at a half-cent boundary
20260921T223157-eventfam-main-cb4cff,A1,153,773.41,773.41,0.00,2047.05,2047.05,0.00,2820.46,2820.46,0.00,0,0,12,143,net_cash_diff counts fills where the recorded float fee rounds to a different cent than the exact Decimal fee at a half-cent boundary
20260921T223157-eventfam-main-cb4cff,A2,140,700.73,700.73,0.00,1540.38,1540.37,0.01,2241.11,2241.10,0.01,0,1,8,136,net_cash_diff counts fills where the recorded float fee rounds to a different cent than the exact Decimal fee at a half-cent boundary
20260921T223157-eventfam-main-cb4cff,B1,81,406.67,406.67,0.00,1131.72,1131.72,0.00,1538.39,1538.39,0.00,0,0,4,75,net_cash_diff counts fills where the recorded float fee rounds to a different cent than the exact Decimal fee at a half-cent boundary
20260921T223157-eventfam-main-cb4cff,B2,165,833.55,833.55,0.00,2158.47,2158.47,0.00,2992.02,2992.02,0.00,0,0,10,160,net_cash_diff counts fills where the recorded float fee rounds to a different cent than the exact Decimal fee at a half-cent boundary
20260921T223217-eventfam-rnd-6af378,RND-11,244,1227.38,1227.38,0.00,2553.74,2553.74,0.00,3781.12,3781.12,0.00,0,0,17,231,net_cash_diff counts fills where the recorded float fee rounds to a different cent than the exact Decimal fee at a half-cent boundary
20260921T223217-eventfam-rnd-6af378,RND-23,212,1062.89,1062.89,0.00,2037.81,2037.80,0.01,3100.70,3100.69,0.01,0,1,13,205,net_cash_diff counts fills where the recorded float fee rounds to a different cent than the exact Decimal fee at a half-cent boundary
20260921T223217-eventfam-rnd-6af378,RND-47,216,1091.57,1091.57,0.00,2454.90,2454.89,0.01,3546.47,3546.46,0.01,0,1,14,202,net_cash_diff counts fills where the recorded float fee rounds to a different cent than the exact Decimal fee at a half-cent boundary
