run_id,arm,day,symbol,action_type,run_ratio,ref_ratio,ratio_diff,run_cash_amount,ref_cash_amount,cash_diff,run_shares_after,ref_shares_after,shares_diff,note
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2016-06-02,sz.002619,share_change,2.5,2.5,0.0,,,,3000,3000,0,share-transform ratio cross-checked against sandbox split_factor; shares_after from reference clips
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2017-04-18,sz.000711,share_change,2.0,2.0,0.0,,,,1200,1200,0,share-transform ratio cross-checked against sandbox split_factor; shares_after from reference clips
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2017-04-18,sz.000711,cash_dividend,,,,60.00,60.00,0.00,,,,sandbox per-lot 10.0/round_lot 100 x 600 pre-ex shares; run detail: sz.000711: 0.100000 yuan/share pre-tax (per-lot row / round_lot) x 600
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2017-05-31,sh.600614,cash_dividend,,,,40.00,40.00,0.00,,,,sandbox per-lot 2.0/round_lot 100 x 2000 pre-ex shares; run detail: sh.600614: 0.020000 yuan/share pre-tax (per-lot row / round_lot) x 200
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2017-06-16,sz.000723,share_change,1.8,1.8,0.0,,,,2880,2880,0,share-transform ratio cross-checked against sandbox split_factor; shares_after from reference clips
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2017-06-16,sz.000723,cash_dividend,,,,160.00,160.00,0.00,,,,sandbox per-lot 10.0/round_lot 100 x 1600 pre-ex shares; run detail: sz.000723: 0.100000 yuan/share pre-tax (per-lot row / round_lot) x 160
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2017-07-20,sh.601229,share_change,1.3,1.3,0.0,,,,1040,1040,0,share-transform ratio cross-checked against sandbox split_factor; shares_after from reference clips
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2017-07-20,sh.601229,cash_dividend,,,,400.00,400.00,0.00,,,,sandbox per-lot 50.0/round_lot 100 x 800 pre-ex shares; run detail: sh.601229: 0.500000 yuan/share pre-tax (per-lot row / round_lot) x 800
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2018-05-04,sz.000333,cash_dividend,,,,360.00,360.00,0.00,,,,sandbox per-lot 120.0/round_lot 100 x 300 pre-ex shares; run detail: sz.000333: 1.200000 yuan/share pre-tax (per-lot row / round_lot) x 300
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2018-05-28,sh.600211,cash_dividend,,,,154.00,154.00,0.00,,,,sandbox per-lot 38.5/round_lot 100 x 400 pre-ex shares; run detail: sh.600211: 0.385000 yuan/share pre-tax (per-lot row / round_lot) x 400
20260921T210100-baseline-replay4-9x4q2,FULL-bin,2018-07-24,sz.002268,cash_dividend,,,,40.00,40.00,0.00,,,,sandbox per-lot 5.0/round_lot 100 x 800 pre-ex shares; run detail: sz.002268: 0.050000 yuan/share pre-tax (per-lot row / round_lot) x 800
