run_id,arm,record_type,day,session,symbol,side,key,ref_commission,engine_commission,commission_diff,ref_stamp,engine_stamp,stamp_diff,ref_fees,engine_fees,fees_diff,ref_net_cash,engine_net_cash,net_cash_diff,ref_settled_cash,engine_settled_cash,settled_diff,ref_unsettled,engine_unsettled,unsettled_diff,ref_position_mv,engine_position_mv,mv_diff,ref_equity,engine_equity,equity_diff,exact_equity_diff,ref_shares,engine_shares,shares_diff,note
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-05,,,,2015-01-05,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-06,,,,2015-01-06,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-07,,,,2015-01-07,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-08,,,,2015-01-08,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-09,,,,2015-01-09,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-12,,,,2015-01-12,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-13,,,,2015-01-13,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-14,,,,2015-01-14,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-15,,,,2015-01-15,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-16,,,,2015-01-16,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-19,,,,2015-01-19,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-20,,,,2015-01-20,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-21,,,,2015-01-21,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-22,,,,2015-01-22,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-23,,,,2015-01-23,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-26,,,,2015-01-26,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-27,,,,2015-01-27,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-28,,,,2015-01-28,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
20260921T210100-baseline-replay4-9x4q2,FULL-bin,equity_day,2015-01-29,,,,2015-01-29,,,,,,,,,,,,,500000.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,500000.00,0.00,0.00e+0,,,,
