event_id,symbol,ann_date,decision_day,decision_session,trigger_close_official,anchor_kind,trigger_cap_1p01,provider_cap_b1,decision_anchor_price,order_price_first,order_price_last,issued,skip_or_cancel_reason,cap_ge_anchor,limit_equals_anchor,limit_equals_cap,relationship,provider_rule,engine_rule
B1|sz.002299|20181231|a2019-01-08|u0,sz.002299,2019-01-08,2019-01-09,am,17.55,official_close(previous session; 11:30 anchor),17.7255,17.8063,17.63,17.63,17.63,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002916|20181231|a2019-01-08|u0,sz.002916,2019-01-08,2019-01-09,am,84.85,official_close(previous session; 11:30 anchor),85.6985,87.7387,86.87,86.87,86.87,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002024|20181231|a2019-01-09|u0,sz.002024,2019-01-09,2019-01-10,am,10.73,official_close(previous session; 11:30 anchor),10.8373,10.8777,10.77,10.77,10.77,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002157|20181231|a2019-01-09|u0,sz.002157,2019-01-09,2019-01-10,am,5.93,official_close(previous session; 11:30 anchor),5.9893,5.8883,5.83,5.83,5.83,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002475|20181231|a2019-01-10|u0,sz.002475,2019-01-10,2019-01-11,am,14.91,official_close(previous session; 11:30 anchor),15.0591,14.948,14.8,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002405|20181231|a2019-01-12|u0,sz.002405,2019-01-12,2019-01-14,am,15.8,official_close(previous session; 11:30 anchor),15.958,15.9176,15.76,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002234|20181231|a2019-01-15|u0,sz.002234,2019-01-15,2019-01-16,am,12.53,official_close(previous session; 11:30 anchor),12.6553,12.7563,12.63,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002353|20181231|a2019-01-18|u0,sz.002353,2019-01-18,2019-01-21,am,16.94,official_close(previous session; 11:30 anchor),17.1094,17.9477,17.77,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002755|20181231|a2019-01-22|u0,sz.002755,2019-01-22,2019-01-23,am,14.66,official_close(previous session; 11:30 anchor),14.8066,15.5136,15.36,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002302|20181231|a2019-01-25|u0,sz.002302,2019-01-25,2019-01-28,am,9.28,official_close(previous session; 11:30 anchor),9.3728,9.4839,9.39,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
