arm,order_id,symbol,side,live_date,live_session,limit_price,half_high,half_low,minute_day_high,minute_day_low,half_extremes_within_minute_range,finer_granularity_would_fill,other_session_high,other_session_low,halfday_verdict_conservative_miss,miss_attributable_to_this_session
FULL-bin,sz.002435-buy-2016-01-29-pm,sz.002435,buy,2016-02-01,am,13.4,14.74,14.74,14.74,14.74,True,False,14.74,14.74,False,True
FULL-bin,sz.000019-buy-2016-01-29-pm,sz.000019,buy,2016-02-01,am,12.29,13.52,12.91,13.52,12.91,True,False,13.52,13.03,False,True
FULL-bin,sz.002435-buy-2016-02-01-am,sz.002435,buy,2016-02-01,pm,14.74,14.74,14.74,14.74,14.74,True,False,14.74,14.74,False,True
FULL-bin,sz.002435-buy-2016-02-01-pm,sz.002435,buy,2016-02-02,am,14.74,16.21,14.9,16.21,14.9,True,False,16.06,15.41,False,True
FULL-bin,sz.002435-buy-2016-02-02-am,sz.002435,buy,2016-02-02,pm,15.41,16.06,15.41,16.21,14.9,True,True,16.21,14.9,True,False
FULL-bin,sz.000019-sell/profit-2016-02-15-am,sz.000019,sell,2016-02-15,pm,20.08,20.08,20.08,20.080000000000002,17.85,True,True,20.08,17.85,True,True
FULL-bin,sz.000982-buy-2016-02-29-pm,sz.000982,buy,2016-03-01,am,6.17,6.79,6.79,6.79,6.79,True,False,6.79,6.79,False,True
FULL-bin,sz.002409-buy-2016-02-29-pm,sz.002409,buy,2016-03-01,am,24.16,26.58,24.5,26.580000000000002,24.5,True,False,26.0,24.65,False,True
FULL-bin,sz.000982-buy-2016-03-01-am,sz.000982,buy,2016-03-01,pm,6.79,6.79,6.79,6.79,6.79,True,False,6.79,6.79,False,True
FULL-bin,sz.000982-buy-2016-03-01-pm,sz.000982,buy,2016-03-02,am,6.79,7.47,7.47,7.47,7.47,True,False,7.47,7.47,False,True
FULL-bin,sz.000982-buy-2016-03-02-am,sz.000982,buy,2016-03-02,pm,7.47,7.47,7.47,7.47,7.47,True,False,7.47,7.47,False,True
FULL-bin,sz.000982-buy-2016-03-02-pm,sz.000982,buy,2016-03-03,am,7.47,8.22,8.22,8.22,8.09,True,False,8.22,8.09,False,True
FULL-bin,sh.600614-sell/risk-2016-03-31-pm,sh.600614,sell,2016-04-01,am,7.53,7.5,7.29,7.75,7.29,True,True,7.75,7.32,True,False
FULL-bin,sz.002528-sell/risk-2016-03-31-pm,sz.002528,sell,2016-04-01,am,12.24,12.16,11.7,12.16,11.66,True,False,12.1,11.66,False,True
FULL-bin,sh.600666-buy-2016-04-29-pm,sh.600666,buy,2016-05-03,am,28.17,29.23,28.45,29.3,28.45,True,False,29.3,29.0,False,True
FULL-bin,sz.002211-buy-2016-05-31-pm,sz.002211,buy,2016-06-01,am,11.59,12.75,12.75,12.75,12.75,True,False,12.75,12.75,False,True
FULL-bin,sz.002102-buy-2016-05-31-pm,sz.002102,buy,2016-06-01,am,11.76,12.05,11.79,12.05,11.68,True,True,11.93,11.68,True,False
FULL-bin,sz.002211-buy-2016-06-01-am,sz.002211,buy,2016-06-01,pm,12.75,12.75,12.75,12.75,12.75,True,False,12.75,12.75,False,True
FULL-bin,sz.002211-buy-2016-06-01-pm,sz.002211,buy,2016-06-02,am,12.75,14.03,13.0,14.030000000000001,13.0,True,False,14.03,13.7,False,True
FULL-bin,sz.002619-sell/risk-2016-06-02-pm,sz.002619,sell,2016-06-03,am,17.22,16.47,15.5,16.78,15.5,True,False,16.78,15.65,False,True
FULL-bin,sz.002211-sell/risk-2016-06-13-am,sz.002211,sell,2016-06-13,pm,12.39,12.39,11.57,12.52,11.57,True,True,12.52,12.31,True,False
FULL-bin,sh.600120-buy-2016-06-30-pm,sh.600120,buy,2016-07-01,am,21.71,23.88,23.88,23.88,23.88,True,False,23.88,23.88,False,True
FULL-bin,sz.002273-buy-2016-06-30-pm,sz.002273,buy,2016-07-01,am,27.99,28.68,27.99,28.68,27.7,True,True,28.18,27.7,True,False
FULL-bin,sh.600120-buy-2016-07-01-am,sh.600120,buy,2016-07-01,pm,23.88,23.88,23.88,23.88,23.88,True,False,23.88,23.88,False,True
FULL-bin,sh.600120-buy-2016-07-01-pm,sh.600120,buy,2016-07-04,am,23.88,26.27,25.96,26.27,25.96,True,False,26.27,26.27,False,True
FULL-bin,sh.600120-buy-2016-07-04-am,sh.600120,buy,2016-07-04,pm,26.27,26.27,26.27,26.27,25.96,True,True,26.27,25.96,True,False
FULL-bin,sh.600120-buy-2016-07-04-pm,sh.600120,buy,2016-07-05,am,26.27,28.76,26.69,28.76,26.69,True,False,28.25,27.35,False,True
FULL-bin,sh.600751-buy-2016-07-29-pm,sh.600751,buy,2016-08-01,am,8.94,9.83,9.83,9.83,9.83,True,False,9.83,9.83,False,True
FULL-bin,sz.002222-sell/risk-2016-07-29-pm,sz.002222,sell,2016-08-01,am,17.87,17.62,16.69,17.62,16.43,True,False,17.35,16.43,False,True
FULL-bin,sz.002273-sell/risk-2016-07-29-pm,sz.002273,sell,2016-08-01,am,23.07,22.8,21.94,22.8,21.93,True,False,22.67,21.93,False,True
FULL-bin,sh.600751-buy-2016-08-01-am,sh.600751,buy,2016-08-01,pm,9.83,9.83,9.83,9.83,9.83,True,False,9.83,9.83,False,True
FULL-bin,sh.600619-buy-2016-08-31-pm,sh.600619,buy,2016-09-01,am,12.18,12.33,12.18,12.33,11.92,True,True,12.21,11.92,True,False
FULL-bin,sz.002266-buy-2016-09-30-pm,sz.002266,buy,2016-10-10,am,5.87,6.46,6.1,6.46,6.1000000000000005,True,False,6.19,6.12,False,True
FULL-bin,sh.600499-buy-2016-09-30-pm,sh.600499,buy,2016-10-10,am,7.92,8.1,7.96,8.23,7.96,True,False,8.23,8.09,False,True
FULL-bin,sh.600499-buy-2016-10-10-am,sh.600499,buy,2016-10-10,pm,8.09,8.23,8.09,8.23,7.96,True,True,8.1,7.96,True,False
FULL-bin,sz.002486-buy-2016-10-31-pm,sz.002486,buy,2016-11-01,am,6.66,7.33,7.33,7.33,7.33,True,False,7.33,7.33,False,True
FULL-bin,sz.002486-buy-2016-11-01-am,sz.002486,buy,2016-11-01,pm,7.33,7.33,7.33,7.33,7.33,True,False,7.33,7.33,False,True
FULL-bin,sz.002486-buy-2016-11-01-pm,sz.002486,buy,2016-11-02,am,7.33,8.06,8.06,8.06,8.06,True,False,8.06,8.06,False,True
FULL-bin,sz.002486-buy-2016-11-02-am,sz.002486,buy,2016-11-02,pm,8.06,8.06,8.06,8.06,8.06,True,False,8.06,8.06,False,True
FULL-bin,sz.002486-buy-2016-11-02-pm,sz.002486,buy,2016-11-03,am,8.06,8.87,8.87,8.870000000000001,8.870000000000001,True,False,8.87,8.87,False,True
FULL-bin,sz.002486-buy-2016-11-03-am,sz.002486,buy,2016-11-03,pm,8.87,8.87,8.87,8.870000000000001,8.870000000000001,True,False,8.87,8.87,False,True
FULL-bin,sz.002486-buy-2016-11-03-pm,sz.002486,buy,2016-11-04,am,8.87,9.76,9.76,9.76,9.76,True,False,9.76,9.76,False,True
FULL-bin,sz.002486-buy-2016-11-04-am,sz.002486,buy,2016-11-04,pm,9.76,9.76,9.76,9.76,9.76,True,False,9.76,9.76,False,True
