arm,symbol_source,order_id,symbol,side,intent,decision_date,decision_session,live_date,live_session,engine_event,engine_shares,engine_limit_price,engine_ref_price,matcher_filled,matcher_reason,matcher_status,matcher_fill_type,matcher_fill_date,matcher_fill_session,matcher_shares,matcher_price,matcher_commission,matcher_stamp_tax,matcher_fees_total,engine_fill_id,engine_fill_shares,engine_fill_price,engine_fill_commission,engine_fill_stamp_tax,engine_fill_fees_total,fill_fields_match,probe_mode,core_fields_match,note
FULL-bin,,sz.002435-buy-2016-01-29-pm,sz.002435,buy,,2016-01-29,pm,2016-02-01,am,not_penetrated,,13.4,13.4,False,never_crossed,expired,,,,,,,,,,,,,,,,lot_probe_penetration,True,strict penetration required: session low < p (touch does not fill)
FULL-bin,,sz.000019-buy-2016-01-29-pm,sz.000019,buy,,2016-01-29,pm,2016-02-01,am,not_penetrated,,12.29,12.29,False,never_crossed,expired,,,,,,,,,,,,,,,,lot_probe_penetration,True,strict penetration required: session low < p (touch does not fill)
FULL-bin,,sh.600493-buy-2016-01-29-pm,sh.600493,buy,,2016-01-29,pm,2016-02-01,am,filled_limit_buy,4800,10.32,10.32,True,filled,full_fill,limit,2016-02-01,am,4800,10.32,5.00,0.00,5.00,F000001,4800,10.32,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
FULL-bin,,sz.002702-buy-2016-01-29-pm,sz.002702,buy,,2016-01-29,pm,2016-02-01,am,filled_limit_buy,2800,17.28,17.28,True,filled,full_fill,limit,2016-02-01,am,2800,17.28,5.00,0.00,5.00,F000002,2800,17.28,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
FULL-bin,,sz.002435-buy-2016-02-01-am,sz.002435,buy,,2016-02-01,am,2016-02-01,pm,not_penetrated,,14.74,14.74,False,never_crossed,expired,,,,,,,,,,,,,,,,lot_probe_penetration,True,strict penetration required: session low < p (touch does not fill)
FULL-bin,,sz.000019-buy-2016-02-01-am,sz.000019,buy,,2016-02-01,am,2016-02-01,pm,filled_limit_buy,3700,13.31,13.31,True,filled,full_fill,limit,2016-02-01,pm,3700,13.31,5.00,0.00,5.00,F000003,3700,13.31,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
FULL-bin,,sz.002435-buy-2016-02-01-pm,sz.002435,buy,,2016-02-01,pm,2016-02-02,am,not_penetrated,,14.74,14.74,False,never_crossed,expired,,,,,,,,,,,,,,,,lot_probe_penetration,True,strict penetration required: session low < p (touch does not fill)
FULL-bin,,sz.002435-buy-2016-02-02-am,sz.002435,buy,,2016-02-02,am,2016-02-02,pm,not_penetrated,,15.41,15.41,False,never_crossed,expired,,,,,,,,,,,,,,,,lot_probe_penetration,True,strict penetration required: session low < p (touch does not fill)
FULL-bin,,sz.002435-buy-2016-02-02-pm,sz.002435,buy,,2016-02-02,pm,2016-02-03,am,filled_limit_buy,3200,15.47,15.47,True,filled,full_fill,limit,2016-02-03,am,3200,15.47,5.00,0.00,5.00,F000004,3200,15.47,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
FULL-bin,,sz.000019-sell/profit-2016-02-15-am,sz.000019,sell,profit,2016-02-15,am,2016-02-15,pm,session_expired,,20.08,20.08,False,never_crossed,expired,,,,,,,,,,,,,,,,full,True,strict penetration required: session high > q (touch does not fill)
