path,asof,equity_as_of,high_water_mark,drawdown,risk_state_code,action_code,exposure_multiplier,trigger_reason,previous_state,recovery_condition,cooldown_until,state_changed,hand_expected_state,hand_expected_drawdown,hand_confirmation_streak,code_matches_hand
rebound,2020-01-02,2020-01-02,500000.0,0.0,normal,hold,0.9,drawdown_within_limit,,none,,False,normal,0.0,0,True
rebound,2020-01-03,2020-01-03,505000.0,0.0,normal,hold,0.9,drawdown_within_limit,normal,none,,False,normal,0.0,0,True
rebound,2020-01-04,2020-01-04,505000.0,0.01980198019801982,normal,hold,0.9,drawdown_within_limit,normal,none,,False,normal,0.019802,0,True
rebound,2020-01-05,2020-01-05,505000.0,0.12871287128712872,reduced,reduce_attack,0.4,drawdown_beyond_limit,normal,drawdown_le_rearm_confirm2_cooldown3,,True,reduced,0.128713,0,True
rebound,2020-01-06,2020-01-06,505000.0,0.1188118811881188,reduced,hold,0.4,drawdown_beyond_limit,reduced,drawdown_le_rearm_confirm2_cooldown3,,False,reduced,0.118812,0,True
rebound,2020-01-07,2020-01-07,505000.0,0.06930693069306926,reduced,hold,0.4,recovery_pending_cooldown,reduced,drawdown_le_rearm_confirm2_cooldown3,,False,reduced,0.069307,0,True
rebound,2020-01-08,2020-01-08,505000.0,0.05346534653465351,reduced,hold,0.4,recovery_pending_confirmation,reduced,drawdown_le_rearm_confirm2_cooldown3,2020-01-08,False,reduced,0.053465,0,True
rebound,2020-01-09,2020-01-09,505000.0,0.04950495049504955,reduced,hold,0.4,recovery_pending_confirmation,reduced,drawdown_le_rearm_confirm2_cooldown3,2020-01-08,False,reduced,0.049505,1,True
rebound,2020-01-10,2020-01-10,505000.0,0.03960396039603964,normal,restore_attack,0.9,recovery_confirmed,reduced,none,,True,normal,0.039604,0,True
slump,2020-01-02,2020-01-02,500000.0,0.0,normal,hold,0.9,drawdown_within_limit,,none,,False,normal,0.0,0,True
slump,2020-01-03,2020-01-03,505000.0,0.0,normal,hold,0.9,drawdown_within_limit,normal,none,,False,normal,0.0,0,True
slump,2020-01-04,2020-01-04,505000.0,0.01980198019801982,normal,hold,0.9,drawdown_within_limit,normal,none,,False,normal,0.019802,0,True
slump,2020-01-05,2020-01-05,505000.0,0.12871287128712872,reduced,reduce_attack,0.4,drawdown_beyond_limit,normal,drawdown_le_rearm_confirm2_cooldown3,,True,reduced,0.128713,0,True
slump,2020-01-06,2020-01-06,505000.0,0.14851485148514854,reduced,hold,0.4,drawdown_beyond_limit,reduced,drawdown_le_rearm_confirm2_cooldown3,,False,reduced,0.148515,0,True
slump,2020-01-07,2020-01-07,505000.0,0.16831683168316836,reduced,hold,0.4,drawdown_beyond_limit,reduced,drawdown_le_rearm_confirm2_cooldown3,,False,reduced,0.168317,0,True
slump,2020-01-08,2020-01-08,505000.0,0.17821782178217827,reduced,hold,0.4,drawdown_beyond_limit,reduced,drawdown_le_rearm_confirm2_cooldown3,2020-01-08,False,reduced,0.178218,0,True
slump,2020-01-09,2020-01-09,505000.0,0.18811881188118806,reduced,hold,0.4,drawdown_beyond_limit,reduced,drawdown_le_rearm_confirm2_cooldown3,2020-01-08,False,reduced,0.188119,0,True
slump,2020-01-10,2020-01-10,505000.0,0.19801980198019797,reduced,hold,0.4,drawdown_beyond_limit,reduced,drawdown_le_rearm_confirm2_cooldown3,2020-01-08,False,reduced,0.19802,0,True
