event_id,symbol,decision_time,risk_state,category,held_seats,pending_seats,seats_used_before,available_seats,admission_rank,issued,skip_or_cancel_reason,seats_within_cap,rank_key,expiry_releases_seat,same_symbol_counts_once
B1|sz.002299|20181231|a2019-01-08|u0,sz.002299,2019-01-09 am,normal,issued,0,0,0,4,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002916|20181231|a2019-01-08|u0,sz.002916,2019-01-09 am,normal,issued,0,1,1,3,2,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002024|20181231|a2019-01-09|u0,sz.002024,2019-01-10 am,normal,issued,2,0,2,2,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002157|20181231|a2019-01-09|u0,sz.002157,2019-01-10 am,normal,issued,2,1,3,1,2,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002475|20181231|a2019-01-10|u0,sz.002475,2019-01-11 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002405|20181231|a2019-01-12|u0,sz.002405,2019-01-14 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002234|20181231|a2019-01-15|u0,sz.002234,2019-01-16 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002353|20181231|a2019-01-18|u0,sz.002353,2019-01-21 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002755|20181231|a2019-01-22|u0,sz.002755,2019-01-23 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002302|20181231|a2019-01-25|u0,sz.002302,2019-01-28 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
