时间,代码,名称,开盘价,收盘价,最高价,最低价,成交量,成交额,涨幅,振幅
2015-07-01 09:30:00,sz000681,视觉中国,40.5,40.5,40.5,40.5,721,2920050,0.0,0.0
2015-07-01 09:31:00,sz000681,视觉中国,40.0,40.25,40.25,40.0,1342,5383725,-0.62,0.62
2015-07-01 09:32:00,sz000681,视觉中国,39.71,40.15,40.15,39.71,2044,8144841,-0.25,1.09
2015-07-01 09:33:00,sz000681,视觉中国,40.3,40.66,40.66,40.3,530,2146915,1.27,0.9
2015-07-01 09:34:00,sz000681,视觉中国,40.79,41.3,41.3,40.79,1774,7272014,1.57,1.25
2015-07-01 09:35:00,sz000681,视觉中国,41.7,41.05,41.7,41.05,1313,5446610,-0.61,1.57
2015-07-01 09:36:00,sz000681,视觉中国,41.39,40.79,41.39,40.79,610,2507809,-0.63,1.46
2015-07-01 09:37:00,sz000681,视觉中国,41.3,41.3,41.3,41.3,1665,6876448,1.25,0.0
2015-07-01 09:38:00,sz000681,视觉中国,41.28,41.19,41.28,41.19,1210,4988200,-0.27,0.22
2015-07-01 09:39:00,sz000681,视觉中国,41.4,41.5,41.5,41.4,867,3591420,0.75,0.24
2015-07-01 09:40:00,sz000681,视觉中国,41.65,41.7,41.7,41.65,899,3747220,0.48,0.12
2015-07-01 09:41:00,sz000681,视觉中国,41.7,41.6,41.7,41.6,1098,4573862,-0.24,0.24
2015-07-01 09:42:00,sz000681,视觉中国,41.58,41.65,41.65,41.58,678,2821818,0.12,0.17
2015-07-01 09:43:00,sz000681,视觉中国,41.69,41.67,41.69,41.67,878,3658756,0.05,0.05
2015-07-01 09:44:00,sz000681,视觉中国,41.63,41.34,41.63,41.34,931,3869426,-0.79,0.7
2015-07-01 09:45:00,sz000681,视觉中国,41.18,41.06,41.18,41.06,2862,11758009,-0.68,0.29
2015-07-01 09:46:00,sz000681,视觉中国,41.0,41.08,41.08,41.0,558,2289304,0.05,0.19
2015-07-01 09:47:00,sz000681,视觉中国,41.11,41.38,41.38,41.11,383,1578776,0.73,0.66
2015-07-01 09:48:00,sz000681,视觉中国,41.5,41.3,41.5,41.3,717,2965334,-0.19,0.48
2015-07-01 09:49:00,sz000681,视觉中国,41.2,41.22,41.22,41.2,584,2406493,-0.19,0.05
2015-07-01 09:50:00,sz000681,视觉中国,41.16,41.3,41.3,41.16,381,1569067,0.19,0.34
2015-07-01 09:51:00,sz000681,视觉中国,41.41,41.5,41.64,41.4,1616,6702690,0.48,0.58
2015-07-01 09:52:00,sz000681,视觉中国,41.5,42.07,42.07,41.5,535,2243720,1.37,1.37
2015-07-01 09:53:00,sz000681,视觉中国,42.37,42.5,42.5,42.37,815,3456287,1.02,0.31
2015-07-01 09:54:00,sz000681,视觉中国,42.5,42.67,42.67,42.5,940,3998581,0.4,0.4
2015-07-01 09:55:00,sz000681,视觉中国,42.77,42.37,42.77,42.37,453,1927770,-0.7,0.94
2015-07-01 09:56:00,sz000681,视觉中国,42.25,42.15,42.25,42.15,892,3763651,-0.52,0.24
2015-07-01 09:57:00,sz000681,视觉中国,42.3,42.37,42.37,42.3,1195,5055219,0.52,0.17
2015-07-01 09:58:00,sz000681,视觉中国,42.4,42.26,42.4,42.26,862,3649187,-0.26,0.33
2015-07-01 09:59:00,sz000681,视觉中国,42.2,42.06,42.2,42.06,1621,6828209,-0.47,0.33
2015-07-01 10:00:00,sz000681,视觉中国,42.0,42.0,42.0,41.9,855,3588297,-0.14,0.24
2015-07-01 10:01:00,sz000681,视觉中国,42.0,42.07,42.07,42.0,1136,4773724,0.17,0.17
2015-07-01 10:02:00,sz000681,视觉中国,42.1,42.0,42.1,41.99,1221,5133349,-0.17,0.26
2015-07-01 10:03:00,sz000681,视觉中国,41.95,41.81,41.95,41.81,520,2177503,-0.45,0.33
2015-07-01 10:04:00,sz000681,视觉中国,41.8,41.65,41.81,41.65,787,3287048,-0.38,0.38
2015-07-01 10:05:00,sz000681,视觉中国,41.54,41.6,41.67,41.54,1241,5160117,-0.12,0.31
2015-07-01 10:06:00,sz000681,视觉中国,41.9,41.8,41.9,41.7,407,1700850,0.48,0.48
2015-07-01 10:07:00,sz000681,视觉中国,41.8,41.9,41.9,41.8,360,1506029,0.24,0.24
2015-07-01 10:08:00,sz000681,视觉中国,42.0,42.0,42.0,42.0,655,2751000,0.24,0.0
2015-07-01 10:09:00,sz000681,视觉中国,42.0,42.0,42.07,42.0,321,1349658,0.0,0.17
2015-07-01 10:10:00,sz000681,视觉中国,42.07,41.82,42.07,41.82,1144,4796563,-0.43,0.6
2015-07-01 10:11:00,sz000681,视觉中国,41.8,41.68,41.8,41.68,318,1327396,-0.33,0.29
2015-07-01 10:12:00,sz000681,视觉中国,41.68,41.62,41.68,41.62,604,2516979,-0.14,0.14
2015-07-01 10:13:00,sz000681,视觉中国,41.62,41.5,41.62,41.5,347,1441844,-0.29,0.29
2015-07-01 10:14:00,sz000681,视觉中国,41.48,41.06,41.48,41.06,1153,4740898,-1.06,1.01
2015-07-01 10:15:00,sz000681,视觉中国,41.02,41.07,41.07,41.02,1991,8174877,0.02,0.12
2015-07-01 10:16:00,sz000681,视觉中国,41.19,41.48,41.48,41.19,420,1733977,1.0,0.71
2015-07-01 10:17:00,sz000681,视觉中国,41.56,41.55,41.56,41.51,614,2551449,0.17,0.12
2015-07-01 10:18:00,sz000681,视觉中国,41.5,41.49,41.5,41.49,279,1157811,-0.14,0.02
2015-07-01 10:19:00,sz000681,视觉中国,41.48,41.26,41.48,41.26,246,1018593,-0.55,0.53
2015-07-01 10:20:00,sz000681,视觉中国,41.15,41.2,41.2,41.15,251,1032965,-0.15,0.12
2015-07-01 10:21:00,sz000681,视觉中国,41.21,41.16,41.26,41.16,1001,4125773,-0.1,0.24
2015-07-01 10:22:00,sz000681,视觉中国,41.26,41.4,41.6,41.26,476,1966352,0.58,0.83
2015-07-01 10:23:00,sz000681,视觉中国,41.59,41.66,41.66,41.59,200,832662,0.63,0.17
2015-07-01 10:24:00,sz000681,视觉中国,41.9,41.66,41.9,41.66,286,1197620,0.0,0.58
2015-07-01 10:25:00,sz000681,视觉中国,41.88,41.9,41.9,41.88,340,1424506,0.58,0.05
2015-07-01 10:26:00,sz000681,视觉中国,41.99,42.1,42.1,41.99,308,1295242,0.48,0.26
2015-07-01 10:27:00,sz000681,视觉中国,42.0,42.08,42.11,42.0,374,1573988,-0.05,0.26
2015-07-01 10:28:00,sz000681,视觉中国,42.0,42.03,42.05,42.0,699,2937209,-0.12,0.12
2015-07-01 10:29:00,sz000681,视觉中国,42.02,42.0,42.02,42.0,484,2033166,-0.07,0.05
2015-07-01 10:30:00,sz000681,视觉中国,42.0,42.0,42.0,41.99,215,902947,0.0,0.02
2015-07-01 10:31:00,sz000681,视觉中国,41.99,42.0,42.0,41.99,225,944886,0.0,0.02
2015-07-01 10:32:00,sz000681,视觉中国,41.99,42.05,42.05,41.97,852,3577813,0.12,0.19
2015-07-01 10:33:00,sz000681,视觉中国,42.05,42.05,42.05,42.05,71,298554,0.0,0.0
2015-07-01 10:34:00,sz000681,视觉中国,42.06,42.1,42.1,42.06,246,1035368,0.12,0.1
