date,code,scope,reason
2015-07-01,sz.000032,actual_four_path_order_request,zero_tail_and_volume_deficit
2015-07-01,sz.000560,actual_four_path_order_request,zero_tail_and_volume_deficit
2015-07-01,sz.000607,actual_four_path_order_request,zero_tail_and_volume_deficit
2015-07-01,sz.000632,actual_four_path_order_request,zero_tail_and_volume_deficit
2015-07-01,sz.000681,actual_four_path_order_request,zero_tail_and_volume_deficit
2015-07-01,sz.000802,actual_four_path_order_request,zero_tail_and_volume_deficit
2015-07-01,sz.000989,actual_four_path_order_request,zero_tail_and_volume_deficit
2015-07-01,sz.002349,actual_four_path_order_request,zero_tail_and_volume_deficit
2015-07-01,sz.300006,actual_four_path_order_request,zero_tail_and_volume_deficit
2015-07-01,sz.300100,actual_four_path_order_request,zero_tail_and_volume_deficit
2015-07-01,sz.300209,prospective_selection_not_actual_order,zero_tail_and_volume_deficit
2015-07-01,sz.300322,actual_four_path_order_request,zero_tail_and_volume_deficit
2016-03-01,sz.002442,prospective_selection_not_actual_order,large_daily_discrepancy
2016-05-03,sz.300114,prospective_selection_not_actual_order,missing_or_incomplete_minute_grid
2018-03-01,sz.002812,prospective_selection_not_actual_order,large_daily_discrepancy
2019-05-06,sh.603026,prospective_selection_not_actual_order,large_daily_discrepancy
2019-09-02,sz.300420,prospective_selection_not_actual_order,large_daily_discrepancy
2020-02-03,sz.000955,prospective_selection_not_actual_order,large_daily_discrepancy
2020-10-09,sh.603557,prospective_selection_not_actual_order,large_daily_discrepancy
2020-10-09,sz.300536,prospective_selection_not_actual_order,large_daily_discrepancy
2020-11-02,sz.300712,prospective_selection_not_actual_order,large_daily_discrepancy
2022-05-05,sz.300114,prospective_selection_not_actual_order,missing_or_incomplete_minute_grid
