unit,code,date,status,reason,source
PV1_REV11_RANK50_TRAIN_V1,sh.600163,2015-01-05,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": -0.01, ""volume"": 0.0}"
PV1_REV11_RANK50_TRAIN_V1,sh.600277,2015-01-05,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sh.600312,2015-01-05,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": -0.01, ""volume"": 0.0}"
PV1_REV11_RANK50_TRAIN_V1,sh.600562,2015-01-05,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": 0.03, ""volume"": 0.0}"
PV1_REV11_RANK50_TRAIN_V1,sh.600979,2015-01-05,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sh.603001,2015-01-05,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.000816,2015-01-05,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.000893,2015-01-05,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.002385,2015-01-05,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300212,2015-01-05,EXACT,,
REV_vola_11,sh.600212,2015-01-05,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": -0.03, ""volume"": 0.0}"
REV_vola_11,sz.000711,2015-01-05,EXACT,,
REV_vola_11,sz.002313,2015-01-05,EXACT,,
REV_vola_11,sz.002488,2015-01-05,EXACT,,
REV_vola_11,sz.002496,2015-01-05,EXACT,,
REV_vola_11,sz.002520,2015-01-05,EXACT,,
REV_vola_11,sz.002606,2015-01-05,EXACT,,
REV_vola_11,sz.300085,2015-01-05,EXACT,,
REV_vola_11,sz.300223,2015-01-05,EXACT,,
REV_vola_11,sz.300348,2015-01-05,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sh.600219,2015-02-02,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": 0.01, ""volume"": 0.0}"
PV1_REV11_RANK50_TRAIN_V1,sh.600352,2015-02-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sh.601299,2015-02-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sh.601766,2015-02-02,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": 0.01, ""volume"": -4.0}"
PV1_REV11_RANK50_TRAIN_V1,sz.002118,2015-02-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.002440,2015-02-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.002448,2015-02-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300016,2015-02-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300090,2015-02-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300358,2015-02-02,EXACT,,
REV_vola_11,sh.600156,2015-02-02,EXACT,,
REV_vola_11,sh.600352,2015-02-02,EXACT,,
REV_vola_11,sh.600401,2015-02-02,SUSPENDED_SKIP,,
REV_vola_11,sh.600485,2015-02-02,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": -0.01, ""volume"": 0.0}"
REV_vola_11,sh.600695,2015-02-02,EXACT,,
REV_vola_11,sh.600982,2015-02-02,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": -0.01, ""volume"": 0.0}"
REV_vola_11,sh.601299,2015-02-02,EXACT,,
REV_vola_11,sh.601766,2015-02-02,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": 0.01, ""volume"": -4.0}"
REV_vola_11,sz.002338,2015-02-02,EXACT,,
REV_vola_11,sz.002640,2015-02-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sh.601519,2015-03-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.000625,2015-03-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.002074,2015-03-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.002103,2015-03-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.002426,2015-03-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.002469,2015-03-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300027,2015-03-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300199,2015-03-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300250,2015-03-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300378,2015-03-02,EXACT,,
REV_vola_11,sz.002022,2015-03-02,EXACT,,
REV_vola_11,sz.002103,2015-03-02,EXACT,,
REV_vola_11,sz.002282,2015-03-02,EXACT,,
REV_vola_11,sz.002315,2015-03-02,EXACT,,
REV_vola_11,sz.002320,2015-03-02,EXACT,,
REV_vola_11,sz.002344,2015-03-02,EXACT,,
REV_vola_11,sz.002388,2015-03-02,EXACT,,
REV_vola_11,sz.300290,2015-03-02,EXACT,,
REV_vola_11,sz.300295,2015-03-02,EXACT,,
REV_vola_11,sz.300377,2015-03-02,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sh.600033,2015-04-01,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sh.600699,2015-04-01,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": 0.09, ""volume"": 0.0}"
PV1_REV11_RANK50_TRAIN_V1,sz.000897,2015-04-01,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.000905,2015-04-01,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.002609,2015-04-01,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300151,2015-04-01,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300248,2015-04-01,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300264,2015-04-01,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300283,2015-04-01,EXACT,,
PV1_REV11_RANK50_TRAIN_V1,sz.300343,2015-04-01,EXACT,,
REV_vola_11,sh.600033,2015-04-01,EXACT,,
REV_vola_11,sh.600699,2015-04-01,DISCLOSE,daily_mismatch,"{""open"": 0.0, ""high"": 0.0, ""low"": 0.0, ""close"": 0.09, ""volume"": 0.0}"
